
Қазақстан Республикасының Үкiметi ҚАУЛЫ ЕТЕДI : 1. «2010 – 2014 жылдарға арналған республикалық индустрияландыру картасы туралы» Қазақстан Республикасы Үкiметiнiң 2010 жылғы 14 сәуiрдегi № 303 қаулысына мынадай өзгеріс енгізілсін: көрсетілген қаулымен бекітілген 2010 – 2014 жылдарға арналған республикалық индустрияландыру картасы осы қаулыға қосымшаға сәйкес жаңа редакцияда жазылсын. 2. Осы қаулы қол қойылған күнiнен бастап қолданысқа енгiзiледi.

Қазақстан Республикасының Премьер-Министрi                                     С. Ахметов

Қазақстан Республикасы Үкіметінің 2013 жылғы 29 наурыздағы № 295 қаулысына қосымша

Қазақстан Республикасы Үкiметiнiң 2010 жылғы 14 сәуiрдегi № 303 қаулысымен бекiтiлген

2010 – 2014 жылдарға арналған республикалық индустрияландыру картасы


Р/с№	|	Жобаның атауы	|	Жауапты мемлекеттiк орган және ұлттық холдинг	|	Өңiр	|	Жобаға өтiнiш берушi	|	Iске асыру мерзiмi*/жобаның мәртебесі	|	2013 жылға инвестицияларды игеру жоспары, млн. теңге
1	|	2	|	3	|	4	|	5	|	6	|	7
1.	|	Болат өндiрiсiн жылына 6 млн. тоннаға дейiн ұлғайта отырып, «Арселор Миттал Темiртау» АҚ-ны дамыту және жаңғырту	|	ИЖТМ	|	Қарағанды облысы	|	«Арселор Миттал Темiртау» АҚ	|	2010 – 2018 жылдар	|	29 700
2.	|	Ақтөбе қаласында жаңа ферроқорытпа зауытын салу (№ 4 цех)	|	ИЖТМ	|	Ақтөбе облысы	|	«Қазхром» трансұлттық компаниясы» АҚ	|	2009 – 2013 жылдар	|	20 727
3.	|	Қуаты жылына 75 мың тонна Қарағанды кешенді құйма зауытының 1-кезегін салу	|	ИЖТМ	|	Қарағанды облысы	|	«Қарағанды кешенді құйма зауыты» ЖШС	|	2012 – 2015 жылдар	|	21 910
4.	|	Металданған өнiм өндiру зауытын салу	|	ИЖТМ	|	Қостанай облысы	|	«Соколов-Сарыбай кен байыту өндiрiстiк бiрлестiгi» АҚ	|	2011 – 2015 жылдар	|	17 820
5.	|	Бозшакөл КБК салу	|	ИЖТМ	|	Павлодар облысы	|	«Kazakhmys Bozshakol (Қазақмыс Бозшакөл)» ЖШС	|	2010 – 2014 жылдар	|	102 510
6.	|	Ақтоғай КБК салу	|	ИЖТМ	|	ШҚО	|	«Kazakhmys Aktogay (Қазақмыс Ақтоғай)» ЖШС	|	2011 – 2014 жылдар	|	73 601
7.	|	Қуатын жылына 300 мың тонна ферроқорытпаға дейін жеткiзе отырып, ферроқорытпа өндiрiсiн және оның шикiзат базасын әртараптандыру және кеңейту	|	ИЖТМ	|	Жамбыл облысы	|	«Тараз металлургия зауыты» ЖШС	|	2011 – 2016 жылдар	|	7 442
8.	|	Қостанай қаласында ұсақ сұрыпты илек станын салу	|	ИЖТМ	|	Қостанай облысы	|	«Евраз Каспиан Сталь» ЖШС	|	2010 – 2013 жылдар	|	450
9.	|	Өскемен қаласында толық циклдi автозауыт және автоқұрамдауыштар шығаратын технопарк салу	|	ИЖТМ	|	ШҚО	|	«Азия Авто» АҚ	|	2010 – 2015 жылдар	|	35 050
