
Қазақстан Республикасының Үкіметі Қ АУЛЫ ЕТЕДІ: 1. «2011 - 2013 жылдарға арналған республикалық бюджет туралы» Қазақстан Республикасының Заңын іске асыру туралы» Қазақстан Республикасы Үкіметінің 2010 жылғы 13 желтоқсандағы № 1350 қаулысына мынадай өзгеріс енгізілсін: көрсетілген қаулыға 12-қосымша осы қаулыға қосымшаға сәйкес жаңа редакцияда жазылсын. 2. Осы қаулы қол қойылған күнінен бастап қолданысқа енгізіледі.

Қазақстан Республикасының Премьер-Министрі                              К. Мәсімов

Қазақстан Республикасы Үкіметінің 2011 жылғы 30 шілдедегі № 883 қаулысына қосымша

Қазақстан Республикасы Үкіметінің 2010 жылғы 13 желтоқсандағы № 1350 қаулысына 12-қосымша

Облыстық бюджеттерге, Астана және Алматы қалаларының бюджеттеріне облыстық, аудандық маңызы бар автомобиль жолдарын және Астана және Алматы қалаларының көшелерін күрделі және орташа жөндеуге берілетін ағымдағы нысаналы трансферттердің сомасын бөлу


р/с№	|	Облыстардың атауы	|	Сомасы, мың теңге
	|	Барлығы	|	15 381 601
1.	|	Ақмола облысы	|	2 184 028
2.	|	Ақтөбе облысы	|	534 038
3.	|	Алматы облысы	|	1 138 529
4.	|	Шығыс Қазақстан облысы	|	1 539 427
5.	|	Жамбыл облысы	|	1 243 925
6.	|	Батыс Қазақстан облысы	|	1 955 098
7.	|	Қарағанды облысы	|	1 642 419
8.	|	Қостанай облысы	|	2 616 073
9.	|	Қызылорда облысы	|	550 240
10.	|	Маңғыстау облысы	|	300 000
11.	|	Павлодар облысы	|	414 756
12.	|	Солтүстік Қазақстан облысы	|	771 949
13.	|	Оңтүстік Қазақстан облысы	|	491 119




