
"Қазақстан Республикасындағы жергілікті мемлекеттік басқару және өзін-өзі басқару туралы" Қазақстан Республикасының 2001 жылғы 23 қаңтардағы Заңының 31 бабына , "Халықты жұмыспен қамту туралы" Қазақстан Республикасының 2001 жылғы 23 қаңтардағы Заңының 20 бабына , "Халықты жұмыспен қамту туралы" Қазақстан Республикасының 2001 жылғы 23 қаңтардағы Заңын іске асыру жөніндегі шаралар туралы" Қазақстан Республикасы Үкіметінің 2001 жылғы 19 маусымдағы N 836 қаулысымен бекітілген "Қоғамдық жұмыстарды ұйымдастыру мен қаржыландырудың ережесіне" сәйкес Қарағанды қаласының әкімдігі ҚАУЛЫ ЕТЕДІ: 1. "2011 жылға арналған қоғамдық жұмыстарды ұйымдастыратын Қарағанды қаласы кәсіпорындарының, ұйымдарының, мекемелерінің тізбесін бекіту туралы" Қарағанды қаласы әкімдігінің 2010 жылғы 14 желтоқсандағы N 60/09 қаулысына нормативтік құқықтық актілердің тізілімінде 8-1-125 нөмірімен тіркелді, 2011 жылғы 11 қаңтарында "Индустриальная Караганда" N 2 (21 016), "Орталық Қазақстан" N 3 (20 998) газеттерінде жарияланды) келесі өзгеріс енгізілсін: аталған қаулының қосымшасы жаңа редакцияда осы қаулының қосымшасына сәйкес оқылсын. 2. Осы қаулының орындалуын бақылау Қарағанды қаласы әкімінің орынбасары И.Ю. Любарскаяға жүктелсін. 3. Осы қаулы ресми жарияланған күннен бастап қолданысқа енеді.

Қала әкімі                                 Б. Әбдішев

Қарағанды қаласы әкімдігінің 2011 жылғы 28 шілдедегі N 33/02 қаулысына қосымша

Қарағанды қаласы әкімдігінің 2010 жылғы 14 желтоқсандағы N 60/09 қаулысына қосымша

2011 жылға арналған қоғамдық жұмыстарды ұйымдастыратын Қарағанды қаласы кәсіпорындарының, ұйымдарының, мекемелерінің тізбесі


N р/с	|	Мекемелердің атауы	|	адам саны	|	жұмыс түрлері	|	Қаржыландыру көзі	|	жұмыс көлемі, теңге	|	Қатысу мерзімі, ай
1	|	"Қалалық коммуналдық шаруашылық" коммуналдық мемлекеттік кәсіпорыны	|	67	|	Қаланы көркейту және көгалдандыру	|	Қарағанды қаласының бюджеті	|	4287732	|	2
2	|	"Мәдениет және демалыс бақтарының басқармасы" коммуналдық мемлекеттік қазыналық кәсіпорны	|	90	|	Көркейту, көгалдандыру, аймақтарды тазалау	|	Қарағанды қаласының бюджеті	|	5759640	|	2
3	|	"Қалалық жарық" коммуналдық мемлекеттік кәсіпорны	|	16	|	Жарық беру желілерін күтіп ұстау бойынша жұмыс	|	Қарағанды қаласының бюджеті	|	1023936	|	2
4	|	Октябрь ауданы әкімінің аппараты	|	140	|	Ауданды көркейту, бос жерлерді санитарлық тазарту, парктер мен скверлерді жинау, тұрғын үйлердің техникалық жағдайын тексеру, лифтілік шаруашылықты түгендеу, газ тарату қондырғыларын тексеру, мұрағатқа тапсырылатын құжаттарды өңдеу, құжаттарды көбейту және тарату	|	Қарағанды қаласының бюджеті	|	8959440	|	2
5	|	Қазыбек би атындағы аудан әкімінің аппараты	|	100	|	Ауданды көркейту, бос жерлерді санитарлық тазарту, парктер мен скверлерді жинау, тұрғын үйлердің техникалық жағдайын тексеру, лифтілік шаруашылықты түгендеу, газ тарату қондырғыларын және ауданды жарықпен безендіруді тексеру, іс жүргізу мен ауданның әлеуметтік картасын жасау	|	Қарағанды қаласының бюджеті	|	6399600	|	2
6	|	Қарағанды қаласы әкімінің аппараты	|	60	|	Құжаттарды өңдеу, көбейту және тарату	|	Қарағанды қаласының бюджеті	|	3839760	|	2
7	|	Қарағанды қаласы Қазыбек би атындағы ауданы бойынша салық басқармасы	|	30	|	Тұрғындармен жұмыс, көлік құралдарына, мүлікке салық төлеу бойынша түбіртектерін және хабарламаларын тарату	|	Қарағанды қаласының бюджеті	|	1919880	|	2
8	|	Қарағанды қаласы Октябрь ауданы бойынша салық басқармасы	|	30	|	Тұрғындармен жұмыс, көлік құралдарына, мүлікке салық төлеу бойынша түбіртектерін және хабарламаларын тарату	|	Қарағанды қаласының бюджеті	|	1919880	|	2
9	|	"Шахтер" коммуналдық мемлекеттік қазыналық кәсіпорны	|	70	|	Тұрғылықты жері бойынша аула клубтарында жасөспірімдермен және жастармен жұмыс, іргелес аумақты тазалау	|	Қарағанды қаласының бюджеті	|	4479720	|	2
10	|	"Қарағанды қаласы Қазыбек би атындағы ауданның қорғаныс істері жөніндегі бөлімі" мемлекеттік мекемесі	|	30	|	Қарулы күштер қатарына шақыру бойынша тұрғындармен жұмыс, шақыру қағазын жеткізу	|	Қарағанды қаласының бюджеті	|	1919880	|	2
