
Қазақстан Республикасының Үкіметі ҚАУЛЫ ЕТЕДІ : 1. «2012 – 2014 жылдарға арналған республикалық бюджет туралы» Қазақстан Республикасының Заңын іске асыру туралы» Қазақстан Республикасы Үкіметінің 2011 жылғы 1 желтоқсандағы № 1428 қаулысына мынадай өзгеріс енгізілсін: көрсетілген қаулыға 13-қосымша осы қаулының қосымшасына сәйкес жаңа редакцияда жазылсын. 2. Осы қаулы қол қойылған күнінен бастап қолданысқа енгізіледі.

Қазақстан Республикасының Премьер-Министрі                           С. Ахметов

Қазақстан Республикасы Үкiметiнiң 2012 жылғы 29 қарашадағы № 1511 қаулысына қосымша

Қазақстан Республикасы Үкiметiнiң 2011 жылғы 1 желтоқсандағы № 1428 қаулысына 13-қосымша

Облыстық бюджеттерге, Астана және Алматы қалаларының бюджеттерiне тұқым шаруашылығын қолдауға берiлетiн ағымдағы нысаналы трансферттердiң сомасын бөлу


Р/с №	|	Облыстардың атауы	|	Сомасы, мың теңге
	|	Барлығы:	|	2 451 448
1.	|	Ақмола облысы	|	415 109
2.	|	Ақтөбе облысы	|	29 545
3.	|	Алматы облысы	|	440 223
4.	|	Шығыс Қазақстан облысы	|	161 803
5.	|	Жамбыл облысы	|	192 346
6.	|	Батыс Қазақстан облысы	|	4 717
7.	|	Қарағанды облысы	|	39 587
8.	|	Қостанай облысы	|	300 288
9.	|	Қызылорда облысы	|	86 505
10.	|	Павлодар облысы	|	84 767
11.	|	Солтүстiк Қазақстан облысы	|	477 137
12.	|	Оңтүстiк Қазақстан облысы	|	219 421


