"Қазақстан Республикасындағы жергілікті мемлекеттік басқару және өзін-өзі басқару туралы" Қазақстан Республикасының 2001 жылғы 23 қаңтардағы Заңына және "Халықты жұмыспен қамту туралы" Қазақстан Республикасының 2001 жылғы 23 қаңтардағы Заңына сәйкес Қармақшы ауданының әкімдігі ҚАУЛЫ ЕТЕДІ:

1. "2014 жылға арналған қоғамдық жұмыстарды ұйымдастыру туралы" Қармақшы ауданы әкімдігінің 2014 жылғы 29 қаңтардағы N 242 қаулысына (нормативтік құқықтық актілерді мемлекеттік тіркеу Тізілімінде N 4594 тіркеуден өткен, 2014 жылы 19 ақпанда "Қармақшы таңы" газетінде жарияланған) мынадай өзгеріс енгізілсін:

аталған қаулының қосымшасы осы қаулының қосымшасына сәйкес жаңа редакцияда жазылсын.

2. Осы қаулының орындалуын бақылау Қармақшы ауданы әкімінің орынбасары Ә.Қошалақовқа жүктелсін.

3. Осы қаулы алғашқы ресми жарияланған кейін күнтізбелік он күн өткен соң қолданысқа енгізіледі.


Қармақшы ауданы әкімінің
міндетін атқарушы	|	Ә. Қошалақов



	|	Қармақшы ауданы әкімдігінің2014 жылғы "16" мамырдағыN 379 қаулысына қосымшаҚармақшы ауданы әкімдігінің2014 жылғы "29" қаңтардағыN 242 қаулысына қосымша

2014 жылға арналған қоғамдық жұмыстар жүргізілетін ұйымдардың тізбелері, қоғамдық жұмыстардың түрлері, көлемі мен нақты жағдайлары, қатысушылардың еңбегіне төленетін ақының мөлшері және оларды қаржыландырудың көздері, қоғамдық жұмыстарға сұраныс пен ұсыныс

N	|	Ұйымдардың тiзбесi	|	Қоғамдық жұмыстардың түрлерi	|	Қоғамдық жұмыстардың көлемi мен нақты жағдайлары	|	Қатысушылардың еңбегiне төленетiн ақының мөлшерi	|	Қаржыландыру көздерi	|	Қоғамдықжұмыстарғасұраныс (адам саны)	|	Қоғамдық жұмыстарға ұсыныс (адам саны)
1	|	2	|	3	|	4	|	5	|	6	|	7	|	8
1	|	"Жосалы кенті әкімінің аппараты" мемлекеттік мекемесі	|	Әртүрлі құжаттарды өңдеу жөніндегі техникалық жұмыстар	|	365 дана құжатТолық емес жұмыс күні жағдайында және икемді график бойынша	|	Қазақстан Республикасының Бюджет кодексіне сәйкес ең төменгі жалақы мөлшері негізінде	|	Жергiлiктi бюджет	|	12	|	12
2	|	"Төретам кенті әкімінің аппараты" мемлекеттік мекемесі	|	Әртүрлі құжаттарды өңдеу жөніндегі техникалық жұмыстар	|	150 дана құжат ағашТолық емес жұмыс күнi жағдайында және икемдi график бойынша	|	Қазақстан Республикасының Бюджет кодексіне сәйкес ең төменгі жалақы мөлшері негізінде	|	Жергiлiктi бюджет	|	4	|	4
Көркейту және көгалдандыру жұмыстары	|	600 дана ағашТолық емес жұмыс күнi жағдайында және икемдi график бойынша	|	12	|	12
3	|	"Қармақшы ауылдық округі әкімінің аппараты" мемлекеттік мекемесі	|	Көркейту және көгалдандыру жұмыстары	|	600 дана ағашТолық емес жұмыс күнi жағдайында және икемдi график бойынша	|	Қазақстан Республикасының Бюджет кодексіне сәйкес ең төменгі жалақы мөлшері негізінде	|	Жергiлiктi бюджет	|	12	|	12
4	|	"Иіркөл ауылдық округі әкімінің аппараты" мемлекеттік мекемесі	|	Көркейту және көгалдандыру жұмыстары	|	1000 дана ағашТолық емес жұмыс күнi жағдайында және икемдi график бойынша	|	Қазақстан Республикасының Бюджет кодексіне сәйкес ең төменгі жалақы мөлшері негізінде	|	Жергiлiктi бюджет	|	12	|	12
5	|	"Жосалы ауылдық округі әкімінің аппараты" мемлекеттік мекемесі	|	Көркейту және көгалдандыру жұмыстары	|	2500 дана ағашТолық емес жұмыс күнi жағдайында және икемдi график бойынша	|	Қазақстан Республикасының Бюджет кодексіне сәйкес ең төменгі жалақы мөлшері негізінде	|	Жергiлiктi бюджет	|	12	|	12
6	|	"Ақтөбе ауылдық округі әкімінің аппараты" мемлекеттік мекемесі	|	Көркейту және көгалдандыру жұмыстары	|	1700 дана ағашТолық емес жұмыс күнi жағдайында және икемдi график бойынша	|	Қазақстан Республикасының Бюджет кодексіне сәйкес ең төменгі жалақы мөлшері негізінде	|	Жергiлiктi бюджет	|	12	|	12
7	|	"Ақжар ауылдық округі әкімінің аппараты" мемлекеттік мекемесі	|	Көркейту және көгалдандыру жұмыстары	|	2000 дана ағашТолық емес жұмыс күнi жағдайында және икемдi график	|	Қазақстан Республикасының Бюджет кодексіне сәйкес ең төменгі жалақы мөлшері негізінде	|	Жергiлiктi бюджет	|	12	|	12
8	|	"Дауылкөл ауылдық округі әкімінің аппараты" мемлекеттік мекемесі	|	Көркейту және көгалдандыру жұмыстары	|	2000 дана ағашТолық емес жұмыс күнi жағдайында және икемдi график бойынша	|	Қазақстан Республикасының Бюджет кодексіне сәйкес ең төменгі жалақы мөлшері негізінде	|	Жергiлiктi бюджет	|	12	|	12
9	|	"Қуандария ауылдық округі әкімінің аппараты" мемлекеттік мекемесі	|	Көркейту және көгалдандыру жұмыстары	|	2000 дана ағашТолық емес жұмыс күнi жағдайында және икемдi график бойынша	|	Қазақстан Республикасының Бюджет кодексіне сәйкес ең төменгі жалақы мөлшері негізінде	|	Жергiлiктi бюджет	|	12	|	12
10	|	"Т.Көмекбаев ауылдық округі әкімінің аппараты" мемлекеттік мекемесі	|	Көркейту және көгалдандыру жұмыстары	|	1000 дана ағашТолық емес жұмыс күнi жағдайында және икемдi график бойынша	|	Қазақстан Республикасының Бюджет кодексіне сәйкес ең төменгі жалақы мөлшері негізінде	|	Жергiлiктi бюджет	|	12	|	12
11	|	"Алдашбай Ахун ауылдық округі әкімінің аппараты" мемлекеттік мекемесі	|	Көркейту және көгалдандыру жұмыстары	|	1000 дана ағашТолық емес жұмыс күнi жағдайында және икемдi график бойынша	|	Қазақстан Республикасының Бюджет кодексіне сәйкес ең төменгі жалақы мөлшері негізінде	|	Жергiлiктi бюджет	|	12	|	12
12	|	"Ақай ауылдық округі әкімі аппараты" мемлекеттік мекемесі	|	Көркейту және көгалдандыру жұмыстары	|	1300 дана ағашТолық емес жұмыс күнi жағдайында және икемдi график бойынша	|	Қазақстан Республикасының Бюджет кодексіне сәйкес ең төменгі жалақы мөлшері негізінде	|	Жергiлiктi бюджет	|	12	|	12
13	|	"Жаңажол ауылдық округі әкімінің аппараты" мемлекеттік мекемесі	|	Көркейту және көгалдандыру жұмыстары	|	2000 дана ағашТолық емес жұмыс күнi жағдайында және икемдi график бойынша	|	Қазақстан Республикасының Бюджет кодексіне сәйкес ең төменгі жалақы мөлшері негізінде	|	Жергiлiктi бюджет	|	6	|	6
14	|	"ІІІ Интернационал ауылдық округі әкімінің аппараты" мемлекеттік мекемесі	|	Көркейту және көгалдандыру жұмыстары	|	1500 дана ағашТолық емес жұмыс күнi жағдайында және икемдi график бойынша	|	Қазақстан Республикасының Бюджет кодексіне сәйкес ең төменгі жалақы мөлшері негізінде	|	Жергiлiктi бюджет	|	6	|	6
15	|	"Қармақшы аудандық жұмыспен қамту және әлеуметтік бағдарламалар бөлімі" мемлекеттік мекемесі	|	Әртүрлі құжаттарды өңдеу жөніндегі техникалық жұмыстар	|	1200 дана құжатТолық емес жұмыс күнi жағдайында және икемдi график бойынша	|	Қазақстан Республикасының Бюджет кодексіне сәйкес ең төменгі жалақы мөлшері негізінде	|	Жергiлiктi бюджет	|	8	|	8
16	|	"Қызылорда облысының мұрағаттар мен құжаттама басқармасы" мемлекеттік мекемесі (Қармақшы аудандық мұрағаты)	|	Әртүрлі құжаттарды өңдеу жөніндегі техникалық жұмыстар	|	700 дана құжатТолық емес жұмыс күнi жағдайында және икемдi график бойынша	|	Қазақстан Республикасының Бюджет кодексіне сәйкес ең төменгі жалақы мөлшері негізінде	|	Жергiлiктi бюджет	|	8	|	8
17	|	"Қазақстан Республикасы Еңбек және халықты әлеуметтік қорғау Министрлігінің "Зейнетақы төлеу жөніндегі мемлекеттік орталығы" Республикалық мемлекеттік қазыналық кәсіпорнының Қызылорда облыстық филиалы (Қармақшы аудандық бөлімшесі)	|	Әртүрлі құжаттарды өңдеу жөніндегі техникалық жұмыстар	|	6923 дана құжатТолық емес жұмыс күнi жағдайында және икемдi график бойынша	|	Қазақстан Республикасының Бюджет кодексіне сәйкес ең төменгі жалақы мөлшері негізінде	|	Жергiлiктi бюджет	|	8	|	8
18	|	"Қармақшы аудандық соты" мемлекеттік мекемесі	|	Әртүрлі құжаттарды өңдеу жөніндегі техникалық жұмыстар	|	1500 дана құжатТолық емес жұмыс күнi жағдайында және икемдi график бойынша	|	Қазақстан Республикасының Бюджет кодексіне сәйкес ең төменгі жалақы мөлшері негізінде	|	Жергiлiктi бюджет	|	2	|	2
19	|	"Қызылорда облысы сот актілерін орындау Департаменті мемлекеттік мекемесінің Қармақшы ауданының аумақтық бөлімі" филиалы	|	Әртүрлі құжаттарды өңдеу жөніндегі техникалық жұмыстар	|	2000 дана құжатТолық емес жұмыс күнi жағдайында және икемдi график бойынша	|	Қазақстан Республикасының Бюджет кодексіне сәйкес ең төменгі жалақы мөлшері негізінде	|	Жергiлiктi бюджет	|	4	|	4
20	|	"Қазақстан Республикасы ішкі істер Министрлігі Қызылорда облыстық ішкі істер Департаментінің Қармақшы аудандық ішкі істер бөлімі" мемлекеттік мекемесі	|	Әртүрлі құжаттарды өңдеу жөніндегі техникалық жұмыстар	|	1500 дана құжатТолық емес жұмыс күнi жағдайында және икемдi график бойынша	|	ҚР "Бюджет кодексіне" сәйкес ең төменгі жалақы мөлшері негізінде	|	Жергiлiктi бюджет	|	10	|	10
21	|	Қазақстан Республикасы Қорғаныс министрлігінің "Қызылорда облысы Қармақшы ауданының қорғаныс істері жөніндегі бөлімі" республикалық мемлекеттік мекемесі	|	Азаматтарды шақыру учаскесіне тіркеу, әскери қызметке шақыруды ұйымдастыруда техникалық көмек көрсету және шақыру қағаздарын тарату	|	2000 дана құжатТолық емес жұмыс күнi жағдайында және икемдi график бойынша	|	Қазақстан Республикасының Бюджет кодексіне сәйкес ең төменгі жалақы мөлшері негізінде	|	Жергiлiктi бюджет	|	4	|	4
22	|	"Қармақшы аудандық мәдениет және тілдерді дамыту бөлімі" мемлекеттік мекемесі	|	Әртүрлі құжаттарды өңдеу жөніндегі техникалық жұмыстар	|	850 дана құжатТолық емес жұмыс күнi жағдайында және икемдi график бойынша	|	Қазақстан Республикасының Бюджет кодексіне сәйкес ең төменгі жалақы мөлшері негізінде	|	Жергiлiктi бюджет	|	2	|	2
23	|	Қармақшы аудандық жұмыспен қамту және әлеуметтік бағдарламалар бөлімінің Байқоңыр қаласы бойынша филиалы	|	Әртүрлі құжаттарды өңдеу жөніндегі техникалық жұмыстар	|	1200 дана құжатТолық емес жұмыс күнi жағдайында және икемдi график бойынша	|	Қазақстан Республикасының Бюджет кодексіне сәйкес ең төменгі жалақы мөлшері негізінде	|	Жергiлiктi бюджет	|	8	|	8
24	|	"Қармақшы аудандық жұмыспен қамту және әлеуметтік бағдарламалар бөлімінің "Аудандық жұмыспен қамту орталығы" коммуналдық мемлекеттік мекемесі	|	Әртүрлі құжаттарды өңдеу жөніндегі техникалық жұмыстар	|	700 дана құжатТолық емес жұмыс күнi жағдайында және икемдi график бойынша	|	Қазақстан Республикасының Бюджет кодексіне сәйкес ең төменгі жалақы мөлшері негізінде	|	Жергiлiктi бюджет	|	4	|	4
25	|	"Қармақшы аудандық орталықтандырылған кітапхана жүйесі" мемлекеттік мекемесі	|	Әртүрлі құжаттарды өңдеу жөніндегі техникалық жұмыстар	|	5780 дана құжатТолық емес жұмыс күнi жағдайында және икемдi график бойынша	|	Қазақстан Республикасының Бюджет кодексіне сәйкес ең төменгі жалақы мөлшері негізінде	|	Жергiлiктi бюджет	|	8	|	8
26	|	"Қазақстан Республикасы Әділет Министрлігі Қызылорда облысы Әділет департаментінің Байқоңыр қалалық әділет басқармасы" мемлекеттік мекемесі	|	Әртүрлі құжаттарды өңдеу жөніндегі техникалық жұмыстар	|	8000 дана құжатТолық емес жұмыс күнi жағдайында және икемдi график бойынша	|	Қазақстан Республикасының Бюджет кодексіне сәйкес ең төменгі жалақы мөлшері негізінде	|	Жергiлiктi бюджет	|	4	|	4
27	|	Қазақстан Республикасы Қорғаныс Министрлігінің "Қызылорда облысы Байқоңыр қаласының қорғаныс істері жөніндегі бөлімі" республикалық мемлекеттік мекемесі	|	Азаматтарды шақыру учаскесіне тіркеу, әскери қызметке шақыруды ұйымдастыруда техникалық көмек көрсету және шақыру қағаздарын тарату	|	10000 дана құжатТолық емес жұмыс күнi жағдайында және икемдi график бойынша	|	Қазақстан Республикасының Бюджет кодексіне сәйкес ең төменгі жалақы мөлшері негізінде	|	Жергiлiктi бюджет	|	4	|	4
28	|	"Қазақстан Республикасы Ішкі Істер Министрлігінің Байқоңыр қаласындағы өкілдігі" мемлекеттік мекемесі	|	Әртүрлі құжаттарды өңдеу жөніндегі техникалық жұмыстар	|	200 дана құжатТолық емес жұмыс күнi жағдайында және икемдi график бойынша	|	Қазақстан Республикасының Бюджет кодексіне сәйкес ең төменгі жалақы мөлшері негізінде	|	Жергiлiктi бюджет	|	2	|	2
29	|	"Қармақшы ауданының әкімі аппараты" мемлекеттік мекемесі	|	Әртүрлі құжаттарды өңдеу жөніндегі техникалық жұмыстар	|	2000 дана құжатТолық емес жұмыс күнi жағдайында және икемдi график бойынша	|	Қазақстан Республикасының Бюджет кодексіне сәйкес ең төменгі жалақы мөлшері негізінде	|	Жергiлiктi бюджет	|	4	|	4
30	|	"Қазақстан Республикасы Әділет министрлігі Қызылорда облысының Әділет департаментінің Қармақшы аудандық Әділет басқармасы" мемлекеттік мекемесі	|	Әртүрлі құжаттарды өңдеу жөніндегі техникалық жұмыстар	|	1000 дана құжатТолық емес жұмыс күнi жағдайында және икемдi график бойынша	|	Қазақстан Республикасының Бюджет кодексіне сәйкес ең төменгі жалақы мөлшері негізінде	|	Жергiлiктi бюджет	|	4	|	4
31	|	Қызылорда облысы бойынша экономикалық қылмысқа және сыбайлас жемқорлыққа қарсы күрес департаменті (қаржы полициясы)	|	Әртүрлі құжаттарды өңдеу жөніндегі техникалық жұмыстар	|	3000 дана құжатТолық емес жұмыс күнi жағдайында және икемдi график бойынша	|	Қазақстан Республикасының Бюджет кодексіне сәйкес ең төменгі жалақы мөлшері негізінде	|	Жергiлiктi бюджет	|	3	|	3
32	|	Байқоңыр қаласының прокуратурасы	|	Әртүрлі құжаттарды өңдеу жөніндегі техникалық жұмыстар	|	3000 дана құжатТолық емес жұмыс күнi жағдайында және икемдi график бойынша	|	Қазақстан Республикасының Бюджет кодексіне сәйкес ең төменгі жалақы мөлшері негізінде	|	Жергiлiктi бюджет	|	2	|	2
33	|	"Қармақшы аудандық тұрғын үй коммуналдық шаруашылығы жолаушылар көлігі және автомобиль жолдары бөлімі" мемлекеттік мекемесі	|	Әртүрлі құжаттарды өңдеу жөніндегі техникалық жұмыстар	|	400 дана құжатТолық емес жұмыс күнi жағдайында және икемдi график бойынша	|	Қазақстан Республикасының Бюджет кодексіне сәйкес ең төменгі жалақы мөлшері негізінде	|	Жергiлiктi бюджет	|	10	|	10
Көркейту және көгалдандыру жұмыстары	|	4000 дана ағашТолық емес жұмыс күнi жағдайында және икемдi график бойынша	|	191	|	191
Барлығы:	|	450	|	450



