РҚАО-ның ескертпесі. 

Құжаттың мәтінінде түпнұсқаның пунктуациясы мен орфографиясы сақталған. 

Қазақстан Республикасының 2008 жылғы 4 желтоқсандағы Бюджет кодексінің
106 бабының 4 тармағына және "Қазақстан Республикасындағы жергілікті мемлекеттік басқару және өзін-өзі басқару туралы" Қазақстан Республикасының 2001 жылғы 23 қаңтардағы Заңының
6 бабына сәйкес аудандық мәслихат ШЕШІМ ҚАБЫЛДАДЫ:

1.
"2015 – 2017 жылдарға арналған аудандық бюджет туралы" Қордай аудандық маслихатының 2014 жылғы 22 желтоқсандағы
№37-3 шешіміне (нормативтік құқықтық актілерді мемлекеттік тіркеу Тізілімінде
№2449 болып тіркелген, 2014 жылдың 31 желтоқсанында №205-206 аудандық "Қордай шамшырағы" - "Кордайский маяк" газетінде жарияланған) келесі өзгерістер енгізілсін:


аталған шешімнің
1 және
5 қосымшалары осы шешімнің
1 және
2 қосымшаларына сәйкес жаңа редакцияда мазмұндалсын.

2.
Осы шешім әділет органдарында мемлекеттік тіркеуден өткен күннен бастап күшіне енеді және 2015 жылдың 1 қаңтарынан қолданысқа енгізіледі.


Аудандық мәслихат	|	Аудандық
сессиясының төрайымы	|	мәслихаттың хатшысы
Г. Айтқұлова	|	Б. Әлімбет




	|	Қордай аудандық мәслихатының2015 жылғы 15 мамырдағы№41-5 шешіміне 1 – қосымша
	|	Қордай аудандық мәслихатының2014 жылғы 22 желтоқсандағы№37-3 шешіміне 1 – қосымша

2015 жылға арналған аудандық бюджет

Санаты	|	Сомасы, мың теңге
Сыныбы Ішкі сыныбы Атауы
1	|	2	|	3	|	4	|	5
	|		|		|	1. КІРІСТЕР	|	9712433
	|		|		|	САЛЫҚТЫҚ ТҮСІМДЕР	|	1605261
	|	01	|		|	Табыс салығы	|	266039
	|		|	2	|	Жеке табыс салығы	|	266039
	|	03	|		|	Әлеуметтік салық	|	199605
	|		|	1	|	Әлеуметтік салық	|	199605
	|	04	|		|	Меншікке салынатын салықтар	|	1062136
	|		|	1	|	Мүлікке салынатын салықтар	|	842036
	|		|	3	|	Жер салығы	|	14600
	|		|	4	|	Көлік құралдарына салынатын салық	|	198000
	|		|	5	|	Бірыңғай жер салығы	|	7500
	|	05	|		|	Тауарларға, жұмыстарға және қызметтерге салынатын ішкі салықтар	|	47759
	|		|	2	|	Акциздер	|	17900
	|		|	3	|	Табиғи және басқа да ресурстарды пайдаланғаны үшін түсетін түсімдер	|	3500
	|		|	4	|	Кәсіпкерлік және кәсіби қызметті жүргізгені үшін алынатын алымдар	|	23535
	|		|	5	|	Ойын бизнесіне салық	|	2824
	|	07	|		|	Басқа да салықтар	|	5260
	|		|	1	|	Жергілікті бюджетке түсетін өзге де салық түсімдері	|	5260
	|	08	|		|	Заңдық маңызы бар әрекеттерді жасағаны және (немесе) оған уәкілеттігі бар мемлекеттік органдар немесе лауазымды адамдар құжаттар бергені үшін алынатын міндетті төлемдер	|	24462
	|		|	1	|	Мемлекеттік баж	|	24462
2	|		|		|	САЛЫҚТЫҚ ЕМЕС ТҮСІМДЕР	|	72605
	|	01	|		|	Мемлекеттік меншіктен түсетін кірістер	|	7201
	|		|	1	|	Мемлекеттік кәсіпорындардың таза кірісі бөлігінің түсімдері	|	701
	|		|	5	|	Мемлекет меншігіндегі мүлікті жалға беруден түсетін кірістер	|	6500
	|	04	|		|	Мемлекеттік бюджеттен қаржыландырылатын, сондай-ақ Қазақстан Республикасы Ұлттық Банкінің бюджетінен (шығыстар сметасынан) ұсталатын және қаржыландырылатын мемлекеттік мекемелер салатын айыппұлдар, өсімпұлдар, санкциялар, өндіріп алулар	|	39700
	|		|	1	|	Мұнай секторы ұйымдарынан түсетін түсімдерді қоспағанда, мемлекеттік бюджеттен қаржыландырылатын, сондай-ақ Қазақстан Республикасы Ұлттық Банкінің бюджетінен (шығыстар сметасынан) ұсталатын және қаржыландырылатын мемлекеттік мекемелер салатын айыппұлдар, өсімпұлдар, санкциялар, өндіріп алулар	|	39700
	|	06	|		|	Басқа да салықтық емес түсiмдер	|	25704
	|		|	1	|	Басқа да салықтық емес түсiмдер	|	25704
3	|		|		|	НЕГІЗГІ КАПИТАЛДЫ САТУДАН ТҮСЕТІН ТҮСІМДЕР	|	22032
	|	01	|		|	Мемлекеттік мекемелерге бекітілген мемлекеттік мүлікті сату	|	1500
	|		|	1	|	Мемлекеттік мекемелерге бекітілген мемлекеттік мүлікті сату	|	1500
	|	03	|		|	Жердi және материалдық емес активтердi сату	|	20532
	|		|	1	|	Жерді сату	|	20000
	|		|	2	|	Материалдық емес активтерді сату	|	532
4	|		|		|	ТРАНСФЕРТТЕРДІҢ ТҮСІМДЕРІ	|	8012535
	|	02	|		|	Мемлекеттiк басқарудың жоғары тұрған органдарынан түсетiн трансферттер	|	8012535
	|		|	2	|	Облыстық бюджеттен түсетiн трансферттер	|	8012535






Функционалдық топБюджеттік бағдарламалардың әкімшісіБағдарлама Атауы	|	Сомасы, мың теңге
1	|	2	|	3
	|		|		|	2. ШЫҒЫНДАР	|	9754343
01	|		|		|	Жалпы сипаттағы мемлекеттiк қызметтер	|	492678
	|	112	|		|	Аудан (облыстық маңызы бар қала) мәслихатының аппараты	|	19057
	|		|	001	|	Аудан (облыстық маңызы бар қала) мәслихатының қызметін қамтамасыз ету жөніндегі қызметтер	|	17608
	|		|	003	|	Мемлекеттік органның күрделі шығыстары	|	1449
	|	122	|		|	Аудан (облыстық маңызы бар қала) әкімінің аппараты	|	88006
	|		|	001	|	Аудан (облыстық маңызы бар қала) әкімінің қызметін қамтамасыз ету жөніндегі қызметтер	|	86207
	|		|	003	|	Мемлекеттік органның күрделі шығыстары	|	1799
	|	123	|		|	Қаладағы аудан, аудандық маңызы бар қала, кент, ауыл, ауылдық округ әкімінің аппараты	|	291979
	|		|	001	|	Қаладағы аудан, аудандық маңызы бар қала, кент, ауыл, ауылдық округ әкімінің қызметін қамтамасыз ету жөніндегі қызметтер	|	283583
	|		|	022	|	Мемлекеттік органның күрделі шығыстары	|	8396
	|	452	|		|	Ауданның (облыстық маңызы бар қаланың) қаржы бөлімі	|	26313
	|		|	001	|	Ауданның (облыстық маңызы бар қаланың) бюджетін орындау және ауданның (облыстық маңызы бар қаланың) коммуналдық меншігін басқару саласындағы мемлекеттік саясатты іске асыру жөніндегі қызметтер	|	22652
	|		|	003	|	Салық салу мақсатында мүлікті бағалауды жүргізу	|	2668
	|		|	010	|	Жекешелендіру, коммуналдық меншікті басқару, жекешелендіруден кейінгі қызмет және осыған байланысты дауларды реттеу	|	200
	|		|	018	|	Мемлекеттік органның күрделі шығыстары	|	793
	|	453	|		|	Ауданның (облыстық маңызы бар қаланың) экономика және бюджеттік жоспарлау бөлімі	|	20699
	|		|	001	|	Экономикалық саясатты, мемлекеттік жоспарлау жүйесін қалыптастыру және дамыту және ауданды (облыстық маңызы бар қаланы) басқару саласындағы мемлекеттік саясатты іске асыру жөніндегі қызметтер	|	19881
	|		|	004	|	Мемлекеттік органның күрделі шығыстары	|	818
	|	458	|		|	Ауданның (облыстық маңызы бар қаланың) тұрғын үй-коммуналдық шаруашылығы, жолаушылар көлігі және автомобиль жолдары бөлімі	|	39625
	|		|	001	|	Жергілікті деңгейде тұрғын үй-коммуналдық шаруашылығы, жолаушылар көлігі және автомобиль жолдары саласындағы мемлекеттік саясатты іске асыру жөніндегі қызметтер	|	12242
	|		|	013	|	Мемлекеттік органның күрделі шығыстары	|	304
	|		|	067	|	Ведомстволық бағыныстағы мемлекеттік мекемелерінің және ұйымдарының күрделі шығыстары	|	27079
	|	494	|		|	Ауданның (облыстық маңызы бар қаланың) кәсіпкерлік және өнеркәсіп бөлімі	|	6999
	|		|	001	|	Жергілікті деңгейде кәсіпкерлік және өнеркәсіп саласындағы мемлекеттік саясатты іске асыру жөніндегі қызметтер	|	6737
	|		|	003	|	Мемлекеттік органның күрделі шығыстары	|	262
02	|		|		|	Қорғаныс	|	7124
	|	122	|		|	Аудан (облыстық маңызы бар қала) әкімінің аппараты	|	4650
	|		|	005	|	Жалпыға бірдей әскери міндетті атқару шеңберіндегі іс-шаралар	|	4650
	|	122	|		|	Аудан (облыстық маңызы бар қала) әкімінің аппараты	|	2474
	|		|	007	|	Аудандық (қалалық) ауқымдағы дала өрттерінің, сондай-ақ мемлекеттік өртке қарсы қызмет органдары құрылмаған елдi мекендерде өрттердің алдын алу және оларды сөндіру жөніндегі іс-шаралар	|	2474
