Қазақстан Республикасының 2008 жылғы 4 желтоқсандағы Бюджет кодексінің 9 бабының 2 тармағына , 106 , 109 баптарына , Қазақстан Республикасының 2001 жылғы 23 қаңтардағы "Қазақстан Республикасындағы жергілікті мемлекеттік басқару және өзін-өзі басқару туралы" Заңының 6 бабына сәйкес, Мәртөк аудандық мәслихаты ШЕШІМ ҚАБЫЛДАДЫ: 1. Мәртөк аудандық мәслихаттың 2015 жылғы 25 желтоқсандағы № 205 "2016-2018 жылдарға арналған Мәртөк ауданының бюджетін бекіту туралы" шешіміне (Нормативтік құқықтық актілерді мемлекеттік тіркеу тізілімінде № 4702 тіркелген, 2016 жылғы 27 қаңтарда "Мәртөк тынысы" газетінде жарияланған) келесі өзгерістер енгізілсін: 1 тармақта : 1) тармақшасында: кірістер "4 297 069,7" цифрлары "4 277 069,8" цифрларымен ауыстырылсын, оның ішінде: трансферттер түсімдері бойынша "3 772 044,8" цифрлары "3 752 044,9" цифрларымен ауыстырылсын; 2) тармақшасында: шығындар "4 326 219,3" цифрлары "4 306 219,4" цифрларымен ауыстырылсын; 8 тармақта : алтыншы абзацтағы: "702 933" цифрлары "690 933" цифрларымен ауыстырылсын; 9 тармақта : екінші абзацтағы: "32 819,8" цифрлары "27 202,3" цифрларымен ауыстырылсын; он екінші абзацтағы: "7 762" цифрлары "5 379,6" цифрларымен ауыстырылсын. 2. Осы шешімнің 1 және 2 қосымшаларына сәйкес көрсетілген шешімдегі 1 және 5 қосымшалары жаңа редакцияда жазылсын. 3. Осы шешім 2016 жылғы 1 қаңтардан бастап қолданысқа енгізіледі.


Мәртөк аудандық мәслихатыныңсессия төрағасы – мәслихатхатшысы	|	Ә. Әлмұхамбетов



	|	2016 жылғы 12 желтоқсандағы № 47 Мәртөк аудандық мәслихаттың шешіміне 1 Қосымша
	|	2015 жылғы 25 желтоқсандағы № 205 Мәртөк аудандық мәслихаттың шешіміне 1 Қосымша

2016 жылға арналған Мәртөк ауданының бюджеті

Санаты	|	Сомасы(мың теңге)
	|	Сыныбы
	|	Ішкі сыныбы
	|	Атауы
1	|	2	|	3	|	4	|	5
	|		|		|	Кірістер	|	4 277 069,8
1	|		|		|	Салықтық түсімдер	|	512 024,0
	|	01	|		|	Табыс салығы	|	221 371,0
	|		|	2	|	Жеке табыс салығы	|	221 371,0
	|	03	|		|	Әлеуметтiк салық	|	169 223,0
	|		|	1	|	Әлеуметтік салық	|	169 223,0
	|	04	|		|	Меншiкке салынатын салықтар	|	91 600,0
	|		|	1	|	Мүлiкке салынатын салықтар	|	52 250,0
	|		|	3	|	Жер салығы	|	3 700,0
	|		|	4	|	Көлiк құралдарына салынатын салық	|	30 700,0
	|		|	5	|	Бірыңғай жер салығы	|	4 950,0
	|	05	|		|	Тауарларға, жұмыстарға және қызметтерге салынатын iшкi салықтар	|	26 890,0
	|		|	2	|	Акциздер	|	1 300,0
	|		|	3	|	Табиғи және басқа да ресурстарды пайдаланғаны үшiн түсетiн түсiмдер	|	15 000,0
	|		|	4	|	Кәсiпкерлiк және кәсiби қызметтi жүргiзгенi үшiн алынатын алымдар	|	10 590,0
	|	08	|		|	Заңдық маңызы бар әрекеттерді жасағаны және (немесе) оған уәкілеттігі бар мемлекеттік органдар немесе лауазымды адамдар құжаттар бергені үшін алынатын міндетті төлемдер	|	2 940,0
	|		|	1	|	Мемлекеттік баж	|	2 940,0
2	|		|		|	Салықтық емес түсiмдер	|	1 000,9
	|	01	|		|	Мемлекеттік меншіктен түсетін кірістер	|	144,9
	|		|	5	|	Мемлекет меншігіндегі мүлікті жалға беруден түсетін кірістер	|	120,0
	|		|	7	|	Мемлекеттік бюджеттен берілген кредиттер бойынша сыйақылар	|	24,9
	|	06	|		|	Басқа да салықтық емес түсiмдер	|	856,0
	|		|	1	|	Басқа да салықтық емес түсiмдер	|	856,0
3	|		|		|	Негізгі капиталды сатудан түсетін түсімдер	|	12 000,0
	|	01	|		|	Мемлекеттік мекемелерге бекітілген мемлекеттік мүлікті сату	|	4 000,0
	|		|	1	|	Мемлекеттік мекемелерге бекітілген мемлекеттік мүлікті сату	|	4 000,0
	|	03	|		|	Жердi және материалдық емес активтердi сату	|	8 000,0
	|		|	1	|	Жерді сату	|	8 000,0
4	|		|		|	Трансферттердің түсімдері	|	3 752 044,9
	|	02	|		|	Мемлекеттiк басқарудың жоғары тұрған органдарынан түсетiн трансферттер	|	3 752 044,9
	|		|	2	|	Облыстық бюджеттен түсетiн трансферттер	|	3 752 044,9



Функционалдық топ	|	Сомасы(мың теңге)
	|	Функционалдық кіші топ
	|	Бюджеттік бағдарламалардың әкімшісі
	|	Бағдарлама
	|	Атауы
1	|	2	|	3	|	4	|	5	|	6
	|		|		|		|	Шығындар	|	4 306 219,4
01	|		|		|		|	Жалпы сипаттағы мемлекеттiк қызметтер	|	359 040,0
	|	1	|		|		|	Мемлекеттiк басқарудың жалпы функцияларын орындайтын өкiлдi, атқарушы және басқа органдар	|	315 184,0
	|		|	112	|		|	Аудан (облыстық маңызы бар қала) мәслихатының аппараты	|	16 949,0
	|		|		|	001	|	Аудан (облыстық маңызы бар қала) мәслихатының қызметін қамтамасыз ету жөніндегі қызметтер	|	16 559,0
	|		|		|	003	|	Мемлекеттік органның күрделі шығыстары	|	390,0
	|		|	122	|		|	Аудан (облыстық маңызы бар қала) әкімінің аппараты	|	127 783,0
	|		|		|	001	|	Аудан (облыстық маңызы бар қала) әкімінің қызметін қамтамасыз ету жөніндегі қызметтер	|	83 339,0
	|		|		|	003	|	Мемлекеттік органның күрделі шығыстары	|	44 444,0
	|		|	123	|		|	Қаладағы аудан, аудандық маңызы бар қала, кент, ауыл, ауылдық округ әкімінің аппараты	|	170 452,0
	|		|		|	001	|	Қаладағы аудан, аудандық маңызы бар қаланың, кент, ауыл, ауылдық округ әкімінің қызметін қамтамасыз ету жөніндегі қызметтер	|	170 452,0
	|	2	|		|		|	Қаржылық қызмет	|	16 458,0
	|		|	452	|		|	Ауданның (облыстық маңызы бар қаланың) қаржы бөлімі	|	16 458,0
	|		|		|	001	|	Ауданның (облыстық маңызы бар қаланың) бюджетін орындау және коммуналдық меншігін басқару саласындағы мемлекеттік саясатты іске асыру жөніндегі қызметтер	|	14 833,0
	|		|		|	003	|	Салық салу мақсатында мүлікті бағалауды жүргізу	|	867,0
	|		|		|	018	|	Мемлекеттік органның күрделі шығыстары	|	758,0
	|	5	|		|		|	Жоспарлау және статистикалық қызмет	|	17 095,0
	|		|	453	|		|	Ауданның (облыстық маңызы бар қаланың) экономика және бюджеттік жоспарлау бөлімі	|	17 095,0
	|		|		|	001	|	Экономикалық саясатты, мемлекеттік жоспарлау жүйесін қалыптастыру және дамыту саласындағы мемлекеттік саясатты іске асыру жөніндегі қызметтер	|	15 595,0
	|		|		|	004	|	Мемлекеттік органның күрделі шығыстары	|	1 500,0
	|	9	|		|		|	Жалпы сипаттағы өзге де мемлекеттiк қызметтер	|	10 303,0
	|		|	458	|		|	Ауданның (облыстық маңызы бар қаланың) тұрғын үй-коммуналдық шаруашылығы, жолаушылар көлігі және автомобиль жолдары бөлімі	|	10 303,0
	|		|		|	001	|	Жергілікті деңгейде тұрғын үй-коммуналдық шаруашылығы, жолаушылар көлігі және автомобиль жолдары саласындағы мемлекеттік саясатты іске асыру жөніндегі қызметтер	|	8 070,0
	|		|		|	067	|	Ведомстволық бағыныстағы мемлекеттік мекемелерінің және ұйымдарының күрделі шығыстары	|	2 233,0
02	|		|		|		|	Қорғаныс	|	4 068,0
	|	1	|		|		|	Әскери мұқтаждар	|	1 308,0
	|		|	122	|		|	Аудан (облыстық маңызы бар қала) әкімінің аппараты	|	1 308,0
	|		|		|	005	|	Жалпыға бірдей әскери міндетті атқару шеңберіндегі іс-шаралар	|	1 308,0
	|	2	|		|		|	Төтенше жағдайлар жөнiндегi жұмыстарды ұйымдастыру	|	2 760,0
	|		|	122	|		|	Аудан (облыстық маңызы бар қала) әкімінің аппараты	|	2 760,0
	|		|		|	006	|	Аудан (облыстық маңызы бар қала) ауқымындағы төтенше жағдайлардың алдын алу және оларды жою	|	1 251,0
	|		|		|	007	|	Аудандық (қалалық) ауқымдағы дала өрттерінің, сондай-ақ мемлекеттік өртке қарсы қызмет органдары құрылмаған елдi мекендерде өрттердің алдын алу және оларды сөндіру жөніндегі іс-шаралар	|	1 509,0
04	|		|		|		|	Бiлiм беру	|	3 107 519,0
	|	1	|		|		|	Мектепке дейiнгi тәрбие және оқыту	|	322 629,0
	|		|	464	|		|	Ауданның (облыстық маңызы бар қаланың) білім бөлімі	|	307 583,0
	|		|		|	009	|	Мектепке дейінгі тәрбие мен оқыту ұйымдарының қызметін қамтамасыз ету	|	251 608,0
	|		|		|	040	|	Мектепке дейінгі білім беру ұйымдарында мемлекеттік білім беру тапсырысын іске асыруға	|	55 975,0
	|		|	466	|		|	Ауданның (облыстық маңызы бар қаланың) сәулет, қала құрылысы және құрылыс бөлімі	|	15 046,0
	|		|		|	037	|	Мектепке дейiнгi тәрбие және оқыту объектілерін салу және реконструкциялау	|	15 046,0
	|	2	|		|		|	Бастауыш, негізгі орта және жалпы орта білім беру	|	2 687 517,0
	|		|	464	|		|	Ауданның (облыстық маңызы бар қаланың) білім бөлімі	|	2 277 017,0
	|		|		|	003	|	Жалпы білім беру	|	2 155 334,0
	|		|		|	006	|	Балаларға қосымша білім беру	|	121 683,0
