
Қазақстан Республикасының 2008 жылғы 4 желтоқсандағы Бюджет кодексiнің
106-бабына , "Қазақстан Республикасындағы жергілікті мемлекеттік басқару және өзін-өзі басқару туралы" Қазақстан Республикасының 2001 жылғы 23 қаңтардағы Заңының 6-бабының 1 тармағының
1) тармақшасына сәйкес, Солтүстік Қазақстан облысы Мамлют ауданының мәслихаты
ШЕШТІ
:


1. "2016-2018 жылдарға арналған аудандық бюджеті туралы" Солтүстік Қазақстан облысы Мамлют ауданы мәслихатының 2015 жылғы 23 желтоқсандағы № 49/2
шешіміне (2016 жылғы 29 қаңтардағы "Солтүстік жұлдызы", "Знамя труда" аудандық газеттерінде жарияланған, нормативтік құқықтық актілерді мемлекеттік тіркеу Тізілімінде № 3539 болып тіркелген) келесі өзгерістер енгізілсін:


Нұсқалған шешімнің
1 ,
4 қосымшалары осы шешімнің
1 ,
2 қосымшаларына сәйкес жаңа редакцияда баяндалсын.


2. Осы шешім 2016 жылғы 1 қаңтардан бастап қолданысқа енгізіледi.


Солтүстік Қазақстан облысыМамлют ауданы мәслихатысессиясының төрағасы	|	А. Жүнісов
Солтүстік Қазақстан облысыМамлют ауданы мәслихатыныңхатшысы	|	Р. Нұрмұқанова
"КЕЛІСІЛДІ""Солтүстік Қазақстан облысыМамлют ауданыныңэкономика және қаржы бөлімі"мемлекеттiк мекемесiніңбасшысы2016 жыл 10 маусым	|	А.Биктимиров




	|	Солтүстік Қазақстан облысы Мамлют ауданы мәслихатының 2016 жылғы 10 маусымдағы № 4/2 шешіміне 1 қосымша
	|	Солтүстік Қазақстан облысы Мамлют ауданы мәслихатының 2015 жылғы 23 желтоқсандағы № 49/2 шешіміне 1 қосымша

2016 жылға Мамлют аудандық бюджеті

Санаты	|	Сыныбы	|	Iшкi сыныбы	|	Атауы	|	Сома, мың теңге
1	|	2	|	3	|	4	|	5
	|		|		|	1) Кірістер	|	2654666
1	|		|		|	Салықтық түсімдер	|	383619
	|	01	|		|	Табыс салығы	|	24898
	|		|	2	|	Жеке табыс салығы	|	24898
	|	03	|		|	Әлеуметтік салық	|	100800
	|		|	1	|	Әлеуметтік салық	|	100800
	|	04	|		|	Меншiкке салынатын салықтар	|	194805
	|		|	1	|	Мүлiкке салынатын салықтар	|	142925
	|		|	3	|	Жер салығы	|	8332
	|		|	4	|	Көлiк құралдарына салынатын салық	|	40039
	|		|	5	|	Бірыңғай жер салығы	|	3509
	|	05	|		|	Тауарларға, жұмыстарға және қызметтерге салынатын iшкi салықтар	|	60633
	|		|	2	|	Акциздер	|	2500
	|		|	3	|	Табиғи және басқа да ресурстарды пайдаланғаны үшiн түсетiн түсiмдер	|	48755
	|		|	4	|	Кәсiпкерлiк және кәсiби қызметтi жүргiзгенi үшiн алынатын алымдар	|	9378
	|	08	|		|	Заңдық мәнді іс-әрекеттерді жасағаны және (немесе) оған уәкілеттігі бар мемлекеттік органдар немесе лауазымды адамдар құжаттар бергені үшін алынатын міндетті төлемдер	|	2483
	|		|	1	|	Мемлекеттік баж	|	2483
2	|		|		|	Салықтық емес түсiмдер	|	14821
	|	01	|		|	Мемлекеттік меншіктен түсетін кірістер	|	4121
	|		|	5	|	Мемлекет меншігіндегі мүлікті жалға беруден түсетін кірістер	|	2121
	|		|	9	|	Мемлекет меншігінен түсетін басқа да кірістер	|	2000
	|	06	|		|	Өзге де салықтық емес түсiмдер	|	10700
	|		|	1	|	Өзге де салықтық емес түсiмдер	|	10700
3	|		|		|	Негізгі капиталды сатудан түсетін түсімдер	|	19729
	|	03	|		|	Жердi және материалдық емес активтердi сату	|	19729
	|		|	1	|	Жерді сату	|	19302
	|		|	2	|	Материалдық емес активтерді сату	|	427
4	|		|		|	Трансферттердің түсімдері	|	2236497
	|	02	|		|	Мемлекеттiк басқарудың жоғары тұрған органдарынан түсетiн трансферттер	|	2236497
	|		|	2	|	Облыстық бюджеттен түсетiн трансферттер	|	2236497
