Қазақстан Республикасының 2008 жылғы 4 желтоқсандағы Бюджет кодексiнің 106 және 109-1-баптарына , "Қазақстан Республикасындағы жергілікті мемлекеттік басқару және өзін-өзі басқару туралы" Қазақстан Республикасының 2001 жылғы 23 қаңтардағы Заңының 6-бабы 1-тармағы 1) тармақшасына сәйкес Солтүстік Қазақстан облысы Мамлют ауданының мәслихаты ШЕШІМ ҚАБЫЛДАДЫ:

1. "2018-2020 жылдарға арналған Солтүстік Қазақстан облысы Мамлют ауданы Мамлютка қаласының бюджеті туралы" Солтүстік Қазақстан облысы Мамлют ауданы мәслихатының 2017 жылғы 25 желтоқсандағы (нормативтік құқықтық актілерді мемлекеттік тіркеу тізілімінде № 4503 болып тіркелді, 2018 жылғы 24 қаңтарда Қазақстан Республикасының нормативтік құқықтық актілері электрондық түрдегі эталондық бақылау банкінде жарияланған) № 23/3 шешіміне келесі өзгеріс енгізілсін:

нұсқалған шешімнің 1 қосымшасы осы шешімнің қосымшасына сәйкес жаңа редакцияда баяндалсын.

2. Осы шешім 2018 жылғы 1 қаңтардан бастап қолданысқа енгізіледi.


Солтүстік Қазақстан облысы Мамлют ауданымәслихаты сессиясының төрағасы	|	Қ. Қасенов
Солтүстік Қазақстан облысы Мамлют ауданымәслихатының хатшысы	|	Р. Нұрмұқанова



	|	Солтүстік Қазақстан облысыМамлют ауданы мәслихатының2018 жылғы 30 наурыздағы№ 27/2 шешіміне қосымша
	|	Солтүстік Қазақстан облысы
	|	Мамлют ауданы мәслихатының
	|	2017 жылғы 25 желтоқсандағы
	|	№ 23/3 шешіміне 1 қосымша

2018 жылға Солтүстік Қазақстан облысы Мамлют ауданы Мамлютка қаласының бюджеті

Санаты	|	Класс	|	Ішкі класс	|	Атауы	|	Сома, мың теңге
1	|	2	|	3	|	4	|	5
	|		|		|	1) Кірістер	|	42696
1	|		|		|	Салықтық түсімдер	|	27024
	|	01	|		|	Табыс салығы	|	11333
	|		|	2	|	Жеке табыс салығы	|	11333
	|	04	|		|	Меншiкке салынатын салықтар	|	15691
	|		|	1	|	Мүлiкке салынатын салықтар	|	561
	|		|	3	|	Жер салығы	|	4280
	|		|	4	|	Көлiк құралдарына салынатын салық	|	10850
2	|		|		|	Салықтық емес түсiмдер	|	174
	|	01	|		|	Мемлекеттік меншіктен түсетін кірістер	|	174
	|		|	5	|	Мемлекет меншігіндегі мүлікті жалға беруден түсетін кірістер	|	174
4	|		|		|	Трансферттердің түсімдері	|	15498
	|	02	|		|	Мемлекеттiк басқарудың жоғары тұрған органдарынан түсетiн трансферттер	|	15498
	|		|	3	|	Аудандық бюджеттен (облыстық маңыздағы қала) трансферттер	|	15498

Кестенің жалғасы


Функционалдық топ	|	Әкімгері	|	Бағдарлама	|	Атауы	|	Сома, мың теңге
1	|	2	|	3	|	4	|	5
	|		|		|	2) Шығыстар	|	42 696
01	|		|		|	Жалпы сипаттағы мемлекеттік қызметтер	|	24436
	|	124	|		|	Қаладағы аудан, аудандық маңызы бар қала, кент, ауыл, ауылдық округ әкімінің аппараты	|	24436
	|		|	001	|	Қаладағы аудан, аудандық маңызы бар қаланың, кент, ауыл, ауылдық округ әкімінің қызметін қамтамасыз ету жөніндегі қызметтер	|	24436
	|		|	022	|	Мемлекеттік органның күрделі шығындары	|	823
07	|		|		|	Тұрғын үй-коммуналдық шаруашылық	|	9760
	|	124	|		|	Қаладағы аудан, аудандық маңызы бар қала, кент, ауыл, ауылдық округ әкімінің аппараты	|	9760
	|		|	008	|	Елді мекендердегі көшелерді жарықтандыру	|	9947
	|		|	010	|	Жерлеу орындарын ұстау және туыстары жоқ адамдарды жерлеу	|	60
	|		|	011	|	Елді мекендерді абаттандыру мен көгалдандыру	|	3230
12	|		|		|	Көлiк және коммуникация	|	4200
	|	124	|		|	Қаладағы аудан, аудандық маңызы бар қала, кент, ауыл, ауылдық округ әкімінің аппараты	|	4200
	|		|	013	|	Аудандық маңызы бар қалаларда, кенттерде, ауылдарда , ауылдық округтерде автомобиль жолдарының жұмыс істеуін қамтамасыз ету	|	4200
	|		|		|	3) Қаржылық активтермен операциялық сальдо	|	0
	|		|		|	қаржылық активтерді сатып алу	|	0
	|		|		|	мемлекеттің қаржылық активтерін сатудан түсімдер	|	0
	|		|		|	4) Бюджеттiң жетiспеушiлiгi (артықшылығы)	|	0
	|		|		|	5) Бюджеттiң жетiспеушiлiгiн (артықшылықты қолдану) қаржыландыру	|	0
	|		|		|	Бюджет қаражатының пайдаланылатын қалдықтары	|	0



