Қордай аудандық мәслихаты ШЕШТІ:

1. "2021-2023 жылдарға арналған аудандық бюджет туралы" Қордай аудандық мәслихатының 2020 жылғы 21 желтоқсандағы №79-3 шешіміне (нормативтік құқықтық актілерді мемлекеттік тіркеу тізілімінде № 4848 болып тіркелген) келесідей өзгерістер енгізілсін:

1 тармақ жаңа редакцияда жазылсын:

1. 2021-2023 жылдарға арналған аудандық бюджет тиісінше осы шешімнің қосымшасына сәйкес, оның ішінде 2021 жылға келесідей көлемдерде бекітілсін:

1) кірістер – 24 694 026 мың теңге, оның ішінде:

салықтық түсімдер – 3 503 133 мың теңге;

салықтық емес түсімдер – 19 212 мың теңге;

негізгі капиталды сатудан түсетін түсімдер – 161 515 мың теңге;

трансферттер түсiмі – 21 010 166 мың теңге;

2) шығындар – 25 040 184 мың теңге;

5) бюджет тапшылығы (профициті) – - 384 208 мың теңге;

6) бюджет тапшылығын қаржыландыру (профицитін пайдалану) – 384 208 мың теңге, оның ішінде:

қарыздар түсімі – 410 803 мың теңге.

Аталған шешімнің 1 қосымшасы осы шешімнің қосымшасына сәйкес жаңа редакцияда мазмұндалсын.

2. Осы шешім 2021 жылдың 1 қаңтарынан қолданысқа енгізіледі.


Қордай аудандық мәслихат
сессиясының төрағасы	|	Э. Курумбаев
Қордай аудандық
мәслихатының хатшысы	|	Н. Садыков



	|	Қордай аудандыдықмәслихатының2020 жылғы21 желтоқсандағы № 73-2шешіміне 1 қосымшасы
	|	Қордай аудандыдықмәслихатының2021 жылғы15 маусымдағы № 9-2шешіміне1 қосымшасы

2021 жылға арналған аудандық бюджет

Санаты	|	Сомасы (мың теңге)
	|	Сыныбы
	|		|	Ішкі сыныбы
	|		|		|	Атауы
1	|	2	|	3	|	4	|	5
	|		|		|	1. Кірістер	|	24694026
1	|		|		|	Салықтық түсімдер	|	3503133
	|	01	|		|	Табыс салығы	|	1431463
	|		|	1	|	Корпоративтік табыс салығы	|	858803
	|		|	2	|	Жеке табыс салығы	|	572660
	|	03	|		|	Әлеуметтік салық	|	502153
	|		|	1	|	Әлеуметтік салық	|	502153
	|	04	|		|	Меншікке салынатын салықтар	|	1487149
	|		|	1	|	Мүлікке салынатын салықтар	|	1485149
	|		|	3	|	Жер салығы	|	1800
	|		|	5	|	Бірыңғай жер салығы	|	200
	|	05	|		|	Тауарларға, жұмыстарға және қызметтерге салынатын ішкі салықтар	|	59183
	|		|	2	|	Акциздер	|	30983
	|		|	3	|	Табиғи және басқа да ресурстарды пайдаланғаны үшін түсетін түсімдер	|	11000
	|		|	4	|	Кәсіпкерлік және кәсіби қызметті жүргізгені үшін алынатын алымдар	|	17200
	|	07	|		|	Басқа да салықтар	|	2310
	|		|	1	|	Басқа да салықтар	|	2310
	|	08	|		|	Заңдық маңызы бар әрекеттерді жасағаны және (немесе) оған уәкілеттігі бар мемлекеттік органдар немесе лауазымды адамдар құжаттар бергені үшін алынатын міндетті төлемдер	|	20875
	|		|	1	|	Мемлекеттік баж	|	20875
2	|		|		|	Салықтық емес түсімдер	|	19212
	|	01	|		|	Мемлекеттік меншіктен түсетін кірістер	|	8203
	|		|	5	|	Мемлекет меншігіндегі мүлікті жалға беруден түсетін кірістер	|	8203
	|	04	|		|	Мемлекеттік бюджеттен қаржыландырылатын, сондай-ақ Қазақстан Республикасы Ұлттық Банкінің бюджетінен (шығыстар сметасынан) қамтылатын және қаржыландырылатын мемлекеттік мекемелер салатын айыппұлдар, өсімпұлдар, санкциялар, өндіріп алулар	|	3450
