ШЕШТІ:

1. "2021-2023 жылдарға арналған қалалық бюджет туралы" 2020 жылғы 23 желтоқсандағы Тараз қалалық мәслихатының №66-3 шешіміне (Нормативтік құқықтық актілердің мемлекеттік тіркеу тізілімінде №4875 болып тіркелген) келесі өзгерістер енгізілсін:

1 тармақ жаңа редакцияда мазмұндалсын:

"1) 2021-2023 жылдарға арналған қалалық бюджет тиісінше осы шешімге 1, 2 және 3 қосымшаларға сәйкес, оның ішінде 2021 жылға мынадай көлемдерде бекітілсін:

1) кірістер – 61 825 116 мың теңге, оның ішінде:

салықтық түсімдер – 14 872 926 мың теңге;

негізгі капиталды сатудан түскен түсімдер – 3 878 080 мың теңге;

трансферттер түсімі– 42 906 953 мың теңге;

2) шығындар – 74 711 526 мың теңге;

5) бюджет тапшылығы (профициті) – -13 563 598 мың теңге;

6) бюджет тапшылығын қаржыландыру (профицитін пайдалану) – 13 563 598 мың теңге:

қарыздар түсімі – 16 050 133 мың теңге;

қарыздарды өтеу – 4 799 988 мың теңге".

2 тармақ жаңа редакцияда мазмұндалсын:

"2. 2021 жылға арналған қала әкімдігінің резерві 778 334 мың теңге сомасында бекітілсін".

Көрсетілген шешімнің 1 қосымшасы осы шешімнің қосымшасына сәйкес жаңа редакцияда мазмұндалсын.

2. Осы шешім 2021 жылдың 1 қаңтарынан қолданысқа енгізіледі.


Тараз қалалық мәслихаты
сессиясының төрағасы	|	А. Абделі
Тараз қалалық
мәслихатының хатшысы	|	Б. Кулекеев



	|	Тараз қалалық мәслихатының2021 жылғы 18 маусымдағы№ 5-5шешіміне қосымша
	|	Тараз қалалық мәслихатының2020 жылғы 23 желтоқсандағы№66-3 шешіміне 1 қосымша

Тараз қаласының 2021 жылға арналған бюджеті

Санаты	|		|		|	Сомасы, мың теңге
	|	Сыныбы
	|		|	Iшкi сыныбы
	|		|		|	Атауы
1	|	2	|	
	|		|		|	І. КІРІСТЕР	|	61825116
1	|		|		|	САЛЫҚТЫҚ ТҮСІМДЕР	|	14872926
	|	01	|		|	Табыс салығы	|	7397355
	|		|	1	|	Корпоративтік табыс салығы	|	3840000
	|		|	2	|	Жеке табыс салығы	|	3557355
	|	03	|		|	Әлеуметтiк салық	|	3000000
	|		|	1	|	Әлеуметтік салық	|	3000000
	|	04	|		|	Меншiкке салынатын салықтар	|	3498880
	|		|	1	|	Мүлiкке салынатын салықтар	|	1879200
	|		|	3	|	Жер салығы	|	275000
	|		|	4	|	Көлiк құралдарына салынатын салық	|	1344300
	|		|	5	|	Бірыңғай жер салығы	|	380
	|	05	|		|	Тауарларға, жұмыстарға және қызметтерге салынатын iшкi салықтар	|	548662
	|		|	2	|	Акциздер	|	48500
