Алматы қаласының мәслихаты ШЕШТІ:

1. "Алматы қаласындағы 2020-2022 жылдарға арналған әлеуметтік маңызы бар қатынастардың тізбесін айқындау туралы" Алматы қаласы мәслихатының 2020 жылғы 18 наурыздағы № 431 шешіміне (Нормативтік құқықтық актілерді мемлекеттік тіркеу тізілімінде № 1262 болып тіркелген) мынадай өзгерістер мен толықтырулар енгізілсін:

көрсетілген шешімнің тақырыбы жаңа редакцияда жазылсын:

"Алматы қаласындағы әлеуметтік маңызы бар қатынастардың тізбесін айқындау туралы";

көрсетілген шешімнің қосымшасы осы шешімнің қосымшасына сәйкес жаңа редакцияда жазылсын.

2. Осы шешім алғашқы ресми жарияланған күнінен кейін күнтізбелік он күн өткен соң қолданысқа енгізіледі және 2022 жылғы 1 мамырдан бастап туындаған құқықтық қатынастарға қолданылады.


Алматы қаласымәслихатының хатшысы	|	С. Канкуров



	|	Алматы қаласы мәслихатының2022 жылғы 30 қарашадағы№ 189 шешімінеқосымша
	|	Алматы қаласы мәслихатының2020 жылғы 18 наурыздағы№ 431 шешімінеқосымша

Алматы қаласындағы әлеуметтiк маңызы бар қатынастардың тізбесі

№ р/с	|	Маршрут нөмірі	|	Маршрут атауы
1	|	2	|	3
1	|	1	|	2-ші Остроумов көшесі – "Алматы-1" теміржол вокзалы
2	|	2	|	"Алматы-1" теміржол вокзалы – "Таулы Қырат" шағын ауданы
3	|	3	|	"Орбита" шағын ауданы – Әуежай (түнгі экспресс)
4	|	4	|	"Қарағайлы" шағын ауданының мектебі – "Думан" шағын ауданы
5	|	5	|	Қалдаяқов көшесі – Жібек жолы көшесі – "Ақ Төбе" кенті
6	|	5а	|	Қалдаяқов көшесі – Жібек жолы көшесі – "Ұлы Отан Соғысы" госпиталі
7	|	5б	|	Қалдаяқов көшесі – Жібек жолы көшесі – "Ақ қайың" шипажайы
8	|	5в	|	Қайың тоғайы – Достық даңғылы – Оспанов көшесі
9	|	7	|	"Зерделі" шағын ауданы – "Рахат" кондитерлік фабрикасы
10	|	8	|	"Жас Қанат" шағын ауданы – "Райымбек батыр" метро бекеті
11	|	10	|	"Райымбек батыр" метро бекеті – "Боралдай" әуежайы
12	|	11	|	"Думан" шағын ауданы – "Абай" кенті (Абай саяжайлары)
13	|	12	|	"Алматы-2" теміржол вокзалы – "Медеу" мұз айдыны
14	|	13	|	"Мәдениет және демалыс саябағы" – "Алматы-1" теміржол вокзалының көпірі
15	|	14	|	"Дәрия" шағын ауданы – "Асыл Арман" тұрғын үй кешені
16	|	15	|	"Нұрлытау" шағын ауданы – "Барлық" базары
17	|	16	|	"Асыл Арман" тұрғын үй кешені – "Мәдениет және демалыс саябағы"
18	|	17	|	"Думан" шағын ауданы – "Айнабұлақ-3" шағын ауданы
19	|	18	|	Победа көшесі – Саин көшесі – Торайғыров көшесі
20	|	19	|	"Нұркент" шағын ауданы – "Қазақфильм" шағын ауданы
21	|	20	|	"Думан" шағын ауданы – "Қарасу" шағын ауданы
22	|	21	|	Станиславский көшесі – "Көк-Төбе" шағын ауданы
23	|	22	|	Мақатаев көшесі – "Барлық" базары
24	|	23	|	"№7 қалалық клиникалық ауруханасы" – "Қырғауылды" кенті
25	|	24	|	"Өжет" шағын ауданы – Мәдениет шағын ауданы
26	|	25	|	"Саялы-2" шағын ауданы – Байтұрсынов – Мақатаев көшелері
27	|	26	|	"№ 7 қалалық клиникалық ауруханасы" – Экологиялық бекет – "Тау жолы" кенті
28	|	27	|	"Жас Қанат" шағын ауданы – Наурызбай ауданының әкімшілік орталығы
29	|	28	|	"Орбита 2-4" шағын ауданы – 2-Гидроэлектростанциясы
30	|	29	|	2-ші Остроумов көшесі – "Мұзтау" шағын ауданы
31	|	29р	|	Қалдаяқов көшесі – Экологиялық бекет
32	|	30	|	"Алматы-1" теміржол вокзалы – "Нұр Алатау" шағын ауданы
33	|	31	|	"Қазақфильм" шағын ауданы – "Абай" шағын ауданы
34	|	32	|	"Арман" автобекеті – "Жұлдыз" шағын ауданы
35	|	33	|	"Саялы" шағын ауданы – "Әлмерек" шағын ауданы
36	|	34	|	"Алматы-1" теміржол вокзалы – "Арман" автобекеті
37	|	35	|	"Адем" сауда орталығы – "Қарасу" шағын ауданы
38	|	36	|	"Маяк" шағын ауданы – "Алматы-1" теміржол вокзалы
39	|	37	|	"Мамыр" шағын ауданы – "Магнум" сауда үйі
40	|	38	|	Әл-Фараби даңғылы – Алматы шығыс айналма жолы – Саин көшесі – Рысқұлов даңғылы
41	|	39	|	Жандосов – Вахтангов көшелері – "Дария" шағын ауданы
42	|	40	|	Гончаров көшесі – Мақатаев көшесі
43	|	41	|	"Көкжиек" шағын ауданы – "Гүлдала" кенті
44	|	42	|	Құрылыс комбинаты – Қонаев көшесі
45	|	43	|	Қайырбеков – Жібек жолы көшелері – Бригадная көшесі
46	|	44	|	"Алма Сити" тұрғын үй кешені – "Орталық стадион"
47	|	45	|	"Шаңырақ" шағын ауданы – "Самал" шағын ауданы
48	|	46	|	Бидайық көшесі – "Алматы-1" теміржол вокзалы
49	|	47	|	2-ші Остроумов көшесі – "Барлық" базары
50	|	48	|	Халыққа қызмет көрсету орталығы – "Таулы Қырат" шағын ауданы
51	|	49	|	"Бауыржан Момышұлы" метро бекеті – Карьерная көшесі
52	|	50	|	"Айша Бибі" шағын ауданы – "Ақжар" шағын ауданы
53	|	51	|	"Рахат" кондитерлік фабрикасы – "Жұлдыз Жаңа құрылыс" шағын ауданы
54	|	52	|	6 қалалық кешені – "Қырғауылды" кенті
55	|	53	|	"Мамыр-1" шағын ауданы – "Кемертоған" кенті
56	|	54	|	Крылов көшесі – "Аспан Сити" тұрғын үй кешені – Алатау тас жолы
57	|	55	|	"Сарыарқа" метро бекеті – "Барлық" базары
58	|	56	|	"Көкмайса" шағын ауданы – "Қазақфильм" шағын ауданы
59	|	57	|	"Саялы-2" шағын ауданы – Республика сарайы
60	|	59	|	Саин көшесі Орбита 3 шағын ауданы – "Жетісу" базары
61	|	60	|	Қалдаяқов көшесі – Кеңсай саяжайлары
62	|	62	|	Хан Тәңірі көшесі – Қазығұрт – 12 қалалық аурухана
63	|	63	|	"Арман" автобекеті – Қонаев көшесі
64	|	65	|	"Ақсай-3б" шағын ауданы – "Думан" шағын ауданы
65	|	66	|	Төле Би – Яссауи көшелеріндегі айналма алаңы – 28 Панфиловшылар паркі
66	|	67	|	"Қазақфильм" шағын ауданы – "Абай" шағын ауданы
67	|	68	|	"Есентай молл" сауда үйі – Алматинская көшесі
68	|	69	|	"Жетісу" базары – "Ұлжан" шағын ауданы
69	|	70	|	"Таулы Қырат" шағын ауданы – "Көкжиек" шағын ауданы
70	|	71	|	"Алматы-1" теміржол вокзалы – "Рахат" кондитерлік фабрикасы
71	|	72	|	"Алматы-1" теміржол вокзалы – 6 шағын ауданы
72	|	73	|	Балтабаев көшесі – "Алматы-1" теміржол вокзалы
73	|	74	|	"Рахат" кондитерлік фабрикасы – "Алматы-1" теміржол вокзалының көпірі
74	|	77	|	"Алматы-1" теміржол вокзалы – "Арман" автобекеті
75	|	78	|	"Бауыржан Момышұлы" метро бекеті – Жалпақсай кенті
76	|	79	|	Жандосов – Саин көшелері – "Әлмерек" шағын ауданы
77	|	80	|	"Айнабұлақ-3, 4" шағын ауданы – "Атакент" Қазақстан іскерлік ынтымақтастық орталығы
78	|	81	|	71 разъезд – Қожабеков көшесі
79	|	85	|	"Мамыр-1, 7" шағын ауданы – "Жұлдыз" шағын ауданы
80	|	86	|	Торайғыров көшесі – Азаматтық авиация академиясы
81	|	88	|	Қонаев – Мақатаев көшелері – Батыс зираты
82	|	92	|	Әуежай – "Мамыр" шағын ауданы
83	|	95	|	"Барлык" базары– "Көк-Төбе" шағын ауданы
84	|	98	|	"Байтал" тұрғын үй кешені – "Райымбек батыр" метро бекеті
85	|	99	|	"Ақбұлақ" шағын ауданы – "Көк-Төбе" шағын ауданы
86	|	100	|	"Асыл Арман" тұрғын үй кешені – "Бесағаш" кенті
87	|	101	|	Индустриялық аймақ – "Хайлибери" мектебі
88	|	102	|	"Барлық" базары – "Алматы-1" теміржол вокзалы
89	|	103	|	"Арман" авто бекеті – "Шаңырақ-1" шағын ауданы
90	|	104	|	"Таугүл-3" шағын ауданы – Бидайық көшесі
91	|	104а	|	Наурызбай ауданының әкімшілік орталығы – "Қарғалы" шағын ауданы
92	|	105	|	"Мәдениет" шағын ауданы – Төле би – Яссауи айналма алаңы
93	|	106	|	"Әлмерек" шағын ауданы – "Жетісу" шағын ауданы
94	|	107	|	Достық даңғылы – Оспанов көшесі – "Көлсай" кенті
95	|	108	|	"Алма-Арасан" шағын ауданы – № 190 мектеп
96	|	109	|	"Алғабас" шағын ауданы – 6 шағын ауданы
97	|	110	|	Төле Би – Яссауи көшелері – № 176 мектеп
98	|	111	|	"Көк-Төбе" шағын ауданы – Қалдаяқов көшесі – Жібек жолы көшесі
99	|	112	|	Макатаев көшесі – "Барлық" базары
100	|	113	|	"Жетісу" базары – Саин көшесі ("Орбита-3" шағын ауданы)
101	|	114	|	"Сұлусай" кенті – Абдуллиндер көшесі
102	|	115	|	№ 184 мектеп – "Өжет" базары
103	|	116	|	"Нұрлытау" шағын ауданы – Розыбакиев көшесі – Райымбек даңғылы
104	|	117	|	Қонаев-Мақатаев көшесі – "Алатау" шағын ауданы (Ядролық физика институты)
105	|	118	|	Строительная көшесі Наурызбай ауданы – "Мәдениет және демалыс саябағы"
106	|	119	|	"Қарғалы" шағын ауданы – "Райымбек батыр" метро бекеті
107	|	120	|	"Айнабұлақ-4" шағын ауданы – "Жетісу" базары
108	|	121	|	"Жұлдыз-1, 2" шағын ауданы – "Орбита" шағын ауданы
109	|	122	|	"Рахат" кенті – Төле Би – Яссауи көшелеріндегі айналма алаңы
110	|	123	|	Қожабеков көшесі – "Көкжиек" шағын ауданы
111	|	124	|	"Таулы Қырат" шағын ауданы – "Водник" шағын ауданы
112	|	125	|	"Көкжиек" шағын ауданы – Жұбанов көшесі
113	|	125а	|	№ 179 мектеп – "Шаңырақ-6" шағын ауданы
114	|	126	|	"Мәдениет және демалыс саябағы" – "Таусамалы" шағын ауданы
115	|	127	|	"Қазақфильм" шағын ауданы – Қонаев көшесі
116	|	128	|	"Самал" шағын ауданы – "Барлық" базары
117	|	129	|	"Қарасу" шағын ауданы – "Рахат" кондитерлік фабрикасы
118	|	131	|	"Рахат" кондитерлік фабрикасы – Иштван Қоңыр көшесі
119	|	132	|	"Ұлжан-1" шағын ауданы – "Ұлжан-2" шағын ауданы – Өтемісов көшесі
120	|	133	|	Қонаев – Макатаев көшелері – "Өжет" базары
121	|	133а	|	"Новый" шағын ауданы – № 179 мектеп
122	|	135	|	"Арман" автобекеті – "Алматы-1" теміржол вокзалы
123	|	137	|	Наурызбай ауданының әкімшілік орталығы – "Ақбұлақ" базары
124	|	138	|	"Адем" сауда орталығы – "Жетісу" базары
125	|	141	|	"Айнабұлақ-3, 4" шағын ауданы – Экологиялық бекет
126	|	142	|	"Мамыр-1" ықшам ауданы – "2-ші ЖЭО"
127	|	201	|	Алматы шығыс айналма жолы – 13 шағын ауданы – Мөңке би көшесі
128	|	202	|	"Сайран" автовокзалы – Қаскелен қаласы
129	|	203	|	"Райымбек батыр" метро бекеті – Талғар қаласы
130	|	204	|	"Райымбек батыр" метро бекеті – "Белбұлақ" кенті
131	|	205	|	"Жетісу" базары – "Орбита-2, 4" шағын аудандары
132	|	206	|	Алматы шығыс айналма жолы – Төле Би көшесі – Яссауи көшесі
133	|	207	|	"Райымбек батыр" метро бекеті – Талғар қаласы
134	|	208	|	"Алматы-2" теміржол вокзалы – Қоянкұс кенті
135	|	209	|	"Спорт сарайы" – "Пионер" тау курорты
136	|	210	|	"Спорт сарайы" – "Ой-Қарағай" тау курорты
137	|	212	|	Жандосов – Саин көшелері – Жандосов кенті – "Шамалған" кенті
138	|	213	|	"Көлащы" кенті – ҮАК (Үлкен Алматы каналы)
139	|	214	|	"Алматы-1" теміржол вокзалы – "Жаңаталап" кенті
140	|	215	|	"Жас Қанат" шағын ауданы – "Ынтымақ" кенті
141	|	217	|	"Алматы-1" теміржол вокзалы – "Әли" кенті
142	|	219	|	"Адем" сауда орталығы – "Қарасу" кенті
143	|	220	|	"Райымбек батыр" метро бекеті – "Жетіген" кенті
144	|	221	|	"Райымбек батыр" метро бекеті – "Қайнар" кенті
145	|	222	|	"Айғаным" кенті – "Райымбек батыр" метро бекеті
146	|	224	|	"Ақбұлақ" тау шаңғы курорты – "Орталық стадион"
147	|	225	|	"Саяхат" автовокзалы – Есік қаласы
148	|	226	|	"Бауыржан Момышұлы" метро бекеті – "Жаңатұрмыс" кенті
149	|	227	|	"Алматы-1" теміржол вокзалы – "Чапаев" кенті
150	|	228	|	"Өтеген батыр" кенті – Панфилов көшесі
151	|	230	|	Төле Би – Яссауи көшелеріндегі айналма алаңы – Қаскелен қаласы
152	|	231	|	"Комсомол" кенті – "Жапек батыр" ауылы – "Саяхат" автовокзалы
153	|	1-тп	|	"Мәдениет және демалыс саябағы" – Қожабеков көшесі
154	|	5-тп	|	"Алматы-2" теміржол вокзалы – "Ақсай" шағын ауданы (Марғұлан көшесі)
155	|	6-тп	|	"Алматы-2" теміржол вокзалы – Төле би көшесі – Бауыржан Момышұлы көшесі
156	|	7-тп	|	"Алматы-1" теміржол вокзалы – "Атакент" Қазақстан іскерлік ынтымақтастық орталығы
157	|	9-тп	|	"Орталық базар" – Қожабеков көшесі
158	|	11-тп	|	"Орталық базар" – Жұбанов көшесі
159	|	12-тп	|	"Мәдениет және демалыс саябағы" – Саин және Жандосов көшелері
160	|	19-тп	|	"Орталық базар" – Школьный көшесі
161	|	25-тп	|	"Мәдениет және демалыс саябағы" – Марғұлан көшесі



