Алматы қаласының мәслихаты ШЕШТІ:

1. "Алматы қаласындағы әлеуметтік маңызы бар қатынастардың тізбесін айқындау туралы" Алматы қаласы мәслихатының 2020 жылғы 18 наурыздағы № 431 шешіміне (Нормативтік құқықтық актілерді мемлекеттік тіркеу тізілімінде № 1612 болып тіркелген) мынадай өзгерістер енгізілсін:

1-тармақ мынадай редакцияда жазылсын:

"1. Осы шешімнің қосымшасына сәйкес, Алматы қаласындағы әлеуметтік маңызы бар қатынастардың тізбесі айқындалсын.".

көрсетілген шешімнің қосымшасы осы шешімнің қосымшасына сәйкес жаңа редакцияда жазылсын.

2. Осы шешім алғашқы ресми жарияланған күнінен кейін күнтізбелік он күн өткен соң қолданысқа енгізіледі және 2023 жылғы 1 маусымнан бастап туындаған құқықтық қатынастарға қолданылады.


Алматы қаласы мәслихатының төрағасы	|	М. Отыншиев



	|	Алматы қаласымәслихатының 2023 жылғы1 желтоқсандағы № 68шешіміне қосымша
	|	Алматы қаласымәслихатының 2020 жылғы18 наурыздағы № 431шешіміне қосымша

Алматы қаласындағы әлеуметтiк маңызы бар қатынастардың тізбесі

№р/с	|	Маршрут нөмірі	|	Маршрут атауы
1	|	2	|	3
1	|	1	|	2-ші Остроумов көшесі – "Алматы-1" теміржол вокзалы
2	|	2	|	"Алматы-1" теміржол вокзалы – "Таулы Қырат" шағын ауданы
3	|	3	|	"Орбита" шағын ауданы – Әуежай (түнгі экспресс)
4	|	4	|	"Қарағайлы" шағын ауданының мектебі – "Думан" шағын ауданы
5	|	5	|	Қалдаяқов көшесі – Жібек жолы көшесі – "Ақ Төбе" кенті
6	|	5а	|	Қалдаяқов көшесі – Жібек жолы көшесі – "Ұлы Отан Соғысы" госпиталі
7	|	5б	|	Қалдаяқов көшесі – Жібек жолы көшесі – "Ақ қайың" шипажайы
8	|	5в	|	Қайың тоғайы – Достық даңғылы – Оспанов көшесі
9	|	7	|	"Зерделі" шағын ауданы – "Рахат" кондитерлік фабрикасы
10	|	8	|	"Жас Қанат" шағын ауданы – "Райымбек батыр" метро бекеті
11	|	9	|	"Жас Қанат" шағын ауданы – "Райымбек батыр" метро бекеті
12	|	10	|	"Райымбек батыр" метро бекеті – "Боралдай" әуежайы
13	|	11	|	"Думан" шағын ауданы – "Абай" кенті (Абай саяжайлары)
14	|	12	|	"Алматы-2" теміржол вокзалы – "Медеу" мұз айдыны
15	|	13	|	"Мәдениет және демалыс саябағы" – "Алматы-1" теміржол вокзалының көпірі
16	|	14	|	"Дәрия" шағын ауданы – "Асыл Арман" тұрғын үй кешені
17	|	15	|	"Нұрлытау" шағын ауданы – "Барлық" базары
18	|	16	|	"Асыл Арман" тұрғын үй кешені – "Мәдениет және демалыс саябағы"
19	|	17	|	"Думан" шағын ауданы – "Айнабұлақ-3" шағын ауданы
20	|	18	|	Победа көшесі – Саин көшесі – Торайғыров көшесі
21	|	19	|	"Нұркент" шағын ауданы – "Қазақфильм" шағын ауданы
22	|	20	|	"Думан" шағын ауданы – Есентай көшесі
23	|	21	|	Станиславский көшесі – "Көк-Төбе" шағын ауданы
24	|	22	|	Мақатаев көшесі – "Барлық" базары
25	|	23	|	"№7 қалалық клиникалық ауруханасы" – "Қырғауылды" кенті
26	|	24	|	"Өжет" шағын ауданы – Мәдениет шағын ауданы
27	|	25	|	"Саялы-2" шағын ауданы – Байтұрсынов – Мақатаев көшелері
28	|	26	|	"№ 7 қалалық клиникалық ауруханасы" – Экологиялық бекет – "Тау жолы" кенті
29	|	27	|	"Жас Қанат" шағын ауданы – Крылов көшесі
30	|	28	|	"Орбита 2-4" шағын ауданы – 2-Гидроэлектростанциясы
31	|	29	|	2-ші Остроумов көшесі – "Мұзтау" шағын ауданы
32	|	29р	|	Қалдаяқов көшесі – Экологиялық бекет
33	|	30	|	"Алматы-1" теміржол вокзалы – "Нұр Алатау" шағын ауданы
34	|	31	|	"Қазақфильм" шағын ауданы – "Абай" шағын ауданы
35	|	32	|	"Арман" автобекеті – "Жұлдыз" шағын ауданы
36	|	33	|	"Саялы" шағын ауданы – "Әлмерек" шағын ауданы
37	|	34	|	"Алматы-1" теміржол вокзалы – "Арман" автобекеті
38	|	35	|	"Адем" сауда орталығы – "Қарасу" шағын ауданы
39	|	36	|	"Маяк" шағын ауданы – "Алматы-1" теміржол вокзалы
40	|	37	|	"Мамыр" шағын ауданы – "Магнум" сауда үйі
41	|	38	|	Әл-Фараби даңғылы – Алматы шығыс айналма жолы – Саин көшесі – Рысқұлов даңғылы
42	|	39	|	Жандосов – Вахтангов көшелері – "Дария" шағын ауданы
43	|	40	|	Гончаров көшесі – Мақатаев көшесі
44	|	41	|	"Көкжиек" шағын ауданы – "Гүлдала" кенті Талғар ауданы
45	|	42	|	Құрылыс комбинаты – Қонаев көшесі
46	|	43	|	Қайырбеков – Жібек жолы көшелері – Бригадная көшесі
47	|	44	|	"Алма Сити" тұрғын үй кешені – "Орталық стадион"
48	|	45	|	"Шаңырақ" шағын ауданы – "Самал" шағын ауданы
49	|	46	|	Бидайық көшесі – "Алматы-1" теміржол вокзалы
50	|	47	|	2-ші Остроумов көшесі – "Барлық" базары
51	|	48	|	Халыққа қызмет көрсету орталығы – "Таулы Қырат" шағын ауданы
52	|	49	|	"Бауыржан Момышұлы" метро бекеті – Карьерная көшесі
53	|	50	|	"Айша Бибі" шағын ауданы – "Ақжар" шағын ауданы
54	|	51	|	"Рахат" кондитерлік фабрикасы – "Жұлдыз Жаңа құрылыс" шағын ауданы
55	|	52	|	6 қалалық кешені – "Қырғауылды" кенті
56	|	53	|	"Мамыр-1" шағын ауданы – "Кемертоған" кенті
57	|	54	|	Крылов көшесі – "Аспан Сити" тұрғын үй кешені – Алатау тас жолы
58	|	55	|	"Сарыарқа" метро бекеті – "Барлық" базары
59	|	56	|	"Айнабұлақ-3" шағын ауданы – "Қазақфильм" шағын ауданы
60	|	57	|	"Саялы-2" шағын ауданы – Республика сарайы
61	|	58	|	"Қарасу" шағын ауданы – Есентай көшесі
62	|	59	|	Саин көшесі Орбита 3 шағын ауданы – "Жетісу" базары
63	|	60	|	Қалдаяқов көшесі – Кеңсай саяжайлары
64	|	62	|	Хан Тәңірі көшесі – Қазығұрт – 12 қалалық аурухана
65	|	63	|	"Арман" автобекеті – Қонаев көшесі
66	|	65	|	"Ақсай-3б" шағын ауданы – "Думан" шағын ауданы
67	|	66	|	Төле Би – Яссауи көшелеріндегі айналма алаңы – 28 Панфиловшылар паркі
68	|	67	|	"Қазақфильм" шағын ауданы – "Абай" шағын ауданы
69	|	68	|	"Есентай молл" сауда үйі – Алматинская көшесі
70	|	69	|	"Жетісу" базары – "Өжет" шағын ауданы
71	|	70	|	"Таулы Қырат" шағын ауданы – "Көкжиек" шағын ауданы
72	|	71	|	"Алматы-1" теміржол вокзалы – "Рахат" кондитерлік фабрикасы
73	|	72	|	"Алматы-1" теміржол вокзалы – 6 шағын ауданы
74	|	73	|	Балтабаев көшесі – "Алматы-1" теміржол вокзалы
75	|	74	|	"Рахат" кондитерлік фабрикасы – "Алматы-1" теміржол вокзалының көпірі
76	|	75	|	"Өжет" шағын ауданы – "Рахат" кондитерлік фабрикасы
77	|	76	|	Наурызбай ауданының Әкімшілік орталығы – "Ақбұлақ" сауда орталығы
78	|	77	|	"Алматы-1" теміржол вокзалы – "Арман" автобекеті
79	|	78	|	"Бауыржан Момышұлы" метро бекеті – Жалпақсай кенті Қарасай ауданы
80	|	79	|	Жандосов – Саин көшелері – "Әлмерек" шағын ауданы
81	|	80	|	"Айнабұлақ-3, 4" шағын ауданы – "Атакент" Қазақстан іскерлік ынтымақтастық орталығы
82	|	81	|	71 разъезд – Қожабеков көшесі
83	|	85	|	"Мамыр-1, 7" шағын ауданы – "Жұлдыз" шағын ауданы
84	|	86	|	Торайғыров көшесі – Азаматтық авиация академиясы
85	|	88	|	Қонаев – Мақатаев көшелері – Батыс зираты
86	|	89	|	"Gate City" тұрғын үй кешені – "Райымбек батыр" метро бекеті
87	|	92	|	Әуежай – "Мамыр" шағын ауданы
88	|	95	|	"Барлык" базары– "Көк-Төбе" шағын ауданы
89	|	97	|	"Зерделі" шағын ауданы – "Айнабұлақ 3,4" шағын ауданы
90	|	98	|	"Байтал" тұрғын үй кешені – "Райымбек батыр" метро бекеті
91	|	99	|	"Ақбұлақ" шағын ауданы – "Көк-Төбе" шағын ауданы
92	|	100	|	"Асыл Арман" тұрғын үй кешені – "Бесағаш" кенті Талғар ауданы
93	|	101	|	Индустриялық аймақ – "Хайлибери" мектебі
94	|	102	|	"Барлық" базары – "Алматы-1" теміржол вокзалы
95	|	103	|	"Қарғалы" шағын ауданы – "Шаңырақ-1" шағын ауданы
96	|	104	|	"Таугүл-3" шағын ауданы – Бидайық көшесі
97	|	105	|	"Мәдениет" шағын ауданы – Төле би – Яссауи айналма алаңы
98	|	106	|	"Әлмерек" шағын ауданы – "Жетісу" шағын ауданы
99	|	107	|	Достық даңғылы – Оспанов көшесі – "Көлсай" кенті
100	|	108ш	|	"Алма-Арасан" шағын ауданы – № 190 мектеп
101	|	109	|	"Алғабас" шағын ауданы – 6 шағын ауданы
102	|	110	|	Төле Би – Яссауи көшелері – № 176 мектеп
103	|	111	|	"Көк-Төбе" шағын ауданы – Қалдаяқов көшесі – Жібек жолы көшесі
104	|	112	|	Макатаев көшесі – "Барлық" базары
105	|	113	|	"Жетісу" базары – Саин көшесі ("Орбита-3" шағын ауданы)
106	|	114	|	"Сұлусай" кенті – Абдуллиндер көшесі
107	|	115	|	"Теректі" шағын ауданы – "Зерделі" шағын ауданы
108	|	116	|	"Нұрлытау" шағын ауданы – Розыбакиев көшесі – Райымбек даңғылы
109	|	117	|	Қонаев-Мақатаев көшесі – "Алатау" шағын ауданы (Ядролық физика институты)
110	|	118	|	Строительная көшесі Наурызбай ауданы – "Мәдениет және демалыс саябағы"
111	|	119	|	"Қарғалы" шағын ауданы – "Райымбек батыр" метро бекеті
112	|	120	|	"Айнабұлақ-4" шағын ауданы – "Жетісу" базары
113	|	121	|	"Жұлдыз-1, 2" шағын ауданы – "Орбита" шағын ауданы
114	|	122	|	"Рахат" кенті – Төле Би – Яссауи көшелеріндегі айналма алаңы
115	|	123	|	Қожабеков көшесі – "Көкжиек" шағын ауданы
116	|	124	|	"Таулы Қырат" шағын ауданы – "Водник" шағын ауданы
117	|	125	|	"Көкжиек" шағын ауданы – Жұбанов көшесі
118	|	126	|	"Мәдениет және демалыс саябағы" – "Таусамалы" шағын ауданы
119	|	127	|	"Қазақфильм" шағын ауданы – Қонаев көшесі
120	|	128	|	"Самал" шағын ауданы – "Барлық" базары
121	|	129	|	"Қарасу" шағын ауданы – "Рахат" кондитерлік фабрикасы
122	|	131	|	"Рахат" кондитерлік фабрикасы – Иштван Қоңыр көшесі
123	|	132	|	"Ұлжан-1" ықшам ауданы – "Ұлжан-2" ықшам ауданы – "Сайран" метро бекеті
124	|	133	|	Қонаев – Макатаев көшелері – "Өжет" базары
125	|	135	|	"Арман" автобекеті – "Алматы-1" теміржол вокзалы
126	|	136	|	"Өжет" базары – Наурызбай ауданының әкімшілік орталығы
127	|	137	|	Наурызбай ауданының әкімшілік орталығы – "Ақбұлақ" базары
128	|	138	|	"Адем" сауда орталығы – "Жетісу" базары
129	|	139	|	Наурызбай ауданының әкімшілік орталығы – "Қарғалы" шағын ауданы
130	|	141	|	"Айнабұлақ-3, 4" шағын ауданы – Экологиялық бекет
131	|	142	|	"Мамыр-1" ықшам ауданы – "2-ші жылуэлектрорталығы"
132	|	143ш	|	№ 179 мектеп – "Шаңырақ-6" шағын ауданы
133	|	144ш	|	"Новый" шағын ауданы – № 179 мектеп
134	|	201	|	Алматы шығыс айналма жолы – 13 шағын ауданы – Мөңке би көшесі
135	|	202	|	"Сайран" автовокзалы – Қаскелен қаласы
136	|	203	|	"Райымбек батыр" метро бекеті – Талғар қаласы
137	|	204	|	"Райымбек батыр" метро бекеті – Талғар ауданының "Белбұлақ" кенті
138	|	205	|	"Жетісу" базары – "Орбита-2, 4" шағын аудандары
139	|	206	|	Алматы шығыс айналма жолы – "Төле би - Яссауи" айналмалы алаңы
140	|	207	|	"Райымбек батыр" метро бекеті – Талғар қаласы
141	|	208	|	"Алматы-2" теміржол вокзалы – Іле ауданының Қоянқұс кенті
142	|	209	|	"Спорт сарайы" – Талғар ауданының "Пионер" тау курорты
143	|	210	|	"Спорт сарайы" – Талғар ауданының "Ой-Қарағай" тау курорты
144	|	212	|	"Almaty Mall" сауда ойын орталығы – Қарасай ауданының "Шамалған" кенті Колледж
145	|	213	|	Үлкен Алматы каналы – Қарасай ауданының "Көлащы" кенті
146	|	214	|	"Алматы-1" теміржол вокзалы – Іле ауданының "Жаңаталап" кенті
147	|	215	|	"Айша Бибі" шағын ауданды – Іле ауданың "Ынтымақ" кенті
148	|	216	|	"Алматы-1" теміржол вокзалы – Талғар ауданының "Дәулет" кенті
149	|	217	|	"Алматы-1" теміржол вокзалы – Іле ауданының "Әли" кенті
150	|	219	|	"Адем" сауда орталығы – Іле ауданының "Қарасу" кенті
151	|	220	|	"Райымбек батыр" метро бекеті – Іле ауданының "Жетіген" кенті
152	|	221	|	"Райымбек батыр" метро бекеті – Талғар ауданының "Қайнар" кенті
153	|	222	|	"Райымбек батыр" метро бекеті – Талғар ауданының "Айғаным" кенті
154	|	223	|	"Алматы 1" теміржол вокзалы – Талғар ауданының "Туганбай, Нұра" кенті
155	|	224	|	"Орталық стадион" – Талғар ауданыныдағы "Ақбұлақ" тау шаңғы курорты
156	|	225	|	"Саяхат" автовокзалы – Есік қаласы
157	|	226	|	"Бауыржан Момышұлы" метро бекеті – Іле ауданының "Жаңатұрмыс" кенті
158	|	227	|	"Алматы-1" теміржол вокзалы – Іле ауданының "Чапаев" кенті
159	|	228	|	Панфилов көшесі – Іле ауданының "Өтеген батыр" кенті
160	|	230	|	Төле Би – Яссауи көшелеріндегі айналма алаңы – Қаскелен қаласы
161	|	231	|	"Саяхат" автовокзалы– Іле ауданының "Комсомол" кенті – "Жапек батыр" кенті
162	|	232	|	"Алматы 2" теміржол вокзалы – Талғар ауданының "Тұздыбастау" кентіндегі "Сұлтан" кешені
163	|	233	|	"Саяхат" көлік вокзалы – Іле ауданының "Қарой" кенті
164	|	234	|	"Алтай" шағын ауданы – Талғар ауданының "Еламан" кенті
165	|	235	|	"Сәлем" базары – Іле ауданының "Исаев" кенті
166	|	236	|	"Төле би - Яссауи" айналмалы алаңы – Жамбыл ауданының "Карғалы" кенті
167	|	240	|	"Адем" сауда үйі – Іле ауданының "Батыр" кенті
168	|	244	|	"Бауыржан Момышұлы" метро бекеті – "Бекболат Әшекеев" кенті
169	|	247	|	"Төле би - Яссауи" айналмалы алаңы – Жамбыл ауданының "Мыңбаев" кенті
170	|	1-тп	|	"Мәдениет және демалыс саябағы" – Қожабеков көшесі
171	|	5-тп	|	"Алматы-2" теміржол вокзалы – "Ақсай" шағын ауданы (Марғұлан көшесі)
172	|	6-тп	|	"Алматы-2" теміржол вокзалы – Төле би көшесі – Бауыржан Момышұлы көшесі
173	|	7-тп	|	"Алматы-1" теміржол вокзалы – "Атакент" Қазақстан іскерлік ынтымақтастық орталығы
174	|	9-тп	|	"Орталық базар" – Қожабеков көшесі
175	|	11-тп	|	"Орталық базар" – Жұбанов көшесі
176	|	12-тп	|	"Мәдениет және демалыс саябағы" – Саин және Жандосов көшелері
177	|	19-тп	|	"Орталық базар" – Школьный көшесі
178	|	25-тп	|	"Мәдениет және демалыс саябағы" – Марғұлан көшесі



