Қазақстан Республикасының Экология кодексінің 365-бабының 3-тармағының 2) және 3) тармақшаларына , Қазақстан Республикасы Экология, гелогия және табиғи ресурстар министрінің 2021 жылғы 1 қыркүйектегі № 347 "Коммуналдық қалдықтардың түзілу және жинақталу нормаларын есептеудің үлгілік қағидаларын бекіту туралы" (Нормативтік құқықтық актілерді мемлекеттік тіркеу тізімінде № 24212 болып тіркелген) бұйрығына және Қазақстан Республикасы Экология, геология және табиғи ресурстар министрінің 2021 жылғы 14 қыркүйектегі № 377 "Халық үшін қатты тұрмыстық қалдықтарды жинауға, тасымалдауға, сұрыптауға және көмуге арналған тарифті есептеу әдістемесін бекіту туралы" (Нормативтік құқықтық актілерді мемлекеттік тіркеу тізімінде № 24382 болып тіркелген) бұйрығына сәйкес, Арыс қалалық мәслихаты ШЕШІМ ҚАБЫЛДАДЫ:

1. Арыс қаласы бойынша коммуналдық қалдықтардың түзілу және жинақталу нормалары осы шешімнің 1 қосымшасына сәйкес бекітілсін.

2. Арыс қаласы бойынша халық үшін тұрмыстық қатты қалдықтарды жинауға, тасымалдауға, сұрыптауға және көмуге арналған тарифтер осы шешімнің 2 қосымшасына сәйкес бекітілсін.

3. Осы шешім оның алғашқы ресми жарияланған күнінен кейін күнтізбелік он күн өткен соң қолданысқа енгізіледі.


Қалалық мәслихат төрағасы	|	Қ.Ахметов



	|	Арыс қалалық мәслихатының2024 жылғы 17 қаңтардағы№14/81-VІІІ шешіміне 1 қосымша

Арыс қаласы бойынша коммуналдық қалдықтардың түзілу және жинақталу нормалары

№	|	Коммуналдық қалдықтар жинақталатын объектілер	|	Есептік бірлік	|	Жылдық есептік нормалары, м³
1	|	Жайлы үйлер	|	1 тұрғын	|	1,1
	|	Жайлы емес үйлер	|	1 тұрғын	|	1,4
2	|	Жатақханалар, интернаттар, балалар үйлері, қарттар үйлері және сол сияқтылар	|	1 орын	|	0,62
3	|	Қонақ үйлер, санаторийлер, демалыс үйлері	|	1 орын	|	0,69
4	|	Балабақшалар, бөбекжай және басқа да мектепке дейінгі мекемелер	|	1 орын	|	0,37
5	|	Мекемелер, ұйымдар, офистер, кеңселер, банктер, байланыс бөлімшелері	|	1 қызметкер	|	0,92
6	|	Емханалар, медициналық орталықтар	|	1 келіп кету	|	0,014
7	|	Ауруханалар, өзге де емдеу-сауықтыру мекемелері	|	1 төсек-орын	|	1,11
8	|	Мектептер және өзге де оқу орындары	|	1 оқушы	|	0,3
9	|	Мейрамханалар, дәмханалар, басқада көніл көтеретін ғимараттар және қоғамдық тамақтану мекемелері	|	1 отыратын орын	|	0,95
10	|	Театрлар, кинотеатрлар, концерт залдары, түнгі клубтар, ойынханалар, ойын автоматтарының залы, интернет-кафелер, компьютерлік клубтар	|	1 отыратын орын	|	0,43
11	|	Мұражайлар, көрмелер	|	жалпы алаңы 1м²	|	0,03
12	|	Стадиондар, спорт алаңдары	|	жоба бойынша1 орын	|	0,03
13	|	Спорт, би және ойын залдары	|	жалпы алаңы 1м²	|	0,12
14	|	Азық-түлік, өнеркәсіптік тауар дүкендері, супермаркеттер	|	сауда алаңы 1м²	|	0,34
15	|	Машиналардан сату	|	сауда орнының 1м²	|	1,2
16	|	Базарлар, сауда павильондары, дүңгіршектер, сөрелер	|	сауда алаңы 1м²	|	0,38
17	|	Өнеркәсіптік, азық-түлік тауарларының көтерме базалары, қоймалары	|	жалпы алаңы 1м²	|	0,14
18	|	Тұрмыстық қызмет көрсету үйі: халыққа қызмет көрсету	|	жалпы алаңы 1м²	|	-
19	|	Вокзалдар, автовокзалдар, әуежайлар	|	жалпы алаңы 1м²	|	0,23
20	|	Жағажайлар, жолдардан көше сметалары	|	жалпы алаңы 1м²	|	-
21	|	Дәріханалар	|	сауда алаңы 1м²	|	0,21
22	|	Автотұрақтар, автомобильді жуу орындары, АЖС	|	1 машина-орын	|	1,36
23	|	Автомобиль шеберханалары	|	1 жұмысшы	|	0,95
24	|	Гараж кооперативтері, гараждар, паркингтер	|	1 гаражға	|	-
25	|	Шаштараздар, косметикалық салондар	|	1 жұмыс орны	|	0,58
26	|	Кір жуатын орындар, химиялық тазалау орындары, тұрмыстық техниканы жөндеу орындары, тігін ательесі	|	жалпы алаңы1 м2	|	0,23
27	|	Зергерлік, аяқ киімді, сағаттарды жөндеу шеберханалары	|	жалпы алаңы1 м2	|	0,5
28	|	Кішігірім жөндеу және қызмет көрсету орындары(кілттер жасау және сол сияқтылар.)	|	1 жұмыс орны	|	-
29	|	Моншалар, сауналар	|	жалпы алаңы1 м2	|	0,18
30	|	Қала аумағында жаппай іс-шаралар ұйымдастыратын заңды, саябақ қалдықтары	|	1000 қатысушы	|	0,3
31	|	Бау-бақша кооперативтері	|	1 учаске	|	-


	|	Арыс қалалық мәслихатының2024 жылғы 17 қаңтардағы№14/81-VІІІ шешіміне 2 қосымша

Арыс қаласы бойынша халық үшін тұрмыстық қатты қалдықтарды жинауға, тасымалдауға, сұрыптауға және көмуге арналған тарифтер

№	|	Атауы	|	Есептік бірлік	|	Теңге (Қосылған құн салығынсыз)
1	|	Жайлы үйлер	|	айына 1 тұрғыннан	|	205,5
2	|	Жайлы емес үйлер	|	айына 1 тұрғыннан	|	251,3
3	|	Жылдық тариф бірлігіне (көлемі)	|	1 м³	|	2395,2



