
1. Қоса беріліп отырған «Атом энергиясын пайдалану туралы» 2016 жылғы 12 қаңтардағы Қазақстан Республикасының Заңын іске асыру мақсатында қабылдануы қажет нормативтік құқықтық және құқықтық актілердің тізбесі (бұдан әрі – тізбе) бекітілсін. 2. Қазақстан Республикасы Энергетика министрлігі: 1) тізбеге сәйкес нормативтік құқықтық және құқықтық актілердің жобаларын әзірлесін және белгіленген тәртіппен Қазақстан Республикасының Үкіметіне бекітуге енгізсін; 2) тізбеге сәйкес тиісті нормативтік құқықтық және құқықтық актілерді қабылдасын және қабылданған шаралар туралы Қазақстан Республикасының Үкіметін хабардар етсін.

Премьер-Министр                       К. Мәсімов

Қазақстан Республикасы Премьер-Министрінің 2016 жылғы 29 қаңтардағы № 7 өкімімен бекітілген

«Атом энергиясын пайдалану туралы» 2016 жылғы 12 қаңтардағы Қазақстан Республикасының Заңын іске асыру мақсатында қабылдануы қажет нормативтiк құқықтық және құқықтық актiлердiң тiзбесi


Р/с№	|	Нормативтiк құқықтық актiнiң атауы	|	Нормативтік құқықтық және құқықтық актiнiң нысаны	|	Орындалуына жауапты мемлекеттік орган	|	Орындау мерзiмi	|	Нормативтiк құқықтық және құқықтық актiні сапалы және уақтылы әзірлеу мен енгізуге жауапты тұлға
1	|	2	|	3	|	4	|	5	|	6
1.	|	«Қазақстан Республикасы Энергетика министрлігінің мәселелері» туралы Қазақстан Республикасы Үкіметінің 2014 жылғы 19 қыркүйектегі № 994қаулысынатолықтырулар енгізу туралы	|	Қазақстан Республикасы Үкіметінің қаулысы	|	ЭМ	|	2016 жылғы ақпан	|	Б.М. Жақсалиев
2.	|	Қазақстан Республикасының аумағында Атом энергиясы жөнiндегi халықаралық агенттiк инспекцияларын ұйымдастыру қағидаларын бекіту туралы	|	Қазақстан Республикасы Үкіметінің қаулысы	|	ЭМ	|	2016 жылғы ақпан	|	Б.М. Жақсалиев
3.	|	Ядролық қондырғыларды және көму пункттерін орналастыру алаңын таңдау қағидаларын бекіту туралы	|	Қазақстан Республикасы Үкіметінің қаулысы	|	ЭМ	|	2016 жылғы ақпан	|	Б.М. Жақсалиев
4.	|	Ядролық және радиациялық қондырғыларды пайдаланудан шығару қағидаларын бекіту туралы	|	Қазақстан Республикасы Үкіметінің қаулысы	|	ЭМ	|	2016 жылғы ақпан	|	Б.М. Жақсалиев
5.	|	Ядролық, радиациялық және ядролық физикалық қауіпсіздік сараптамасын жүргізу қағидаларын бекіту туралы	|	Қазақстан Республикасы Үкіметінің қаулысы	|	ЭМ	|	2016 жылғы ақпан	|	Б.М. Жақсалиев
6.	|	Ядролық және радиациялық аварияларға ден қоюдың ұлттық жоспарын бекіту туралы	|	Қазақстан Республикасы Үкіметінің қаулысы	|	ЭМ	|	2016 жылғы ақпан	|	Б.М. Жақсалиев
7.	|	Радиоактивті заттарды және радиоактивті қалдықтарды тасымалдау қағидаларын бекіту туралы	|	Қазақстан Республикасы Энергетика министрінің бұйрығы	|	ЭМ	|	2016 жылғы ақпан	|	Б.М. Жақсалиев
8.	|	Атом энергиясын пайдаланатын объектілерде жұмыс істейтін персоналдың біліктілігін арттыру қағидаларын бекіту туралы	|	Қазақстан Республикасы Энергетика министрінің бұйрығы	|	ЭМ	|	2016 жылғы ақпан	|	Б.М. Жақсалиев
9.	|	Атом энергиясын пайдаланатын объектілерде жұмыс істейтін персоналды аттестаттау қағидаларын бекіту туралы	|	Қазақстан Республикасы Энергетика министрінің бұйрығы	|	ЭМ	|	2016 жылғы ақпан	|	Б.М. Жақсалиев
10.	|	Ядролық материалдарды және ядролық қондырғыларды физикалық қорғау қағидаларын бекіту туралы	|	Қазақстан Республикасы Энергетика министрінің бұйрығы	|	ЭМ	|	2016 жылғы ақпан	|	Б.М. Жақсалиев
11.	|	Иондандырушы сәулелену көздерін және сақтау пункттерін физикалық қорғау қағидаларын бекіту туралы	|	Қазақстан Республикасы Энергетика министрінің бұйрығы	|	ЭМ	|	2016 жылғы ақпан	|	Б.М. Жақсалиев
12.	|	Ядролық, радиациялық және ядролық физикалық қауіпсіздік сараптамасын жүзеге асыратын ұйымдарды аккредиттеу қағидаларын бекіту туралы	|	Қазақстан Республикасы Энергетика министрінің бұйрығы	|	ЭМ	|	2016 жылғы ақпан	|	Б.М. Жақсалиев
13.	|	Ядролық материалдарды мемлекеттік есепке алу қағидаларын бекіту туралы	|	Қазақстан Республикасы Энергетика министрінің бұйрығы	|	ЭМ	|	2016 жылғы ақпан	|	Б.М. Жақсалиев
14.	|	Иондандырушы сәулелену көздерін мемлекеттік есепке алу қағидаларын бекіту туралы	|	Қазақстан Республикасы Энергетика министрінің бұйрығы	|	ЭМ	|	2016 жылғы ақпан	|	Б.М. Жақсалиев
15.	|	Радионуклидті көздермен жұмыс істеу кезіндегі қауіпсіздік қағидаларын бекіту туралы	|	Қазақстан Республикасы Энергетика министрінің бұйрығы	|	ЭМ	|	2016 жылғы ақпан	|	Б.М. Жақсалиев
16.	|	Ядролық материалдарды тасымалдау қағидаларын бекіту туралы	|	Қазақстан Республикасы Энергетика министрінің бұйрығы	|	ЭМ	|	2016 жылғы ақпан	|	Б.М. Жақсалиев
