
"2006 жылға арналған республикалық бюджет туралы" Қазақстан Республикасының 2005 жылғы 22 қарашадағы Заңының 41-бабына сәйкес Қазақстан Республикасының Үкiметi ҚАУЛЫ ЕТЕДI:

1. Қосымшаға сәйкес "Ауыл шаруашылығын қаржылық қолдау қоры" акционерлiк қоғамына Қазақстан Республикасының заңнамасына сәйкес 2006 жылғы 1 қаңтардағы жағдай бойынша таратылған қарыз алушы заңды тұлғаларға берiлген және олар қайтармаған жалпы сомасы 3239918000 (үш миллиард екi жүз отыз тоғыз миллион тоғыз жүз он сегiз мың) теңге орталықтандырылған (директивалық) кредиттер бойынша Қазақстан Республикасы Үкiметiнiң талаптары тоқтатылсын.

2. Қазақстан Республикасы Ауыл шаруашылығы министрлiгi қосымшаға сәйкес "Ауыл шаруашылығын қаржылық қолдау қоры" акционерлiк қоғамының Қазақстан Республикасының заңнамасына сәйкес 2006 жылғы 1 қаңтардағы жағдай бойынша таратылған қарыз алушы заңды тұлғаларға жалпы сомасы 3239918000 (үш миллиард екi жүз отыз тоғыз миллион тоғыз жүз он сегiз мың) теңге орталықтандырылған (директивалық) кредиттер бойынша талаптарын тоқтатуды қамтамасыз етсін.

2. Осы қаулы қол қойылған күнінен бастап қолданысқа енгiзiледi.

Қазақстан Республикасы Үкіметінің 2006 жылғы 14 тамыздағы N 763 қаулысына қосымша

Орталықтандырылған (директивалық) кредиттер бойынша Қазақстан Республикасы Үкіметінің талаптары тоқтатылатын "Ауыл шаруашылығын қаржылық қолдау қоры" акционерлік қоғамының 2006 жылғы 1 қаңтардағы жағдай бойынша заңнамада белгіленген тәртіппен таратылған қарыз алушы заңды тұлғаларының тізбесі


Р/сN 
№	|	Қарыз алушының атауы	|	Берешек қалдығы, мың теңге	|	Оның ішінде Қазақстан Республикасы Үкіметінің қаулылары бойынша
1996 жылғы 28 мамырдағы N 651	|	1995 жылғы 14 желтоқсандағы N 1719
1	|	2	|	3	|	4	|	5
Солтүстік Қазақстан облысы
1	|	"Арықбалық" ӨК	|	9556	|	9331	|	225
2	|	"Достық" ӨК	|	1421	|	1341	|	80
3	|	"Лобаново" ӨК	|	4992	|	4652	|	340
4	|	"Нижний Бурлук" ӨК	|	2629	|	2130	|	499
5	|	"Новосветловск" ӨК	|	6016	|	5791	|	225
6	|	"Сырымбет" ӨК	|	2635	|	2401	|	234
7	|	"Светлое" ӨК	|	1836	|	1726	|	110
8	|	"Үкілі Ыбырай атындағы" ӨК	|	2353	|	2155	|	198
9	|	"Шалқар" ӨК	|	5512	|	5136	|	376
10	|	"Айыртау" ӨК	|	2872	|	2638	|	234
11	|	"Кутузовский" ӨК	|	5455	|	5064	|	391
12	|	"Лавровка" ЖШС	|	2585	|	2437	|	148
13	|	"Каменобродское" ӨК	|	2402	|	2206	|	196
14	|	"Имантау" ӨК	|	8165	|	7113	|	1052
15	|	"Ақбидай" ӨК	|	1177	|	912	|	265
16	|	"Байтос" ӨК	|	2620	|	2530	|	90
17	|	"Бауырқамыс" ӨК	|	3803	|	3578	|	225
18	|	"Бостандық" ӨК	|	2759	|	2574	|	185
19	|	"Восход" ӨК	|	4368	|	4203	|	165
20	|	"Жаңаауыл" ӨК	|	2900	|	2610	|	290
21	|	"Казанский" ЖШС	|	4923	|	4688	|	235
22	|	"Ленинград" ӨК	|	1612	|	1387	|	225
23	|	"Киев" ӨК	|	3814	|	3664	|	150
24	|	"Кузбасс" ӨК	|	4641	|	4507	|	134
25	|	"Қызыл ту" ӨК	|	6064	|	5789	|	275
26	|	"Май" ӨК	|	2073	|	1715	|	358
27	|	"Менжен" ӨК	|	2795	|	2495	|	300
28	|	"Үлгілі" ӨК	|	3919	|	3717	|	202
29	|	"Алқатерек" ӨК	|	3411	|	3137	|	274
30	|	"Шат" ӨК	|	3924	|	3784	|	140
31	|	"Горьковское" ЖАҚ	|	888	|	773	|	115
32	|	"Адал жол" ЖШС	|	2657	|	1970	|	687
33	|	"Рауан" ЖШС	|	2466	|	1184	|	1282
34	|	"Рублевское" ЖШС	|	2102	|	1029	|	1073
35	|	"Земледелец" ЖШС	|	3713	|	2758	|	955
36	|	"Агрофирма Союз" ЖШС	|	3244	|	1046	|	2198
37	|	"Материалдық-техникалық қамтамасыз ету жөніндегі кеңестік өндірістік бірлестік" АҮАҚ	|	266	|	0	|	266
38	|	"Чапаев агрофирмасы" ЖШС	|	2117	|	1067	|	1050
39	|	"Бастомар" ӨК	|	3424	|	2731	|	693
40	|	"М. Жұмабаев атындағы" ӨК	|	4388	|	3616	|	772
41	|	"Карағанды" ӨК	|	2387	|	1760	|	627
42	|	"Медвежинский" ӨК	|	1963	|	1358	|	605
43	|	"ЖЕҢІС" ЖШС	|	3693	|	2796	|	897
44	|	"Қазақстанның 40 жылдығы" ӨК	|	3697	|	3174	|	523
45	|	"Чистовский" ӨК	|	2583	|	2060	|	523
46	|	"Булаевское" ЖШС	|	2370	|	1789	|	581
47	|	"Конюховское" ЖШС	|	2726	|	1882	|	844
48	|	"Дмитриев және К" КС	|	3604	|	3281	|	323
49	|	"Золотая нива" ЖШС	|	3360	|	2379	|	981
50	|	"Полудинское" ЖШС	|	5464	|	4501	|	963
51	|	"Суворовский" ӨК	|	2656	|	1766	|	890
52	|	"Колос" ӨК	|	1022	|	728	|	294
53	|	"Оскар" ӨК	|	7470	|	6784	|	686
54	|	"Фурманово" АҮАҚ	|	4321	|	3554	|	767
55	|	"Александровский" ӨК	|	2314	|	1994	|	320
56	|	"Айымжан" ЖШС	|	2541	|	1935	|	606
57	|	"Архангельское" ЖШС	|	4293	|	4032	|	261
58	|	"Богдановка" ЖШС	|	98	|	98	|	0
59	|	"Екатериновское" ЖШС	|	2785	|	2585	|	200
60	|	"Жамбыл" ЖШС	|	3071	|	2555	|	516
61	|	"Қайранкөл" ӨК	|	2983	|	2856	|	127
62	|	"Нұрымбет" ӨК	|	1155	|	776	|	379
63	|	"Озерный" ӨК	|	3205	|	2980	|	225
64	|	"Суаткөл" ЖШС	|	2291	|	1999	|	292
65	|	"Толқын" ЖШС	|	100	|	100	|	0
66	|	"Благовещенка" АҚ	|	1488	|	1238	|	250
67	|	"Жамбыл материалдық-техникалық қамтамасыз ету жөніндегі өндірістік бірлестігі" АҮАҚ	|	4159	|	3759	|	400
68	|	"Макарьевское" ЖШС	|	1100	|	739	|	361
69	|	"Украинское" ЖШС	|	3127	|	2902	|	225
70	|	"Шухов атындағы" ЖШС	|	1833	|	1553	|	280
71	|	"Баян" ЖШС	|	3727	|	3177	|	550
72	|	"Жекекөл" ЖШС	|	91	|	91	|	0
73	|	"Островское" ЖШС	|	4245	|	3693	|	552
74	|	"Троицкое" ЖШС	|	3227	|	3027	|	200
75	|	"Бұлақ" ЖШС	|	3028	|	2126	|	902
76	|	"Мереке" ЖШС	|	3679	|	3229	|	450
77	|	"Николаевский" ЖШС	|	3019	|	2590	|	429
78	|	"Жаңа өзен" ЖШС	|	3299	|	2710	|	589
79	|	"Амангелді" ЖШС	|	5043	|	4572	|	471
80	|	"Воровский атындағы" ЖШС	|	1803	|	1363	|	440
81	|	"Фонтан" ӨК	|	2603	|	2127	|	476
82	|	"Бугровское" ЖШС	|	2608	|	2308	|	300
83	|	"Тоқушы" АҚ	|	5287	|	4542	|	745
84	|	"Северная" құс фабрикасы АҮАҚ	|	3621	|	3621	|	0
85	|	"Маяк" АҮАҚ	|	877	|	754	|	123
86	|	"Надежда" ЖШС	|	520	|	451	|	69
87	|	"Новокаменское" ЖШС	|	2097	|	1731	|	366
88	|	"Петропавл" ЖШС	|	2942	|	2842	|	100
89	|	"Арай" ЖШС	|	1545	|	1350	|	195
90	|	"Озерный" ӨК	|	1765	|	1530	|	235
91	|	"Арман" ЖШС	|	856	|	706	|	150
92	|	"Налобинский" ӨК	|	12348	|	5374	|	6974
93	|	"Бес көл" ШЖҚ КМК	|	2656	|	2436	|	220
94	|	"Бурабай" ӨК	|	1879	|	1612	|	267
95	|	"Возвышенский" ӨК	|	1529	|	1369	|	160
96	|	"Гаршинский" ӨК	|	4654	|	4441	|	213
97	|	"Жаркөл" ӨК	|	4219	|	3982	|	237
98	|	"Краснознаменский-1" ЖШС	|	5206	|	4845	|	361
99	|	"Қырымбет" ӨК	|	3736	|	3561	|	175
100	|	"Пески" ӨК	|	2441	|	2174	|	267
101	|	"Приишимский" ӨК	|	3498	|	3269	|	229
102	|	"Сарыбұлақ" ӨК	|	1378	|	1328	|	50
103	|	"Симоновка" ӨК	|	2331	|	2221	|	110
104	|	"Тахтабродский" ӨК	|	3633	|	3250	|	383
105	|	"Чистопольский" ӨК	|	4871	|	4523	|	348
106	|	"Ялтинский" ӨК	|	6748	|	4449	|	2299
107	|	"Салқынкөл" ӨК	|	3199	|	2969	|	230
108	|	"Володарский" ӨК	|	1569	|	1310	|	259
109	|	"Привольное" ЖШС	|	1514	|	1359	|	155
110	|	"Шарық" ӨК	|	2520	|	2220	|	300
111	|	"Париж коммунасы" ӨК	|	1934	|	1504	|	430
112	|	"Буденный" ӨК	|	2623	|	2411	|	212
113	|	"Раисовский" ӨК	|	1118	|	913	|	205
114	|	"Целинный" ӨК	|	2116	|	1925	|	191
115	|	"Куйбышев мемлекеттік сұрып сынау станциясы" МК	|	1772	|	1556	|	216
116	|	"А. Жылғарин атындағы" ӨК	|	1556	|	1356	|	200
117	|	"Рузаев ауыл шаруашылығы тэжірибелік станциясы" КМК	|	2128	|	1760	|	368
118	|	"Ковыльное" АҚ	|	4561	|	3278	|	1283
119	|	"Қарағаш" ӨК	|	1230	|	1155	|	75
120	|	"Аңсат-Арқалык" ЖШС	|	3018	|	2632	|	386
121	|	"Дубровинец" ЖШС	|	3311	|	2681	|	630
122	|	"Щучинск" ЖШС	|	1853	|	1507	|	346
123	|	"Бірлік" ЖШС	|	879	|	846	|	33
124	|	"Становское" ӨК	|	3592	|	2415	|	1177
125	|	"Михайловское" ЖШС	|	65	|	53	|	12
126	|	"Лесные поляны" ЖШС	|	1442	|	1295	|	147
127	|	"Абай атындағы" ӨК	|	1726	|	1470	|	256
128	|	"Амандық" ӨК	|	2018	|	1846	|	172
129	|	"Дружба" ЖҮАҚ	|	1041	|	1041	|	0
130	|	"Западный" ӨК	|	2993	|	2775	|	218
131	|	"3аречный" ӨК	|	4135	|	3900	|	235
132	|	"3везда" ӨК	|	1912	|	1730	|	182
133	|	"Ильич" ӨК	|	7460	|	7210	|	250
134	|	"Қантемір" ӨК	|	4077	|	3872	|	205
135	|	"Киров" ӨК	|	9320	|	5867	|	3453
136	|	"Котовский" ӨК	|	5885	|	5735	|	150
137	|	"Ленин атындағы" ӨК	|	2258	|	2024	|	234
138	|	"Орақ пен балға" ӨК	|	1106	|	967	|	139
139	|	"Сүгірбай" ӨК	|	1486	|	1389	|	97
140	|	"Тайынша" ӨК	|	4862	|	4547	|	315
141	|	"Терновский" ӨК	|	6783	|	6598	|	185
142	|	"Тихоокеанский" ӨК	|	1323	|	1008	|	315
143	|	"Чапаев атындағы" ӨК	|	2156	|	1990	|	166
144	|	"Шевченко" ӨК	|	1900	|	1783	|	117
145	|	"Шұңқыркөл" ӨК	|	2489	|	2296	|	193
146	|	"Родина" ӨК	|	1848	|	1717	|	131
147	|	"Авангард" ӨК	|	2311	|	2143	|	168
148	|	"Димитров атындағы" ЖШС	|	2049	|	1903	|	146
149	|	"Драгомировка" ӨК	|	3897	|	3897	|	0
150	|	"Фрунзе атындагы" ЖҮАҚ	|	911	|	361	|	550
151	|	"Киров атындағы" ӨК	|	2679	|	2474	|	205
152	|	"Ладман" ӨК	|	898	|	771	|	127
153	|	"Қазақстан" ӨК	|	1849	|	1598	|	251
154	|	"Чкалов" ӨК	|	2312	|	2039	|	273
155	|	"Вишневка" ЖҮАҚ	|	780	|	684	|	96
156	|	"Шағалы" ӨК	|	4769	|	4519	|	250
157	|	"Заря СК" ЖШС	|	2324	|	2121	|	203
158	|	"Агрос-Ясная Поляна" ЖАҚ	|	2318	|	2080	|	238
159	|	"Белоградов" ӨК	|	3890	|	3645	|	245
160	|	"Дзержинский" ӨК	|	2188	|	1838	|	350
161	|	"Дмитриев" ӨК	|	3488	|	3238	|	250
162	|	"Интернациональный" ӨК	|	2310	|	143	|	2167
163	|	"Ишимский" ӨК	|	2270	|	1860	|	410
164	|	"Степной" ӨК	|	2940	|	2159	|	781
165	|	"Тимирязев" ӨК	|	2560	|	1766	|	794
166	|	"Целинный" ЖШС	|	3258	|	2387	|	871
167	|	"Хмельницкое" ӨК	|	1978	|	1583	|	395
168	|	"Ақтуесай" ӨК	|	5600	|	5300	|	300
169	|	"Амангелді" ӨК	|	3725	|	3575	|	150
170	|	"Бидайық" ӨК	|	5679	|	5309	|	370
171	|	"Жарықкопа" ӨК	|	2615	|	2474	|	141
172	|	"Кайрат" ӨК	|	3676	|	3187	|	489
173	|	"Қарашілік" ӨК	|	6330	|	6141	|	189
174	|	"Көктерек" ӨК	|	9302	|	8909	|	393
175	|	"Мырзағұл" ӨК	|	2071	|	1991	|	80
176	|	"Молодая гвардия" ӨК	|	5689	|	5487	|	202
177	|	"Мортық" ӨК	|	4716	|	4471	|	245
178	|	"Озерный" ӨК	|	6546	|	6277	|	269
179	|	"Сарыадыр" ӨК	|	3342	|	3147	|	195
180	|	"Степной" ӨК	|	4490	|	4300	|	190
181	|	"Толбухино" ӨК	|	5189	|	4943	|	246
182	|	"Өндіріс" ӨК	|	6451	|	6186	|	265
183	|	"Черниговский" ӨК	|	4054	|	3854	|	200
184	|	"Чехово" ӨК	|	3204	|	2924	|	280
185	|	"Кішкене көл" АҚ	|	3159	|	2993	|	166
186	|	"Акқұдық" ӨК	|	4444	|	4239	|	205
187	|	"Быковский атындағы" ӨК	|	4595	|	3634	|	961
188	|	"Бостау" ӨК	|	867	|	595	|	272
189	|	"АПК-Городецкий" ЖШС	|	4864	|	3784	|	1080
190	|	"Еңбек" ӨК	|	2616	|	1468	|	1148
191	|	"Заря" ӨК	|	3207	|	2708	|	499
192	|	"Ыбыраев атындағы" ӨК	|	1792	|	1229	|	563
193	|	"Марьевский" ӨК	|	3863	|	2549	|	1314
194	|	"Ольгинский" ӨК	|	2609	|	2129	|	480
195	|	"Петров атындағы" ӨК	|	3409	|	2569	|	840
196	|	"Приишимское" ӨК	|	2193	|	1724	|	469
197	|	"Семипольский" ӨК	|	3057	|	2089	|	968
198	|	"Шудасай" ӨК	|	2755	|	1901	|	854
199	|	"Юбилейный" ӨК	|	2189	|	1626	|	563
200	|	"Қаратал" ЖШС	|	581	|	526	|	55
201	|	"Афанасьевский" ӨК	|	2552	|	1684	|	868
202	|	"Регион-2" агро-өнеркә сіптік компаниясы" ЖШС	|	7156	|	6126	|	1030
Жиыны:	|	638709	|	549039	|	89670
Ақмола облысы
203	|	"Қарабұлақ" БӨК	|	5013	|	4808	|	205
204	|	"Черняховский" БӨК	|	3188	|	2938	|	250
205	|	"Гусарка" АҮАҚ	|	8199	|	7914	|	285
206	|	"Минск" БӨК	|	6864	|	6639	|	225
207	|	"Одесский" БӨК	|	4460	|	4460	|	0
208	|	"Новорыбинский" ӨК	|	6576	|	6351	|	225
209	|	"Ивановское" АҮАҚ	|	5636	|	5326	|	310
210	|	"Бөгенбай" ӨК	|	3413	|	3263	|	150
211	|	"Урюпинск" ӨК	|	8122	|	7717	|	405
212	|	"Кеңерал" ЖШС	|	4357	|	3997	|	360
213	|	"Ишим" АҚ	|	4531	|	4123	|	408
214	|	"Киров" ӨК	|	3370	|	3160	|	210
215	|	"Терісаққан" ЖШС	|	4032	|	3585	|	447
216	|	"Ярослав" ӨК	|	2498	|	2068	|	430
217	|	"Дружба" ЖШС	|	4448	|	4007	|	441
218	|	"Алғабас" ЖШС	|	2064	|	1699	|	365
219	|	"Ленин атындағы" ӨК	|	5737	|	5462	|	275
220	|	"Энтузиаст" ӨК	|	2887	|	2672	|	215
221	|	"1 май" ЖШС	|	2410	|	2004	|	406
222	|	"Колос" ӨК	|	2471	|	1996	|	475
223	|	"Барақкөл" ЖШС	|	3078	|	2353	|	725
224	|	"Спасское" ЖШС	|	2173	|	1648	|	525
225	|	"Широковский" ӨК	|	2954	|	2479	|	475
226	|	"Племзавод Балкашино" АҮАҚ	|	2242	|	1767	|	475
227	|	"Жеңіс" АҮАҚ	|	2700	|	2225	|	475
228	|	"Белгородский" ӨК	|	2719	|	1894	|	825
229	|	"Гвардеец" ӨК	|	2316	|	2091	|	225
230	|	"Веселовский" ӨК	|	3277	|	2802	|	475
231	|	"Максимовский" АҮАҚ	|	3012	|	2552	|	460
232	|	"Сандықтау" ӨК	|	4500	|	3675	|	825
233	|	"Андреевский" БӨК	|	2284	|	2077	|	207
234	|	"Подлесный" БӨК	|	5624	|	5149	|	475
