Қазақстан Республикасы Үкіметінің 2008 жылғы 11 маусымдағы № 573 қаулысымен бекітілген "Болашақ" халықаралық стипендиясын тағайындау үшін үміткерлерді іріктеу және "Болашақ" халықаралық стипендиясын жұмсау бағыттарын айқындау қағидаларын іске асыру мақсатында БҰЙЫРАМЫН:

1. Осы бұйрыққа қосымшаға сәйкес 2020 жылға "Болашақ" халықаралық стипендиясын тағайындау конкурсы жеңімпаздарының оқуы, тілдік курстардан өтуі үшін ұсынылатын шетелдік жетекші жоғары оқу орындарының, шетелдік ұйымдардың тізімі бекітілсін.

2. Қазақстан Республикасы Білім және ғылым министрлігінің Халықаралық ынтымақтастық департаменті Қазақстан Республикасының заңнамасында белгіленген тәртіппен:

1) осы бұйрықтың Қазақстан Республикасының Әділет министрлігінде мемлекеттік тіркелуін;

2) осы бұйрық ресми жарияланғаннан кейін оны Қазақстан Республикасы Білім және ғылым министрлігінің интернет-ресурсында орналастыруды;

3) осы бұйрық Қазақстан Республикасы Әділет министрлігінде мемлекеттік тіркелген күннен бастап он жұмыс күні ішінде Қазақстан Республикасы Білім және ғылым министрлігінің Заң департаментіне осы тармақтың 1) және 2) тармақшаларында көзделген іс-шаралардың орындалуы туралы мәліметтерді ұсынуды қамтамасыз етсін.

3. Осы бұйрықтың орындалуын бақылау Қазақстан Республикасының Білім және ғылым жетекшілік ететін вице-министріне жүктелсін.

4. Осы бұйрық алғашқы ресми жарияланған күнінен бастап қолданысқа енгізіледі.


Қазақстан РеспубликасыныңБілім және ғылым министрі	|	А. Аймагамбетов



	|	Қазақстан РеспубликасыБілім және ғылым министрінің2020 жылғы 13 шілдедегі№ 295 бұйрығынақосымша

2020 жылға арналған "Болашақ" халықаралық стипендиясын тағайындау конкурсы жеңімпаздарының оқуы, тілдік курстан өтуі үшін ұсынылатын шетелдік жетекші оқу орындары, шетелдік ұйымдар тізімі

№	|	Жоғары оқу орындарының, шетелдік ұйымдардың атауы	|	Орналасқан жері	|	Интернеттегі мекенжайы
1. Академиялық оқу үшін барлық мамандықтар бойынша шетелдік жетекші жоғары оқу орындары
1.	|	Аустралия ұлттық университеті(Australian National University)	|	Аустралия одағы(Аустралия)	|	http:// www. anu. edu. au/
2.	|	Аделаид университеті(University of Adelaide)	|	Аустралия одағы(Аустралия)	|	https:// www. ade laid e. edu. au/
3.	|	Батыс Аустралия Университеті(University of Western Australia)	|	Аустралия одағы(Аустралия)	|	https:// www. uwa. edu. au/
4.	|	Квинсленд университеті(University of Queensland)	|	Аустралия одағы(Аустралия)	|	www. uq. edu. au
5.	|	Мельбурн университеті(University of Melbourne)	|	Аустралия одағы(Аустралия)	|	www. unimelb. edu. au
6.	|	Монаш университеті(Monash University)	|	Аустралия одағы(Аустралия)	|	https:// www. monash. edu/
7.	|	Жаңа Оңтүстік Уэльс университеті (University of New South Wales)	|	Аустралия одағы(Аустралия)	|	www. unsw. edu. au
8.	|	Сидней университеті(University of Sydney)	|	Аустралия одағы(Аустралия)	|	www. usyd. edu. au
9.	|	Вейцман институты(Weizmann Institute of Science)	|	Израиль Мемлекеті	|	https:// wei zman n. ac. il/ pages/
10.	|	Болон университеті(University of Bologna)	|	Италия Республикасы	|	https:// www. unibo. it/ en
11.	|	Милан мемлекеттік университеті(University of Milan)	|	Италия Республикасы	|	www. unimi. it/ ENG/
12.	|	Падуан университеті(University of Padua)	|	Италия Республикасы	|	https:// www. unipd. it/ en/
13.	|	Сапиенц Рим университеті (Sapienza University of Rome)	|	Италия Республикасы	|	https:// www. uni roma 1. it/ en/ pagina- str uttu rale/ home
14.	|	Монреал университеті(University of Montreal)	|	Канада	|	https:// www. umo ntre al. ca/ en/
15.	|	Альберт университеті(University of Alberta)	|	Канада	|	https:// www. ual bert a. ca
16.	|	Британиялық Колумбия университеті(University of British Columbia)	|	Канада	|	https:// www. ubc. ca/
17.	|	Макгилл университеті (McGill University)	|	Канада	|	https:// www. mcgill. ca/
18.	|	Макмастер университеті(McMaster University)	|	Канада	|	https:// www. mcm aste r. ca/
19.	|	Торонто университеті(University of Toronto)	|	Канада	|	www. uto ront o. ca
20.	|	Гонконг ғылым және технология университеті(Hong Kong University of Science and Technology)	|	Қытай Халық Республикасы	|	http:// www. ust. hk/
21.	|	Гонконг Қытай университеті(Chinese University of Hong Kong)	|	Қытай Халық Республикасы	|	https:// www. cuhk. edu. hk/ english/ index. html
22.	|	Қытай ғылым және технология университеті(University of Science and Technology of China)	|	Қытай Халық Республикасы	|	https:// en. ustc. edu. cn/
23.	|	Бейжің университеті(Peking University)	|	Қытай Халық Республикасы	|	http:// english. pku. edu. cn/
24.	|	Гонконг университеті(University of Hong Kong)	|	Қытай Халық Республикасы	|	https:// www. hku. hk/
25.	|	Чинхуа университеті(Tsinghua University)	|	Қытай Халық Республикасы	|	https:// www. tsi nghu a. edu. cn/ en/
26.	|	Чжэцзян университеті(Zhejiang University)	|	Қытай Халық Республикасы	|	https:// www. zju. edu. cn/
27.	|	Шанхай Джао Тонг университеті(Shanghai Jiao Tong University)	|	Қытай Халық Республикасы	|	http:// en. sjtu. edu. cn/
28.	|	Гент университеті(Ghent University)	|	Бельгия Корольдігі	|	https:// www. ugent. be/ en
29.	|	ЛҰвен католиктік университеті(KU Leuven)	|	Бельгия Корольдігі	|	https:// www. kul euve n. be/ english/
30.	|	Лувен католиктік университеті(Université catholique de Louvain)	|	Бельгия Корольдігі	|	https:// ucl ouva in. be/ fr/ index. html
31.	|	Дат техникалық университеті(Technical University of Denmark)	|	Дания Корольдігі	|	https:// www. dtu. dk/ english
32.	|	Копенгаген университеті(University of Copenhagen)	|	Дания Корольдігі	|	www. ku. dk
33.	|	Орхус университеті(Aarhus University)	|	Дания Корольдігі	|	https:// int erna tion al. au. dk/
34.	|	Барселона университеті(University of Barcelona)	|	Испания Корольдігі	|	https:// www. ub. edu/ web/ ub/ en
35.	|	Амстердам еркін университеті(VU University Amsterdam)	|	Нидерланд Корольдігі	|	https:// www. vu. nl/ en
36.	|	Амстердам университеті(University of Amsterdam)	|	Нидерланд Корольдігі	|	https:// www. uva. nl/
37.	|	Вагенинген университеті(Wageningen University and Research Center)	|	Нидерланд Корольдігі	|	https:// www. wur. nl/ en. htm
38.	|	Гронинген университеті(University of Groningen)	|	Нидерланд Корольдігі	|	https:// www. rug. nl/? lang=en
39.	|	Делфт техникалық университеті(Delft University of Technology)	|	Нидерланд Корольдігі	|	https:// www. tudelft. nl/ en/
40.	|	Лейден университеті(Leiden University)	|	Нидерланд Корольдігі	|	https:// www. uni vers itei tlei den. nl/ en
41.	|	Эразм Роттердам университеті(Erasmus University Rotterdam)	|	Нидерланд Корольдігі	|	https:// www. eur. nl/ en
