
РҚАО-ның ескертпесі! Осы бұйрықтың қолданысқа енгізілу тәртібін 3-тармақтан қараңыз

БҰЙЫРАМЫН: 1. «Бюджет түсімдерін бюджеттер деңгейлері мен Қазақстан Республикасы Ұлттық қорының қолма-қол ақшасының бақылау шоты арасында бөлу кестесін бекіту туралы» Қазақстан Республикасы Қаржы министрінің 2014 жылғы 18 қыркүйектегі № 404 бұйрығына (Нормативтік құқықтық актілерді мемлекеттік тіркеу тізілімінде № 9760 болып тіркелген) мынадай өзгеріс енгізілсін: Осы бұйрықпен бекітілген Бюджет түсімдерін бюджеттер деңгейлері мен Қазақстан Республикасы Ұлттық қорының қолма-қол ақшасының бақылау шоты арасында бөлу кестесін осы бұйрыққа қосымшаға сәйкес жаңа редакцияда жазылсын. 2. Қазақстан Республикасы Қаржы министрлігінің Бюджеттік жоспарлау және болжамдау департаменті (Т.М. Савельева) заңнамада белгіленген тәртіппен: 1) осы бұйрықтың Қазақстан Республикасы Әділет министрлігінде мемлекеттік тіркелуін; 2) осы бұйрықтың Қазақстан Республикасы Әділет министрлігінде мемлекеттік тіркелуінен кейін күнтізбелік он күн ішінде бұқаралық ақпарат құралдарында және «Әділет» ақпараттық-құқықтық жүйесінде ресми жариялануға жіберілуін; 3) осы бұйрықтың Қазақстан Республикасы Қаржы министрлігінің интернет-ресурсында орналастырылуын қамтамасыз етсін. 3. Осы бұйрық 2015 жылғы 1 қаңтардан бастап қолданысқа енгізіледі.

Министр                                    Б. Сұлтанов

Қазақстан Республикасы Қаржы министрінің 2014 жылғы 14 қарашадағы № 495 бұйрығына

Қазақстан Республикасы Қаржы министрінің 2014 жылғы 18 қыркүйектегі № 404 бұйрығына 1-қосымша

Бюджет түсімдерін бюджеттер деңгейлері мен Қазақстан Республикасы Ұлттық қорының қолма-қол ақшасының бақылау шоты арасында бөлу кестесі


Атау	|	КОДТАР	|	БЮДЖЕТКЕ %-БЕН ЕСЕПТЕЛЕДІ
Санаты	|	Сынып	|	Кіші сынып	|	Ерекшелігі	|	Республикалық бюджет	|	Жергілікті бюджеттер	|	Қазақстан Республикасы Ұлттық қорының қолма-қол ақшасының бақылау шоты
Облыстық бюджет	|	Республикалық маңызы бар қала, астана	|	Аудан, облыстық маңызы бар қала
1	|	2	|	3	|	4	|	5	|	6	|	7	|	8	|	9	|	10
Салықтық түсімдер	|	1	|		|		|		|		|		|		|		|	
Табыс салығы	|	1	|	01	|		|		|		|		|		|		|	
Корпоративтік табыс салығы	|	1	|	01	|	1	|		|		|		|		|		|	
Мұнай секторы ұйымдарының занды тұлғаларынан алынатын корпоративтік табыс салығы	|	1	|	01	|	1	|	05	|		|		|		|		|	100
Мұнай секторы ұйымдарынан түсетін түсімдерді қоспағанда, заңды тұлғалардан алынатын корпоративтік табыс салығы	|	1	|	01	|	1	|	10	|	100	|		|		|		|	
Жеке табыс салығы	|	1	|	01	|	2	|		|		|		|		|		|	
Төлем көзінен салық салынатын табыстардан ұсталатын жеке табыс салығы	|	1	|	01	|	2	|	01	|		|	Облыстық мәслихат белгілеген бөлу нормативтері бойынша	|	100	|	Облыстық мәслихат белгілеген бөлу нормативтері бойынша	|	
Төлем көзінен салық салынбайтын табыстардан ұсталатын жеке табыс салығы	|	1	|	01	|	2	|	02	|		|	Облыстық мәслихат белгілеген бөлу нормативтері бойынша	|	100	|	Облыстық мәслихат белгілеген бөлу нормативтері бойынша	|	
Төлем көзінен салық салынбайтын шетелдік азаматтар табыстарынан ұсталатын жеке табыс салығы	|	1	|	01	|	2	|	05	|		|	Облыстық мәслихат белгілеген бөлу нормативтері бойынша	|	100	|	Облыстық мәслихат белгілеген бөлу нормативтері бойынша	|	
Әлеуметтiк салық	|	1	|	03	|		|		|		|		|		|		|	
Әлеуметтiк салық	|	1	|	03	|	1	|		|		|		|		|		|	
Әлеуметтiк салық	|	1	|	03	|	1	|	01	|		|	Облыстық мәслихат белгілеген бөлу нормативтері бойынша	|	100	|	Облыстық мәслихат белгілеген бөлу нормативтері бойынша	|	
Меншiкке салынатын салықтар	|	1	|	04	|		|		|		|		|		|		|	
Мүлiкке салынатын салықтар	|	1	|	04	|	1	|		|		|		|		|		|	
Заңды тұлғалардың және жеке кәсіпкерлердің мүлкіне салынатын салық	|	1	|	04	|	1	|	01	|		|		|	100	|	100	|	
Жеке тұлғалардың мүлкiне салынатын салық	|	1	|	04	|	1	|	02	|		|		|	100	|	100	|	
Жер салығы	|	1	|	04	|	3	|		|		|		|		|		|	
Елдi мекендер жерлерiне жеке тұлғалардан алынатын жер салығы	|	1	|	04	|	3	|	02	|		|		|	100	|	100	|	
Елдi мекендердің жерлерiне жеке тұлғалардан алынатын жер салығын қоспағанда, жер салығы	|	1	|	04	|	3	|	09	|		|		|	100	|	100	|	
Көлiк құралдарына салынатын салық	|	1	|	04	|	4	|		|		|		|		|		|	
Заңды тұлғалардан көлiк құралдарына салынатын салық	|	1	|	04	|	4	|	01	|		|		|	100	|	100	|	
Жеке тұлғалардан көлiк құралдарына салынатын салық	|	1	|	04	|	4	|	02	|		|		|	100	|	100	|	
Бірыңғай жер салығы	|	1	|	04	|	5	|		|		|		|		|		|	
Бірыңғай жер салығы	|	1	|	04	|	5	|	01	|		|		|	100	|	100	|	
Тауарларға, жұмыстарға және қызметтерге салынатын iшкi салықтар	|	1	|	05	|		|		|		|		|		|		|	
Қосылған құн салығы	|	1	|	05	|	1	|		|		|		|		|		|	
Қазақстан Республикасының аумағында өндiрiлген тауарларға, орындалған жұмыстарға және көрсетілген қызметтерге салынатын қосылған құн салығы	|	1	|	05	|	1	|	01	|	100	|		|		|		|	
Ресей Федерациясы және Беларусь Республикасының аумағынан импортталатын тауарларға салынатын қосылған құн салығынан басқа, Қазақстан Республикасының аумағына импортталатын тауарларға салынатын қосылған құн салығы	|	1	|	05	|	1	|	02	|	100	|		|		|		|	
Резидент емес үшін қосылған құн салығы	|	1	|	05	|	1	|	04	|	100	|		|		|		|	
Kеден одағының бірыңғай кеден аумағы құрылғанға дейін Ресей Федерациясының және Беларусь Республикасының аумағынан шығарылатын және импортталатын тауарларға салынатын қосылған құн салығы	|	1	|	05	|	1	|	13	|	100	|		|		|		|	
Салық төлеушінің бұрын бюджеттен қайтарылған және салықтық тексеру жүргізу барысында қайтарылуы расталмаған қосылған құн салығының асып кеткен сомасын аударуы (қайтаруы), өсімпұл сомасын аударуы	|	1	|	05	|	1	|	14	|	100	|		|		|		|	
ЕАЭО мүше мемлекеттер аумағынан импортталған тауарларға қосылған құн салығы	|	1	|	05	|	1	|	15	|	100	|		|		|		|	
Акциздер	|	1	|	05	|	2	|		|		|		|		|		|	
Қазақстан Республикасының аумағында өндірілген шикі мұнай, газ конденсаты	|	1	|	05	|	2	|	29	|	100	|		|		|		|	
Қазақстан Республикасының аумағында өндірілген спирттiң және (немесе) шарап материалының, алкоголь өнімдерінің барлық түрлерi	|	1	|	05	|	2	|	74	|		|		|	100	|	100	|	
