
1. Қоса беріліп отырған «Білім туралы» Қазақстан Республикасының Заңына өзгерістер мен толықтырулар енгізу туралы» Қазақстан Республикасының 2011 жылғы 24 қазандағы Заңын іске асыру мақсатында қабылдануы қажет нормативтік құқықтық актілердің тізбесі (бұдан әрі – тізбе) бекітілсін. 2. Қазақстан Республикасы Білім және ғылым министрлігі: 1) тізбеге сәйкес нормативтік құқықтық актілердің жобаларын әзірлесін және заңнамада белгіленген тәртіппен Қазақстан Республикасының Үкіметіне бекітуге енгізсін; 2) тиісті ведомстволық нормативтік құқықтық актілерді қабылдасын және қабылданған шаралар туралы Қазақстан Республикасының Үкіметін хабардар етсін.

Премьер-Министр                            К. Мәсімов

Қазақстан Республикасы Премьер-Министрінің 2011 жылғы 21 желтоқсандағы № 153-ө өкімімен бекітілген

«Білім туралы» Қазақстан Республикасының Заңына өзгерістер мен толықтырулар енгізу туралы» Қазақстан Республикасының 2011 жылғы 24 қазандағы Заңын іске асыру мақсатында қабылдануы қажет нормативтік құқықтық актілердің тізбесі


Р/с№	|	Нормативтік құқықтықактінің атауы	|	Актініңнысаны	|	Орындауға жауаптымемлекеттікоргандар	|	Орындалумерзімі
1	|	2	|	3	|	4	|	5
1	|	«Бірінші басшыларын Қазақстан Республикасының Президенті қызметке тағайындайтын және қызметтен босататын мемлекеттік жоғары оқу орындарының мәселелері туралы» Қазақстан Республикасы Президентінің 2008 жылғы 21 сәуірдегі № 573Жарлығынаөзгерістер енгізу туралы	|	Қазақстан Республикасы Президентінің Жарлығы	|	БҒМ	|	2011 жылғы желтоқсан
2	|	«Өркен» грантын беру қағидаларын және оның мөлшерін бекіту туралы	|	Қазақстан Республикасы Үкіметінің қаулысы	|	БҒМ	|	2011 жылғы желтоқсан
3	|	Әлеуметтік көмек көрсетілетін азаматтарға әлеуметтік көмектің мөлшерін, көздерін, түрлерін және оны беру қағидаларын бекіту туралы	|	Қазақстан Республикасы Үкіметінің қаулысы	|	БҒМ	|	2011 жылғы желтоқсан
4	|	Маманды жұмысқа жіберу, өз бетімен жұмысқа орналасу құқығын беру, мемлекеттік білім беру тапсырысы негізінде квота шегiнде педагогтік, медициналық және ветеринарлық мамандықтар бойынша оқуға түскен ауыл (село) жастары қатарынан шыққан азаматтардың, сондай-ақ мемлекеттік білім беру тапсырысы негізінде педагогтік және медициналық мамандықтар (бакалавриат) бойынша және философия докторлары (РhD) бағдарламасы бойынша докторантураға оқуға түскен білім алушы азаматтардың жұмысын өтеу жөніндегі міндетінен босату немесе олардың міндетін тоқтату қағидаларын бекіту туралы	|	Қазақстан Республикасы Үкіметінің қаулысы	|	БҒМ	|	2011 жылғы желтоқсан
5	|	«Орта білім беретін үздік ұйым» грантын беруге арналған конкурсты өткізу қағидаларын және оны беру мөлшерін бекіту туралы	|	Қазақстан Республикасы Үкіметінің қаулысы	|	БҒМ	|	2011 жылғы желтоқсан
6	|	«Қазақстан Республикасы Президентінің «Болашақ» халықаралық стипендиясын тағайындау үшін үміткерлерді іріктеу ережесін бекіту туралы» Қазақстан Республикасы Үкіметінің 2008 жылғы 11 маусымдағы № 573қаулысынаөзгерістер мен толықтырулар енгізу туралы	|	Қазақстан Республикасы Үкіметінің қаулысы	|	БҒМ	|	2011 жылғы желтоқсан
7	|	«Білім беру ұйымдарында білім алушылардың жекелеген санаттарына мемлекеттік стипендиялар төлеу ережесін бекіту туралы» Қазақстан Республикасы Үкіметінің 2008 жылғы 7 ақпандағы № 116қаулысынаөзгерістер мен толықтырулар енгізу туралы	|	Қазақстан Республикасы Үкіметінің қаулысы	|	БҒМ	|	2011 жылғы желтоқсан
8	|	«Әлеуметтік қорғалмаған білім алушылар мен күнкөрісі төмен отбасылардан шыққан білім алушыларға қаржылай және материалдық көмек көрсетуге бөлінетін қаражатты жұмсау ережесін бекіту туралы» Қазақстан Республикасы Үкіметінің 2008 жылғы 25 қаңтардағы № 64қаулысынаөзгеріс енгізу туралы	|	Қазақстан Республикасы Үкіметінің қаулысы	|	БҒМ	|	2011 жылғы желтоқсан
9	|	«Білім беру ұйымдарын мемлекеттік аттестаттау ережесін бекіту туралы» Қазақстан Республикасы Үкіметінің 2007 жылғы 24 желтоқсандағы № 1270қаулысынаөзгерістер енгізу туралы	|	Қазақстан Республикасы Үкіметінің қаулысы	|	БҒМ	|	2011 жылғы желтоқсан
