Жалағаш ауданының әкімдігі ҚАУЛЫ ЕТЕДІ:

1. "Жалағаш ауданының аумағында стационарлық емес сауда объектілерін орналастыру орындарын бекіту туралы" Жалағаш ауданы әкімдігінің 2018 жылғы 9 қаңтардағы № 2 қаулысына (нормативтік құқықтық актілерді мемлекеттік тіркеу Тізілімінде № 6153 болып тіркелген) мынадай өзгеріс енгізілсін:

көрсетілген қаулының қосымшасы осы қаулының қосымшасына сәйкес жаңа редакцияда жазылсын.

2. Осы қаулы алғашқы ресми жарияланған күнінен кейін күнтізбелік он күн өткен соң қолданысқа енгізіледі.


Жалағаш ауданының әкімі	|	А. Шаменов



	|	Жалағаш ауданы әкімдігінің
	|	2021 жылғы 26 қазандағы
	|	№ 229 қаулысына қосымша
	|	Жалағаш ауданы әкімдігінің
	|	2018 жылғы 9 қаңтардағы
	|	№2 қаулысына қосымша

Жалағаш ауданының аумағында стационарлық емес сауда объектілерін орналастыру орындары

№	|	Орналасу орны	|	Алатын алаңы (шаршы метр)	|	Қызмет саласы	|	Ұсыну мерзімі	|	Жақын орналасқан инфрақұрылым (ұқсас тауарлар ассортименті сатылатын сауда объектілері, сондай-ақ қоғамдық тамақтану объектілері)
1	|	2	|	3	|	4	|	5	|	6
1	|	Жалағаш кенті, Абай көшесі, "Қызылорда облысының денешынықтыру және спорт басқармасының №13 Жалағаш ауданының олимпиадалық резервтің мамандандырылған балалар-жасөспірімдер мектебі" коммуналдық мемлекеттік мекемесі ғимаратының жаны	|	250	|	Азық-түлік/ азық-түлік емес тауарлар	|	5 жыл	|	"Күншығыс"азық-түлік сауда дүкені
2	|	Жалағаш кенті, Қазыбек би көшесі, "ҚаппарАта" сауда кешені мен "Маржан-2002"жауапкершілігі шектеулі серіктестігінің автобустар тұрағы арасындағы аумақ	|	260	|	Азық-түлік/ азық-түлік емес тауарлар	|	5 жыл	|	"Жансая" азық-түлік сауда дүкені
3	|	Жалағаш кенті, "Жалағаш аудандық мәдениет және тілдерді дамыту бөлімінің Қонысбек Қазантаев атындағы Мәдениет үйі" коммуналдық мемлекеттік қазыналық кәсіпорнының жаны	|	260	|	Азық-түлік/ азық-түлік емес тауарлар	|	5 жыл	|	"Алихан" азық-түлік сауда дүкені
4	|	Ақсу ауылы, Т.Елеусінов көшесі, "Ақбота" мейрамханасының сол жағы	|	30	|	Азық-түлік/ азық-түлік емес тауарлар	|	5 жыл	|	"Алмат" азық-түлік сауда дүкені
5	|	М.Шәменов ауылы, А.Құнанбаев көшесі, сауда дүкенінің сол жағы	|	50	|	Азық-түлік/ азық-түлік емес тауарлар	|	5 жыл	|	Аралас сауда дүкені
6	|	Қаракеткен ауылы, Қалмахан Кәрібаев көшесі, №2 үйдің сол жағы	|	30	|	Азық-түлік/ азық-түлік емес тауарлар	|	5 жыл	|	"Фариза" азық-түлік сауда дүкені
7	|	Бұқарбай батыр ауылы, Бұқарбай батыр мен Ж.Ермағанбетов көшелерінің қиылысындағы Бұқарбай батыр атындағы мәдени тарихи мемориалдық үйінің оң жағы	|	10	|	Азық-түлік/ азық-түлік емес тауарлар	|	5 жыл	|	"Сымбат" азық-түлік сауда дүкені
8	|	Таң ауылы, Орынбай жырау көшесі, "Қызылорда облысының білім басқармасының Жалағаш ауданы бойынша білім бөлімінің "№118 орта мектебі" коммуналдық мемлекеттік мекемесінің сол жағы	|	100	|	Азық-түлік/ азық-түлік емес тауарлар	|	5 жыл	|	"Нұртілек" азық-түлік сауда дүкені
9	|	Аққұма уылы, Б.Ақдаулетов және Х.Сарбасов көшелерінің қиылысындағы "Қазпошта" АҚ Қызылорда облыстық филиалы (Аққұм ауылпошта байланыс бөлімшесі) ғимаратының артқы жағы	|	12	|	Азық-түлік/ азық-түлік емес тауарлар	|	5 жыл	|	"Жансая" азық-түлік сауда дүкені
