
Қазақстан Республикасының 2001 жылғы 23 қаңтардағы № 148 « Қазақстан Республикасындағы жергілікті мемлекеттік басқару және өзін-өзі басқару туралы» Заңының 31 бабына , 2001 жылғы 23 қаңтардағы № 149 «Халықты жұмыспен қамту туралы» Заңының 7 бабының 6 тармағына сәйкес, аудан әкімдігі ҚАУЛЫ ЕТЕДІ: 1. 2011 жылға арналған жұмыссыз жастарға «Жастар іс-тәжірибесі» ұйымдастырылсын. 2. Осы қаулының қосымшасына сәйкес, «Жастар іс - тәжірибесін» ұйымдастыратын кәсіпорындардың, ұйымдардың және мекемелердің тізбесі бекітілсін. 3. Түпқараған аудандық экономика және қаржы бөлімі (С.Қ. Қани) 2011 жылға «Жол картасы» аясында жергілікті және республикалық бюджеттен қаралған қаражат есебінен қамтамасыз етсін. 4. Түпқараған ауданының әкімдігінің 27.04.2011 жылғы № 77 «Жастар іс - тәжірибесін ұйымдастыру туралы» қаулысы жойылсын. 5. Осы қаулының орындалысын бақылау аудан әкімінің орынбасары Т.А. Алтынғалиевке жүктелсін. 6. Осы қаулы алғаш ресми жарияланғаннан кейiн күнтiзбелiк он күн өткен соң қолданысқа енгiзiледi.

Аудан әкімі                             С.У. Трумов

«КЕЛІСІЛДІ»: «Түпқараған аудандық жұмыспен қамту және әлеуметтік бағдарламалар бөлімі» мемлекеттік мекемесінің бастығы Жарылгапова Оразкул Бекиевна 19 шілде 2011 жыл

«Түпқараған аудандық экономика және қаржы бөлімі» мемлекеттік мекемесінің бастығы Қани Сара Құлмырзақызы 19 шілде 2011 жыл

Түпқараған ауданы әкімдігінің 2011 жылғы 19 шілдедегі № 193 қаулысына қосымша

2011 жылға арналған жастар іс-тәжірибесін ұйымдастыратын кәсіпорындар, ұйымдар және мекемелер тізбесі мен еңбекақы мөлшері


№	|	Кәсіпорындар, ұйымдар және мекемелер атауы	|	Жұмыс түрлері және көлемі	|	Жұмыс мерзі-мі	|	бір адамға төленетінеңбекақы мөлшері(тенге)	|	Қаржы-ландыру көзі
1	|	«Түпқараған аудандық сәулет, қала құрылысы және құрылыс бөлімі» мемлекеттік мекемесі	|	Келісім-шартқа сәйкес	|	6 ай	|	26 000	|	Жергі-лікті бюджет-тен
2	|	«Түпқараған аудандық білім бөлімі» мемлекеттік мекемесі	|	Келісім-шартқа сәйкес	|	6 ай	|	26 000	|	Жергі-лікті бюджет-тен
3	|	«Түпқараған аудандық орталық ауруханасы» мемлекеттік коммуналдық қазыналық кәсіпорны	|	Келісім-шартқа сәйкес	|	6 ай	|	26 000	|	Жергі-лікті бюджет-тен
4	|	«Ж.Мыңбаев атындағы орта мектебі» мемлекеттік мекемесі	|	Келісім-шартқа сәйкес	|	6 ай	|	26 000	|	Жергі-лікті бюджет-тен
5	|	«Шахта орта мектебі» мемлекеттік мекемесі	|	Келісім-шартқа сәйкес	|	6 ай	|	26 000	|	Жергі-лікті бюджет-тен
6	|	«З.Баймырзаев атындағы орта мектебі» мемлекеттік мекемесі	|	Келісім-шартқа сәйкес	|	6 ай	|	26 000	|	Жергі-лікті бюджет-тен
7	|	«М.Әбдіхалықов атындағы орта мектебі» мемлекеттік мекемесі	|	Келісім-шартқа сәйкес	|	6 ай	|	26 000	|	Жергі-лікті бюджет-тен
8	|	«Айгүл» балабақшасы» мемлекеттік коммуналдық қазыналық кәсіпорны	|	Келісім-шартқа сәйкес	|	6 ай	|	26 000	|	Жергі-лікті бюджет-тен
9	|	«Айгөлек» балабақшасы» мемлекеттік коммуналдық қазыналық кәсіпорны	|	Келісім-шартқа сәйкес	|	6 ай	|	26 000	|	Жергі-лікті бюджет-тен
10	|	«Ақбота» бала бақшасы» мемлекеттік коммуналдық қазыналық кәсіпорны	|	Келісім-шартқа сәйкес	|	6 ай	|	26 000	|	Жергі-лікті бюджет-тен
11	|	«Түпқараған» жауапкершілігі шектеулі серіктестігінің еншілес кәсіпорны	|	Келісім-шартқа сәйкес	|	6 ай	|	26 000	|	Респуб-ликалық бюджет-тен
12	|	«Сага Аташ» жауапкершілігі шектеулі серіктестігі	|	Келісім-шартқа сәйкес	|	6 ай	|	26 000	|	Респуб-ликалық бюджет-тен
13	|	«ТеңізСервис» жауапкершілігі шектеулі серіктестігі	|	Келісім-шартқа сәйкес	|	6 ай	|	26 000	|	Респуб-ликалық бюджет-тен
14	|	«Маңғыстау кеме жөндеу зауыты» жауапкершілігі шектеулі серіктестігі	|	Келісім-шартқа сәйкес	|	6 ай	|	26 000	|	Респуб-ликалық бюджет-тен
15	|	«Маерск Ойл Казахстан Гмбх»компаниясының филиалы	|	Келісім-шартқа сәйкес	|	6 ай	|	26 000	|	Респуб-ликалық бюджет-тен


