
1. Қоса беріліп отырған «Жер қойнауы және жер қойнауын пайдалану туралы» Қазақстан Республикасының 2010 жылғы 24 маусымдағы Заңын іске асыру мақсатында қабылдануы қажет нормативтік құқықтық актілердің тізбесі (бұдан әрі - тізбе) бекітілсін. 2. Мемлекеттік органдар: 1) тізбеге сәйкес нормативтік құқықтық актілердің жобаларын әзірлесін және белгіленген тәртіппен Қазақстан Республикасы Үкіметінің бекітуіне енгізсін; 2) тиісті ведомстволық нормативтік құқықтық актілерді қабылдасын және қабылданған шаралар туралы Қазақстан Республикасының Үкіметін хабардар етсін.

Премьер-Министр                                      К. Мәсімов

Қазақстан Республикасы Премьер-Министрінің 2010 жылғы 28 тамыздағы № 120-ө өкімімен бекітілген

«Жер қойнауы және жер қойнауын пайдалану туралы» Қазақстан Республикасының 2010 жылғы 24 маусымдағы Заңын іске асыру мақсатында қабылдануы қажет нормативтік құқықтық актілердің тізбесі


р/с№	|	Нормативтік құқықтық актінің атауы	|	Акт нысаны	|	Жауапты мемлекеттік органдар	|	Орындау мерзімі
1	|	2	|	3	|	4	|	5
1.	|	Модельдік келісімшарттарды бекіту туралы	|	Қазақстан Республикасы Үкіметінің қаулысы	|	МГМ, ИЖТМ, Қаржымині, ЭДСМ, ТЖМ, Қоршағанортамині	|	2010 жылғы тамыз
2.	|	Стратегиялық маңызы бар жер қойнауы учаскелерінің, кен орындарының тізбесін бекіту туралы	|	Қазақстан Республикасы Үкіметінің қаулысы	|	ИЖТМ, МГМ	|	2010 жылғы тамыз
3.	|	Ұйымдардың тауарларды, жұмыстар мен көрсетілетін қызметтерді сатып алу кезінде қазақстандық қамтуды есептеуінің бірыңғай әдістемесін бекіту туралы	|	Қазақстан Республикасы Үкіметінің қаулысы	|	ИЖТМ, МГМ, Қаржымині	|	2010 жылғы тамыз
4.	|	Жер қойнауын пайдалану жөніндегі операцияларды жүргізу кезінде тауарларды, жұмыстар мен көрсетілетін қызметтерді сатып алу ережесін бекіту туралы	|	Қазақстан Республикасы Үкіметінің қаулысы	|	ИЖТМ, МГМ	|	2010 жылғы тамыз
5.	|	Жер қойнауы туралы геологиялық және өзге де ақпаратты жер қойнауын зерттеу мен пайдалану жөніндегі уәкілетті органға сақтау, жүйелеу және жинақтау үшін ақысыз беру ережесін бекіту туралы	|	Қазақстан Республикасы Үкіметінің қаулысы	|	ИЖТМ, МГМ	|	2010 жылғы тамыз
6.	|	Мемлекет меншігіндегі болатын геологиялық ақпаратты оқу, ғылыми, коммерциялық мақсаттарда пайдалану және геологиялық ақпаратты Қазақстан Республикасынан тысқары жерге әкету ережесін бекіту туралы	|	Қазақстан Республикасы Үкіметінің қаулысы	|	ИЖТМ, МГМ	|	2010 жылғы тамыз
7.	|	Тарихи шығындарды және геологиялық ақпарат құнын айқындау ережесін бекіту туралы	|	Қазақстан Республикасы Үкіметінің қаулысы	|	ИЖТМ, МГМ	|	2010 жылғы тамыз
8.	|	Қазақстан Республикасының пайдалы қазбаларды сатып алуға басым құқығын іске асыру ережесін бекіту туралы	|	Қазақстан Республикасы Үкіметінің қаулысы	|	МГМ, ИЖТМ	|	2010 жылғы тамыз
9.	|	Пайдалы қазбаларды барлау мен өндіру кезінде жер қойнауын ұтымды әрі кешенді пайдалану жөніндегі бірыңғай ережені бекіту туралы	|	Қазақстан Республикасы Үкіметінің қаулысы	|	МГМ, ИЖТМ	|	2010 жылғы тамыз
10.	|	Болашақ ұрпақ мүддесінде минералдық шикізат қорларын сақтау үшін жер қойнауы учаскелерін консервациялау ережелерін бекіту туралы	|	Қазақстан Республикасы Үкіметінің қаулысы	|	ИЖТМ, МГМ, Қоршағанортамині	|	2010 жылғы тамыз
11.	|	Кең таралған пайдалы қазбалардың тізбесін бекіту туралы	|	Қазақстан Республикасы Үкіметінің қаулысы	|	ИЖТМ	|	2010 жылғы тамыз
12.	|	Жер қойнауын пайдалану құқығын беру ережесін бекіту туралы	|	Қазақстан Республикасы Үкіметінің қаулысы	|	МГМ, ИЖТМ, Қоршағанортамині, ТЖМ	|	2010 жылғы тамыз
13.	|	Қазақстан Республикасының Пайдалы қазбалар қор жөніндегі мемлекеттік комиссиясы және пайдалы қазбалар қор жөніндегі өңіраралық комиссиялар туралы ережені бекіту туралы	|	Қазақстан Республикасы Үкіметінің қаулысы	|	ИЖТМ, МГМ	|	2010 жылғы тамыз
14.	|	Республикалық және халықаралық маңызы бар мемлекеттік табиғи-қорық қорының геологиялық, геоморфологиялық және гидрогеологиялық объектілерінің тізбесін және ерекше қорғалатын табиғи аумақтарда оларды шаруашылыққа шектеп пайдаланудың ережесін, сондай-ақ  экологиялық, ғылыми, мәдени және өзге де жағынан ерекше құнды, республикалық маңызы бар ерекше қорғалатын табиғи аумақтар санатына жатқызылған жер қойнауы учаскелерінің тізбесін бекіту туралы	|	Қазақстан Республикасы Үкіметінің қаулысы	|	АШМ, Қоршағанортамині, ИЖТМ, МГМ, ММ	|	2010 жылғы тамыз
15.	|	Жер қойнауын пайдалану жөніндегі операцияларды жүргізу кезінде пайдаланылатын тауарлардың, жұмыстардың және көрсетілетін қызметтердің тізілімін қалыптастыру мен жүргізудің ережесін және осы тізілімге енгізу үшін оларды бағалау өлшемдерін қоса алғанда, оларды өндірушілерді бекіту туралы	|	Қазақстан Республикасы Үкіметінің қаулысы	|	ИЖТМ, МГМ	|	2010 жылғы тамыз
16.	|	Келісімшарттар талаптарын орындаудың сақталуына мониторинг жүргізу мен бақылау ережесін бекіту туралы	|	Қазақстан Республикасы Үкіметінің қаулысы	|	МГМ, ИЖТМ, Еңбекмині, Қоршағанортамині, ТЖМ	|	2010 жылғы тамыз
17.	|	Пайдалы қазбалар жатқан алаңдарда құрылыс салуға рұқсат беру ережесін бекіту туралы	|	Қазақстан Республикасы Үкіметінің қаулысы	|	ИЖТМ, МГМ, ТЖМ	|	2010 жылғы тамыз
18.	|	Жер қойнауына зиянды заттарды, радиоактивті қалдықтарды көму және сарқынды суларды ағызу ережесін бекіту туралы	|	Қазақстан Республикасы Үкіметінің қаулысы	|	ИЖТМ, МГМ, Қоршағанортамині	|	2010 жылғы тамыз
19.	|	Қазақстан Республикасының кен орындарын алғашқы ашушылар туралы ережені бекіту туралы	|	Қазақстан Республикасы Үкіметінің қаулысы	|	ИЖТМ, МГМ	|	2010 жылғы тамыз
20.	|	Мұнай өндірудің және айналымының бірыңғай дерекқорын жүргізу ережесін бекіту туралы	|	Қазақстан Республикасы Үкіметінің қаулысы	|	МГМ	|	2010 жылғы тамыз
21.	|	Жағалау жиегінің нақты орналасқан жерін айқындау ережесін бекіту туралы	|	Қазақстан Республикасы Үкіметінің қаулысы	|	МГМ, ИЖТМ	|	2010 жылғы тамыз
22.	|	Мемлекеттің басым құқығын жүзеге асыру мәселелері жөніндегі ведомствоаралық комиссияның құрамын және ол туралы ережені бекіту туралы	|	Қазақстан Республикасы Үкіметінің қаулысы	|	МГМ, ИЖТМ	|	2010 жылғы тамыз
23.	|	Жер қойнауын пайдалану құқығын беруге арналған конкурстарды өткізу жөніндегі комиссияның құрамын және ол туралы ережені бекіту туралы	|	Қазақстан Республикасы Үкіметінің қаулысы	|	МГМ, ИЖТМ	|	2010 жылғы тамыз
24.	|	Жасанды аралдарды, бөгеттерді, құрылыстар мен қондырғыларды, сондай-ақ мұнай операцияларымен байланысты өзге де объектілерді құру пайдалануға беру және пайдалану қағидасын бекіту туралы	|	Қазақстан Республикасы Үкіметінің қаулысы	|	МГМ, ИЖТМ, Қоршағанортамині, ТЖМ, АШМ	|	2010 жылғы тамыз
25.	|	Жер қойнауына мемлекеттік мониторингті жүзеге асыру ережесін бекіту туралы	|	Қазақстан Республикасы Үкіметінің қаулысы	|	ИЖТМ, МГМ	|	2010 жылғы тамыз
26.	|	Ұлттық компанияның үлестік қатысуы көзделетін келісімшарттарда ұлттық компанияның мемлекеттік мүдделерді білдіру тәртібін бекіту туралы	|	Қазақстан Республикасы Үкіметінің қаулысы	|	МГМ, ИЖТМ	|	2010 жылғы тамыз
27.	|	Жер қойнауын пайдаланушылардың жер қойнауын пайдалану жөніндегі операцияларды жүргізу туралы есептер беру ережесін бекіту туралы	|	Қазақстан Республикасы Үкіметінің қаулысы	|	ИЖТМ, МГМ	|	2010 жылғы тамыз
28.	|	Теңізді тазарту жөніндегі жұмыстарды жүргізуге қажетті материалдар мен заттарға қойылатын нормативтерді және талаптарды бекіту туралы	|	Қазақстан Республикасы Үкіметінің қаулысы	|	МГМ, Қоршағанортамині, ТЖМ	|	2010 жылғы тамыз
29.	|	Жер қойнауын пайдалануға арналған келісімшарттар жобаларының сараптамасын жүзеге асыру ережелерін бекіту туралы	|	Қазақстан Республикасы Үкіметінің қаулысы	|	МГМ, Әділетмині, Қоршағанортамині, Қаржымині, ЭДСМ, ИЖТМ	|	2010 жылғы тамыз
30.	|	Теңізде, ішкі су айдындарында, төтенше экологиялық жағдай аймақтарында және ерекше қорғалатын табиғи аумақтарда мұнай операцияларын жүргізу ережесін бекіту туралы	|	Қазақстан Республикасы Үкіметінің қаулысы	|	МГМ, ИЖТМ, Қоршағанортамині, ТЖМ,АШМ	|	2010 жылғы тамыз
31.	|	Жер қойнауын пайдаланушы келісімшарттық аумақта өндірген мұнайдың көлемі мен салмағын өлшеу ережесін бекіту туралы	|	Қазақстан Республикасы Үкіметінің қаулысы	|	МГМ	|	2010 жылғы тамыз
32.	|	Мұнай операцияларын жүргізген кезде ілеспе және (немесе) табиғи газ жағудың нормативтері мен көлемдерін есептеу әдістемесін бекіту туралы	|	Қазақстан Республикасы Үкіметінің қаулысы	|	МГМ, ИЖТМ, Қоршағанортамині, ТЖМ	|	2010 жылғы тамыз
33.	|	Пайдалы қазбалар қорларын мемлекеттік балансқа қосу және оларды мемлекеттік баланстан шығару ережесін бекіту туралы	|	Қазақстан Республикасы Үкіметінің қаулысы	|	ИЖТМ, МГМ	|	2010 жылғы тамыз
