Солтүстік Қазақстан облысының әкімдігі ҚАУЛЫ ЕТЕДІ:

1. "Жергілікті маңызы бар балық шаруашылығы су айдындарының және (немесе) учаскелерінің тізбесін бекіту туралы" Солтүстік Қазақстан облысы әкімдігінің 2019 жылғы 4 сәуірдегі № 76 қаулысына (Нормативтік құқықтық актілерді мемлекеттік тіркеу тізілімінде № 5334 болып тіркелді) мынадай өзгеріс енгізілсін:

көрсетілген қаулымен бекітілген қосымша осы қаулының қосымшасына сәйкес жаңа редакцияда жазылсын.

2. "Солтүстік Қазақстан облысы әкімдігінің табиғи ресурстар және табиғат пайдалануды реттеу басқармасы" коммуналдық мемлекеттік мекемесі Қазақстан Республикасының заңнамасында белгіленген тәртіпте қамтамасыз етсін:

1) осы қаулыны Қазақстан Республикасының Әділет министрлігінде мемлекеттік тіркеуді;

2) осы қаулыны ресми жарияланғаннан кейін Солтүстік Қазақстан облысы әкімдігінің интернет-ресурсында орналастыруды.

3. Осы қаулының орындалуын бақылау Солтүстік Қазақстан облысы әкімінің жетекшілік ететін мәселелер жөніндегі орынбасарына жүктелсін.

4. Осы қаулы оның алғашқы ресми жарияланған күнінен кейін күнтізбелік он күн өткен соң қолданысқа енгізіледі.


Солтүстік Қазақстан облысының әкімі	|	К. Аксакалов



	|	Солтүстік Қазақстан
	|	облысы әкімдігінің
	|	2021 жылғы 18 қарашадағы
	|	№ 256 қаулысына
	|	қосымша
	|	Солтүстік Қазақстан
	|	облысы әкімдігінің
	|	2019 жылғы "04" сәуірдегі
	|	№ 76 қаулысына
	|	қосымша

Жергілікті маңызы бар балық шаруашылығы су айдындарының және (немесе) учаскелерінің тізбесі

№	|	Cу айдыны және (немесе) учаскесі	|	Ауданы, гектар	|	Орналасқан жері	|	Балық шаруашылығының түрі
Айыртау ауданы
1	|	Ақанбұрлық өзені саласындағы тоған	|	18	|	Төменгі Бұрлық ауылынан оңтүстік шығысқа қарай 2 километр	|	Кәсіпшілік балық аулау
2	|	Аралтөбе өзеніндегі № 1 тоған	|	4	|	Карловка ауылынан оңтүстікке қарай 0,1 километр	|	Көлде тауарлы балық өсіру шаруашылығы
3	|	№ 5 Арықбалық тоғаны	|	25	|	Арықбалық ауылынан оңтүстік батысқа қарай 8,2 километр	|	Көлде тауарлы балық өсіру шаруашылығы
4	|	Бармачное көлі	|	35	|	Шалқар ауылынан оңтүстік шығысқа қарай 5,6 километр	|	Кәсіпшілік балық аулау
5	|	Барчинское көлі	|	450	|	Шалқар ауылынан шығысқа қарай 11 километр	|	Кәсіпшілік балық аулау
6	|	Баян көлі	|	956	|	Кирилловка ауылынан шығысқа қарай 14 километр	|	Кәсіпшілік балық аулау
7	|	Боза көлі	|	60	|	Шалқар ауылынан солтүстікке қарай 8 километр	|	Кәсіпшілік балық аулау
8	|	Жақсы Жалғызтау көлі	|	4128	|	Жақсы Жалғызтау ауылынан оңтүстік батысқа қарай	|	Кәсіпшілік балық аулау
9	|	Жаркент көлі	|	88	|	Светлое ауылынан оңтүстік батысқа қарай 7,7 километр	|	Кәсіпшілік балық аулау
10	|	Жетікөл көлі	|	1060	|	Елецкое ауылынан солтүстік батысқа қарай 3 километр	|	Кәсіпшілік балық аулау
11	|	Змейка өзені саласындағы тоған	|	15	|	Имантау ауылынан шығысқа қарай 6 километр	|	Көлде тауарлы балық өсіру шаруашылығы
12	|	Иманбұрлық өзені саласындағы тоған	|	22,5	|	Константиновка ауылынан оңтүстік батысқа қарай 5 километр	|	Әуесқойлық (спорттық) балық аулау
13	|	Қопа көлі	|	672	|	Ағынтай ауылынан солтүстік шығысқа қарай 4 километр	|	Кәсіпшілік балық аулау
14	|	Кіші Қоскөл көлі	|	859	|	Антоновка ауылынан оңтүстікке қарай 0,1 километр	|	Кәсіпшілік балық аулау
15	|	Крутое көлі	|	80	|	Лавровка ауылынан солтүстікке қарай 1 километр	|	Кәсіпшілік балық аулау
16	|	Құсбек көлі	|	744	|	Құсбек ауылынан солтүстік шығысқа қарай 0,3 километр	|	Кәсіпшілік балық аулау
17	|	Құрқарағаш өзеніндегі № 1 тоған	|	25	|	Новосветловка ауылынан оңтүстік батысқа қарай 0,2 километр	|	Көлде тауарлы балық өсіру шаруашылығы
18	|	Логовое көлі	|	80	|	Арықбалық ауылынан оңтүстік шығысқа қарай 0,2 километр	|	Көлде тауарлы балық өсіру шаруашылығы
19	|	Саумалкөл көлі	|	1988	|	Саумалкөл ауылынан 0,1 километр шығысқа қарай	|	Көлде тауарлы балық өсіру шаруашылығы
20	|	"Сухая" бөгеті	|	8	|	Каменный Брод ауылынан солтүстік батысқа қарай 2 километр	|	Көлде тауарлы балық өсіру шаруашылығы
21	|	Шабақты көлі	|	162	|	Лобанов ауылынан оңтүстікке қарай 4 километр	|	Кәсіпшілік балық аулау
Ақжар ауданы
22	|	Ащыкөл бөгеті	|	5,5	|	Ащыкөл ауылынан солтүстік шығысқа қарай 8 километр	|	Көлде тауарлы балық өсіру шаруашылығы
23	|	Горьковский бөгеттері	|	160	|	Горьковское ауылынан оңтүстік батысқа қарай 2,5 километр	|	Көлде тауарлы балық өсіру шаруашылығы
24	|	Жантайсор көлі	|	340	|	Талшық ауылынан оңтүстік батысқа қарай7 километр	|	Көлде тауарлы балық өсіру шаруашылығы
25	|	Казанская бөгеті	|	12	|	Талшық ауылынан солтүстік батысқа қарай7 километр	|	Көлде тауарлы балық өсіру шаруашылығы
26	|	Қара шат өзеніндегі тоған	|	48	|	Ленинградское ауылынан оңтүстік шығысқа қарай 2,2 километр	|	Кәсіпшілік балық аулау
27	|	Кіші Қараой көлі	|	10000	|	Бостандық ауылынан солтүстікке қарай	|	Ащы-тұзды су айдыны
28	|	Ленинград бөгеттері	|	25	|	Ленинградское ауылынан солтүстік шығысқа қарай 0,2 километр	|	Көлде тауарлы балық өсіру шаруашылығы
29	|	№ 1 Менжин бөгеті	|	5	|	Кеңащы ауылынан солтүстік шығысқа қарай 4 километр	|	Көлде тауарлы балық өсіру шаруашылығы
30	|	Үлкен Қарой көлі	|	18231	|	Ақсай ауылынан шығысқа қарай5 километр	|	Кәсіпшілік балық аулау
Аққайың ауданы
31	|	Айдарбек көлі	|	120	|	Үлгі ауылынан оңтүстік батысқа қарай 4 километр	|	Кәсіпшілік балық аулау
32	|	Аяқкөл көлі	|	76	|	Үлгі ауылынан солтүстікке қарай0,5 километр	|	Кәсіпшілік балық аулау
33	|	Кіші Балықты көлі	|	318	|	Амангелді ауылынан оңтүстік батысқа қарай 10 километр	|	Кәсіпшілік балық аулау
34	|	Бугровское көлі	|	42	|	Тоқшын ауылынан оңтүстік батысқа қарай 3,3 километр	|	Кәсіпшілік балық аулау
35	|	Горькое көлі	|	61	|	Тоқшын ауылынан оңтүстік батысқа қарай 3 километр	|	Көлде тауарлы балық өсіру шаруашылығы
36	|	Үлкен Долгое көлі	|	213	|	Тоқшын ауылынан оңтүстік батысқа қарай 7 километр	|	Кәсіпшілік балық аулау
37	|	Домашнее көлі	|	33	|	Тоқшын ауылынан солтүстікке қарай 0,1 километр	|	Кәсіпшілік балық аулау
38	|	Жалтыр көлі	|	221	|	Дайындық ауылынан оңтүстік батысқа қарай 5,7 километр	|	Кәсіпшілік балық аулау
39	|	Жалтыр көлі	|	275	|	Трудовое ауылынан солтүстік батысқа қарай 6,5 километр	|	Кәсіпшілік балық аулау
40	|	Канонерка көлі	|	31	|	Тоқшын ауылынан батысқа қарай 0,8 километр	|	Кәсіпшілік балық аулау
41	|	Кравцов көлі	|	46	|	Знаменское ауылынан оңтүстік шығысқа қарай 2,5 километр	|	Кәсіпшілік балық аулау
42	|	Күшіккөл көлі	|	104,4	|	Лесные поляны ауылынан батысқа қарай 4,0 километр	|	Кәсіпшілік балық аулау
43	|	Қызыл Сор көлі	|	358	|	Амангелді ауылынан оңтүстік батысқа қарай 12 километр	|	Көлде тауарлы балық өсіру шаруашылығы
44	|	Мысли көлі	|	16	|	Камышлов ауылынан солтүстік шығысқа қарай 3,2 километр	|	Кәсіпшілік балық аулау
45	|	Обалыкөл көлі	|	70,6	|	Григорьевка ауылынан оңтүстікке қарай 0,1 километр	|	Кәсіпшілік балық аулау
46	|	Ортакөл көлі	|	66,2	|	Үлгі ауылынан батысқа қарай 1,8 километр	|	Кәсіпшілік балық аулау
47	|	Сергеев көлі	|	77	|	Ивановка ауылынан солтүстік батысқа қарай 7,8 километр	|	Кәсіпшілік балық аулау
48	|	Сиваш көлі	|	126	|	Амангелді ауылынан оңтүстік батысқа қарай 5,5 километр	|	Көлде тауарлы балық өсіру шаруашылығы
49	|	Солодкое көлі	|	122,5	|	Борки ауылынан солтүстікке қарай 0,1 километр	|	Кәсіпшілік балық аулау
50	|	Тереңкөл көлі	|	286	|	Аралағаш ауылынан солтүстік шығысқа қарай 4,5 километр	|	Кәсіпшілік балық аулау
51	|	Үлкен Тоқшын көлі	|	34,4	|	Тоқшын ауылынан солтүстік батысқа қарай 2,5 километр	|	Кәсіпшілік балық аулау
52	|	Кіші Тоқшын көлі	|	16	|	Тоқшын ауылынан батысқа қарай 2 километр	|	Кәсіпшілік балық аулау
53	|	Үлкен Жарма көлі	|	968	|	Борки ауылынан оңтүстік батысқа қарай 0,1 километр	|	Көлде тауарлы балық өсіру шаруашылығы
54	|	Утюскин көлі	|	35	|	Камышлов ауылынан солтүстік батысқа қарай 3,5 километр	|	Кәсіпшілік балық аулау
55	|	Харьков көлі	|	79,4	|	Григорьевка ауылынан солтүстікке қарай 4,8 километр	|	Кәсіпшілік балық аулау
56	|	Чистое (Трудовое) көлі	|	40	|	Трудовое ауылынан солтүстік батысқа қарай 3 километр	|	Кәсіпшілік балық аулау
57	|	Шағалалы Теңіз көлі	|	7800	|	Барыкөл ауылынан оңтүстік батысқа қарай 0,1 километр	|	Кәсіпшілік балық аулау
Есіл ауданы
58	|	Алуа көлі	|	641	|	Амангелді ауылынан солтүстік батысқа қарай 4 километр	|	Көлде тауарлы балық өсіру шаруашылығы
59	|	Үлкен Балықты көлі	|	772,6	|	Қараағаш ауылынан оңтүстікке қарай 3 километр	|	Кәсіпшілік балық аулау
60	|	Үлкен Батпакөл көлі	|	198	|	Алабие ауылынан солтүстік шығысқа қарай 5 километр	|	Кәсіпшілік балық аулау
61	|	Горелое көлі	|	24	|	Амангелді ауылынан солтүстік батысқа қарай 5 километр	|	Кәсіпшілік балық аулау
62	|	Жалтыр көлі	|	370	|	Черуновка ауылынан солтүстікке қарай 2,5 километр	|	Кәсіпшілік балық аулау
63	|	Жаркөл көлі	|	30,6	|	Спасовка ауылынан оңтүстік батысқа қарай 3,5 километр	|	Кәсіпшілік балық аулау
64	|	Жекекөл көлі	|	34,4	|	Жекекөл ауылынан оңтүстік шығысқа қарай 0,2 километр	|	Кәсіпшілік балық аулау
65	|	Иконников көлі	|	19	|	Поляковка ауылынан солтүстік шығысқа қарай 3 километр	|	Кәсіпшілік балық аулау
66	|	Есіл өзенінің жайылмасы (Есіл ауданы)	|		|	Шал ақын ауданының шекарасынан Қызылжар ауданының шекарасына дейін	|	Кәсіпшілік балық аулау
67	|	Калачик көлі	|	28	|	Петровка ауылынан оңтүстікке қарай 1 километр	|	Кәсіпшілік балық аулау
68	|	Калдарь көлі	|	160	|	Ясновка ауылынан оңтүстік батысқа қарай 7 километр	|	Кәсіпшілік балық аулау
69	|	Қамыскөл көлі	|	67	|	Спасовка ауылынан оңтүстікке қарай 6,3 километр	|	Кәсіпшілік балық аулау
70	|	Үлкен Қамыстыкөл көлі	|	27	|	Николаевка ауылынан солтүстік шығысқа қарай 16,6 километр	|	Кәсіпшілік балық аулау
71	|	Қамысты көлі	|	77,3	|	Петровка ауылынан солтүстік батысқа қарай 3 километр	|	Кәсіпшілік балық аулау
72	|	Қарасор көлі	|	17,2	|	Бұлақ ауылынан солтүстік шығысқа қарай 2,3 километр	|	Кәсіпшілік балық аулау
73	|	Кіндікті көлі	|	205,8	|	Мәдениет ауылынан солтүстік батысқа қарай 2,4 километр	|	Кәсіпшілік балық аулау
74	|	Қойжуған көлі	|	20	|	Тауағаш ауылынан батысқа қарай 1 километр	|	Кәсіпшілік балық аулау
75	|	Қоржынкөл көлі	|	127,2	|	Спасовка ауылынан солтүстік батысқа қарай 0,1 километр	|	Кәсіпшілік балық аулау
76	|	Кіші Қоржынкөл көлі	|	38	|	Спасовка ауылынан солтүстік батысқа қарай 0,5 километр	|	Кәсіпшілік балық аулау
77	|	Қостомар көлі	|	53	|	Амангелді ауылынан батысқа қарай 2,5 километр	|	Кәсіпшілік балық аулау
78	|	Кошқар көлі	|	103	|	Поляковка ауылынан солтүстік шығысқа қарай 1,5 километр	|	Кәсіпшілік балық аулау
79	|	Круглое көлі	|	37	|	Спасовка ауылынан солтүстік батысқа қарай4 километр	|	Кәсіпшілік балық аулау
80	|	Қымызды шатқалы	|	35	|	Жекекөл ауылынан оңтүстік батысқа қарай 1,5 километр	|	Көлде тауарлы балық өсіру шаруашылығы
81	|	Обалы көлі	|	56,4	|	Спасовка ауылынан оңтүстікке қарай 5 километр	|	Кәсіпшілік балық аулау
82	|	Полоустное көлі	|	41	|	Петровка ауылынан шығысқа қарай 3 километр	|	Көлде тауарлы балық өсіру шаруашылығы
83	|	Савенков көлі	|	15	|	Талапкер ауылынан солтүстік батысқа қарай 4,5 километр	|	Кәсіпшілік балық аулау
84	|	Сарыкөл көлі	|	205,8	|	Двинск ауылынан солтүстік шығысқа қарай 7,4 километр	|	Кәсіпшілік балық аулау
85	|	Соленое көлі	|	58	|	Покровка ауылынан оңтүстік шығысқа қарай 0,2 километр	|	Кәсіпшілік балық аулау
86	|	Соленое (Кіші) көлі	|	21	|	Талапкер ауылынан оңтүстікке қарай 2 километр	|	Кәсіпшілік балық аулау
87	|	Үлкен Тораңғұл көлі	|	3475	|	Корнеевка ауылынан солтүстік батысқа қарай 0,1 километр	|	Кәсіпшілік балық аулау
88	|	Черемное көлі	|	3,6	|	Петровка ауылынан оңтүстік шығысқа қарай 5 километр	|	Кәсіпшілік балық аулау
89	|	Широкое (Калиновское) көлі	|	73	|	Калиновка ауылынан оңтүстікке қарай 0,5 километр	|	Кәсіпшілік балық аулау
Жамбыл ауданы
90	|	Ақбасты көлі	|	208	|	Украинское ауылынан солтүстік батысқа қарай 2,6 километр	|	Көлде тауарлы балық өсіру шаруашылығы
91	|	Үлкен Ақшешей көлі	|	40	|	Айымжан ауылынан солтүстік батысқа қарай 10 километр	|	Кәсіпшілік балық аулау
92	|	Арлагүл көлі	|	350	|	Железное ауылынан солтүстік батысқа қарай 7 километр	|	Көлде тауарлы балық өсіру шаруашылығы
93	|	Атаман көлі	|	113	|	Макарьевка ауылынан батысқа қарай 4,5 километр	|	Кәсіпшілік балық аулау
94	|	Атанбай көлі	|	148	|	Новое ауылынан солтүстік батысқа қарай 9 километр	|	Көлде тауарлы балық өсіру шаруашылығы
95	|	Бәкір көлі	|	106	|	Майбалық ауылынан солтүстік шығысқа қарай 6,3 километр	|	Кәсіпшілік балық аулау
96	|	Башенное көлі	|	100	|	Калиновка ауылынан солтүстік батысқа қарай 4,8 километр	|	Кәсіпшілік балық аулау
97	|	Башкир көлі	|	307	|	Железное ауылынан солтүстік шығысқа қарай 11,1 километр	|	Кәсіпшілік балық аулау
98	|	Баян көлі	|	26	|	Баян ауылынан оңтүстік шығысқа қарай 0,2 километр	|	Көлде тауарлы балық өсіру шаруашылығы
99	|	Баян (Петровка) көлі	|	80	|	Петровка ауылынан оңтүстікке қарай 0,1 километр	|	Көлде тауарлы балық өсіру шаруашылығы
100	|	Большое көлі	|	118	|	Пресноредуть ауылынан оңтүстік батысқа қарай 2 километр	|	Көлде тауарлы балық өсіру шаруашылығы
101	|	Үлкен Шабақ көлі	|	172,4	|	Чапаевка ауылынан оңтүстік шығысқа қарай 2,7 километр	|	Көлде тауарлы балық өсіру шаруашылығы
102	|	Варварин көлі	|	85	|	Пресновка ауылынан оңтүстік батысқа қарай 7,1 километр	|	Көлде тауарлы балық өсіру шаруашылығы
103	|	Великое көлі	|	50	|	Айымжан ауылынан солтүстік батысқа қарай8 километр	|	Кәсіпшілік балық аулау
104	|	Волгарев көлі	|	158	|	Ястребинка ауылынан батысқа қарай 3 километр	|	Кәсіпшілік балық аулау
105	|	Глубокое көлі	|	52	|	Мирное ауылынан батысқа қарай 2 километр	|	Кәсіпшілік балық аулау
106	|	Глубокое-Раздольное көлі	|	25	|	Троицкое ауылынан солтүстік солтүстік шығысқа қарай 7 километр	|	Кәсіпшілік балық аулау
107	|	Горькое-Новорыбинское көлі	|	190	|	Новорыбинка ауылынан солтүстік батысқа қарай4 километр	|	Көлде тауарлы балық өсіру шаруашылығы
108	|	Горькое (Островское) көлі	|	153	|	Казанка ауылынан оңтүстікке қарай 6,9 километр	|	Кәсіпшілік балық аулау
109	|	Горькое (Үлкен) көлі	|	500	|	Святодуховка ауылынан солтүстік шығысқа қарай 8,9 километр	|	Кәсіпшілік балық аулау
110	|	Горькое көлі	|	199	|	Казанка ауылынан солтүстікке қарай 0,1 километр	|	Кәсіпшілік балық аулау
111	|	Грачи (Опельдук) көлі	|	187	|	Украинское ауылынан солтүстік батысқа қарай 19,2 километр	|	Кәсіпшілік балық аулау
112	|	Давыдов көлі	|	92	|	Пресновка ауылынан оңтүстік шығысқа қарай 5 километр	|	Кәсіпшілік балық аулау
113	|	Дарнин көлі	|	30	|	Ұзынкөл ауылынан батыс оңтүстік батысқа қарай 3,5 километр	|	Кәсіпшілік балық аулау
114	|	Долбилов көлі	|	294	|	Буденное ауылынан онтүстік шығысқа қарай 0,2 километр	|	Көлде тауарлы балық өсіру шаруашылығы
115	|	Егор Андреевич көлі	|	38	|	Симаки ауылынан онтүстікке қарай 5 километр	|	Кәсіпшілік балық аулау
116	|	Екатериновское көлі	|	273	|	Екатериновка ауылынан оңтүстік батысқа қарай 1 километр	|	Кәсіпшілік балық аулау
117	|	Кіші Екатериновское көлі	|	133	|	Екатериновка ауылынан батысқа қарай 0,1 километр	|	Кәсіпшілік балық аулау
118	|	Ескі Есперлі көлі	|	81,3	|	Есперлі ауылынан оңтүстік шығысқа қарай 8,8 километр	|	Кәсіпшілік балық аулау
119	|	Жекекөл көлі	|	83	|	Благовещенка ауылынан оңтүстікке қарай	|	Кәсіпшілік балық аулау
120	|	Железное көлі	|	157	|	Железное ауылынан солтүстікке қарай 0,5 километр	|	Кәсіпшілік балық аулау
121	|	Желтое көлі	|	52	|	Симаки ауылынан оңтүстік шығысқа қарай 0,7 километр	|	Көлде тауарлы балық өсіру шаруашылығы
122	|	Желдікөл көлі	|	170,8	|	Сәбит ауылынан шығысқа қарай 3,3 километр	|	Көлде тауарлы балық өсіру шаруашылығы
123	|	Журавлиное көлі	|	50	|	Симаки ауылынан оңтүстік шығысқа қарай 5,5 километр	|	Кәсіпшілік балық аулау
124	|	Займище көлі	|	1090	|	Миролюбов ауылынан солтүстік батысқа қарай 6,7 километр	|	Кәсіпшілік балық аулау
125	|	Зотов көлі	|	100	|	Кабань ауылынан солтүстікке қарай 4,5 километр	|	Көлде тауарлы балық өсіру шаруашылығы
126	|	Үлкен Ізбасар көлі	|	230	|	Ольговка ауылынан солтүстікке қарай 1,7 километр	|	Кәсіпшілік балық аулау
127	|	Итбалық көлі	|	120	|	Украинское ауылынан солтүстікке қарай 9 километр	|	Кәсіпшілік балық аулау
128	|	Казенное көлі	|	19	|	Кабань ауылынан солтүстік шығысқа қарай 6 километр	|	Кәсіпшілік балық аулау
129	|	Қайранкөл көлі	|	51	|	Айымжан ауылынан батыс оңтүстік батысқа қарай1,7 километр	|	Кәсіпшілік балық аулау
130	|	Қайранкөл (Целинное) көлі	|	40,3	|	Украинское ауылынан солтүстік батысқа қарай 9,7 километр	|	Кәсіпшілік балық аулау
131	|	Қарабалық көлі	|	77	|	Калиновка ауылынан оңтүстікке қарай 2 километр	|	Кәсіпшілік балық аулау
132	|	Қарақамыс көлі	|	1293	|	Қайранкөл ауылынан солтүстікке қарай 13,8 километр	|	Көлде тауарлы балық өсіру шаруашылығы
133	|	Үлкен Қарақоға көлі	|	130	|	Троицкое ауылынан оңтүстікке қарай 1,3 километр	|	Кәсіпшілік балық аулау
134	|	Қаракөл көлі	|	168	|	Украинское ауылынан солтүстік солтүстік батысқа қарай 20 километр	|	Кәсіпшілік балық аулау
135	|	Кішкенекөл көлі	|	72	|	Есперлі ауылынан оңтүстік шығысқа қарай 0,3 километр	|	Кәсіпшілік балық аулау
136	|	Кобылье көлі	|	93	|	Кабань ауылынан солтүстік батысқа қарай 6 километр	|	Кәсіпшілік балық аулау
137	|	Козявочное көлі	|	33	|	Айымжан ауылынан солтүстік батысқа қарай 6,7 километр	|	Кәсіпшілік балық аулау
138	|	Қопа көлі	|	56,2	|	Жамбыл ауылынан солтүстікке қарай 3 километр	|	Кәсіпшілік балық аулау
139	|	Қопа көлі (Суаткөл ауылы)	|	433	|	Суаткөл ауылынан шығысқа қарай 2,7 километр	|	Көлде тауарлы балық өсіру шаруашылығы
140	|	Копылов көлі	|	76	|	Пресновка ауылынан оңтүстік шығысқа қарай 6 километр	|	Кәсіпшілік балық аулау
