
«Жиырмалық тобына» қатысушы елдер көшбасшыларының саммиті шеңберінде өткізілетін іс-шараларға Қазақстан Республикасының қатысуы жөніндегі 2013 жылға арналған іс-шаралар жоспарын орындау мақсатында Қазақстан Республикасының Үкіметі ҚАУЛЫ ЕТЕДІ: 1. Қоса беріліп отырған «Жиырмалық тобына» қатысушы елдер көшбасшыларының саммиті шеңберінде өткізілетін іс-шараларға Қазақстан Республикасының қатысуы жөніндегі 2013 жылға арналған іс-шаралар жоспары (бұдан әрі – Жоспар) бекітілсін. 2. Қазақстан Республикасының орталық атқарушы органдары, өзге де мемлекеттік органдары (келісім бойынша), сондай-ақ Жоспарды орындауға жауапты мүдделі ұйымдар (келісім бойынша): 1) Жоспарды iске асыру жөнiнде шаралар қабылдасын; 2) Жоспарда көзделген іс-шаралар өткізілген күннен кейін 10 күн ішінде Қазақстан Республикасы Президенті Әкімшілігінің Стратегиялық әзірлемелер және талдау орталығына ақпарат берсін. 3. Осы қаулының орындалуын бақылау Қазақстан Республикасы Премьер-Министрінің орынбасары Қ.Н. Келімбетовке жүктелсін. 4. Осы қаулы қол қойылған күнінен бастап қолданысқа енгізіледі.

Қазақстан Республикасының Премьер-Министрі                                     С. Ахметов

Қазақстан Республикасы Үкіметінің 2013 жылғы 13 маусымдағы № 596 қаулысымен бекітілген

«Жиырмалық тобына» қатысушы елдер көшбасшыларының саммиті шеңберінде өткізілетін іс-шараларға Қазақстан Республикасының қатысуы жөніндегі 2013 жылға арналған іс-шаралар Жоспары


№р/с	|	Іс-шара	|	Аяқтау нысаны	|	Орындауға жауаптылар	|	Орындау мерзімі
1	|	2	|	3	|	4	|	5
1.	|	«Өңірлік қаржылық тетіктер: халықаралық қаржылық архитектурадағы рөлі және ХҚҚ-мен ынтымақтастығы» семинарына қатысу	|	СӘТО-ға ақпарат	|	ҰБ (келісім бойынша), СІМ	|	2013 жылғысәуір
2.	|	Сенімді, орнықты, теңгерімделген өсуді қамтамасыз ету жөніндегі негіздемелік келісімді іске асыру жөніндегі жұмыс тобының отырысына қатысу	|	СӘТО-ға ақпарат	|	ЭБЖМ, СІМ	|	2013 жылғысәуір
3.	|	«Жиырмалық тобының» қаржы министрлерінің орынбасарлары мен орталық банк басқарушыларының кездесуіне қатысу	|	СӘТО-ға ақпарат	|	ҰБ (келісім бойынша), Қаржымині, СІМ	|	2013 жылғысәуір
4.	|	«Жиырмалық тобының» қаржы министрлері және орталық банк басқарушыларының кездесуіне қатысу	|	СӘТО-ға ақпарат	|	ҰБ (келісім бойынша), Қаржымині, СІМ	|	2013 жылғысәуір
5.	|	Әйелдер үшін қаржылық қызметтерге рұқсатты кеңейту мәселелері жөніндегі семинарға қатысу	|	СӘТО-ға ақпарат	|	Еңбекмині, СІМ	|	2013 жылғысәуір
6.	|	Сауда мәселелері жөніндегі семинарға қатысу (ЕЫДҰ)	|	СӘТО-ға ақпарат	|	ЭБЖМ, СІМ	|	2013 жылғымамыр
7.	|	Дамуға жәрдемдесу жөніндегі жұмыс тобының отырысына қатысу	|	СӘТО-ға ақпарат	|	ЭБЖМ, СІМ	|	2013 жылғымамыр
8.	|	«Жиырмалық тобының» шерпаларының кездесуіне қатысу	|	СӘТО-ға ақпарат	|	ПӘ (келісім бойынша), СІМ	|	2013 жылғымамыр
9.	|	Энергетика мәселелері жөніндегі сарапшылар семинарына қатысу	|	СӘТО-ға ақпарат	|	ИЖТМ, Қоршағанортамині, МГМ, СІМ	|	2013 жылғымаусым
10.	|	Энергетика саласын орнықты дамыту жөніндегі жұмыс тобының отырысына қатысу	|	СӘТО-ға ақпарат	|	ИЖТМ, Қоршағанортамині, МГМ, СІМ	|	2013 жылғымаусым
11.	|	Сыбайлас жемқорлыққа қарсы іс-қимыл жөніндегі жұмыс тобының отырысына қатысу	|	СӘТО-ға ақпарат	|	ЭҚСЖКА (келісім бойынша), СІМ	|	2013 жылғымаусым
12.	|	Жұмыспен қамту жөніндегі жұмыс тобының отырысына қатысу	|	СӘТО-ға ақпарат	|	Еңбекмині, ПӘ (келісім бойынша), СІМ	|	2013 жылғымаусым
13.	|	«Халықаралық валюта-қаржы жүйесіндегі рейтингтік агенттіктер» конференциясына қатысу	|	СӘТО-ға ақпарат	|	ЭБЖМ, Қаржымині, ҰБ (келісім бойынша), СІМ	|	2013 жылғымаусым
14.	|	«Жиырмалық тобының» қаржы министрлерінің орынбасарларының және орталық банк басқарушыларының кездесуіне қатысу	|	СӘТО-ға ақпарат	|	ҰБ (келісім бойынша), Қаржымині, СІМ	|	2013 жылғымаусым
15.	|	«Жиырмалық тобының» азаматтық саммитіне қатысу	|	СӘТО-ға ақпарат	|	МАМ, СІМ	|	2013 жылғымаусым
16.	|	«Қаржылық сауаттылық және қаржылық білім» конференциясына қатысу	|	СӘТО-ға ақпарат	|	ҰБ (келісім бойынша), Қаржымині	|	2013 жылғымаусым
17.	|	«Жиырмалық тобының» жастар саммитіне қатысу	|	СӘТО-ға ақпарат	|	БҒМ, СІМ	|	2013 жылғымаусым
