ҚАУЛЫ ЕТЕДІ:

1. "Зеренді ауданында үгіттік баспа материалдарын орналастыру үшін орындарды белгілеу және сайлаушылармен кездесу үшін үй-жайлар ұсыну туралы" Ақмола облысы Зеренді ауданы әкімдігінің 2014 жылғы 31 шілдедегі № 474 қаулысына (Нормативтік құқықтық актілерді мемлекеттік тіркеу тізілімінде № 4318 болып тіркелген) келесі өзгерістер енгізілсін:

көрсетілген қаулының тақырыбы жаңа редакцияда жазылсын:

"Барлық кандидаттар үшін үгіттік баспа материалдарын орналастыру үшін орындарды белгілеу туралы";

көрсетілген қаулының 1 тармағы жаңа редакцияда жазылсын:

"1. Осы қаулының қосымшасына сәйкес Зеренді аудандық аумақтық сайлау комиссиясымен бірлесіп барлық кандидаттар үшін үгіттік баспа материалдарын орналастыру үшін орындар белгіленсін";

көрсетілген қаулының 2 тармағы алынып тасталсын;

көрсетілген қаулының 1 қосымшасы осы қаулының қосымшасына сәйкес жаңа редакцияда жазылсын.

2. Осы қаулының орындалуын бақылау Ақмола облысы Зеренді ауданы әкімінің орынбасары Р.Қ. Ғабдуллинаға жүктелсін.

3. Осы қаулы оның алғашқы ресми жарияланған күнінен кейін күнтізбелік он күн өткен соң қолданысқа енгізіледі.


Зеренді ауданының әкімі	|	А.Жаксылыков


"КЕЛІСІЛДІ"


Зеренді аудандық аумақтықсайлау комиссиясы





	|	Зеренді ауданының әкімдігінің2021 жылғы 16 шілдедегі№ А-7/499 қаулысынақосымша
	|	Зеренді ауданы әкімдігінің2014 жылғы "31" маусымдағы№ 474 қаулысынақосымша

Барлық кандидаттар үшін үгіттік баспа материалдарын орналастыру үшін орындар

№	|	Елді мекеннің атауы	|	Сайлау учаскесінің нөмірі	|	Орналасқан жері
1.	|	Шағалалы ауылы	|	506	|	Ынтымақ шағын ауданы, 13 көшесіндегі "Ақмола облысы білім басқармасының Зеренді ауданы бойынша білім бөлімі Шағалалы ауылының жалпы орта білім беретін мектебі" коммуналдық мемлекеттік мекемесінің ғимараты жанындағы ақпараттық стенд
2.	|	Шағалалы ауылы	|	507	|	Ынтымақ шағын ауданы, 6 көшесіндегі Ақмола облысы білім басқармасының жанындағы "Шағалалы ауылы, жоғары агротехникалық колледжі" мемлекеттік коммуналдық қазыналық кәсіпорнының ғимараты жанындағы ақпараттық стенд
3.	|	Ақадыр ауылы	|	508	|	Атамекен көшесі, 3 көшесіндегі Зеренді ауданының мәдениет және тілдерді дамыту бөлімінің жанындағы "Мәдениет үйі" мемлекеттік коммуналдық қазыналық кәсіпорнының Ақадыр ауылдық клубының ғимараты жанындағы стенд
4.	|	Ескенежал ауылы, Еңбек-Бірлік ауылы	|	509	|	Достық, 5 көшесіндегі "Ақмола облысы білім басқармасының Зеренді ауданы бойынша білім бөлімі Ескенежал ауылының негізгі орта мектебі" коммуналдық мемлекеттік мекемесінің ғимараты жанындағы ақпараттық стенд.Бұлақ, 8 көшесіндегі ақпараттық стенд
5.	|	Ұялы ауылы	|	510	|	Бейбітшілік, 29 көшесіндегі "Ақмола облысы білім басқармасының Зеренді ауданы бойынша білім бөлімі Ұялы ауылының бастауыш мектебі" коммуналдық мемлекеттік мекемесінің ғимараты жанындағы ақпараттық стенд
6.	|	Ақкөл ауылы	|	511	|	Ыбырай Алтынсарин, 1 көшесіндегі Зеренді ауданының мәдениет және тілдерді дамыту бөлімінің жанындағы "Мәдениет үйі" мемлекеттік коммуналдық қазыналық кәсіпорнының Ақкөл ауылдық клубының ғимараты жанындағы ақпараттық стенд
7.	|	Молодежное ауылы, Туполевка ауылы	|	512	|	Комсомольская, 36 көшесіндегі "Ақмола облысы білім басқармасының Зеренді ауданы бойынша білім бөлімі Молодежное ауылының жалпы орта білім беретін мектебі" коммуналдық мемлекеттік мекемесінің ғимараты жанындағы ақпараттық стенд.Әлібек Тәшібаев, 5/2 көшесіндегі ғимараты жанындағы ақпараттық стенд.
8.	|	Қазақстан ауылы	|	513	|	Мектеп, 11 көшесіндегі "Ақмола облысы білім басқармасының Зеренді ауданы бойынша білім бөлімі Қазақстан ауылының бастауыш мектебі" коммуналдық мемлекеттік мекемесінің ғимараты жанындағы ақпараттық стенд
9.	|	Ивановка ауылы	|	514	|	Мектеп, 3 көшесіндегі "Ақмола облысы білім басқармасының Зеренді ауданы бойынша білім бөлімі Ивановка ауылының бастауыш мектебі" коммуналдық мемлекеттік мекемесінің ғимаратыжанындағы ақпараттық стенд
10.	|	Ортақ ауылы	|	515	|	Орталық, 26 көшесіндегі Зеренді ауданының мәдениет және тілдерді дамыту бөлімінің жанындағы "Мәдениет үйі" мемлекеттік коммуналдық қазыналық кәсіпорнының Ортақ ауылдық клубының ғимараты жанындағы ақпараттық стенд
11.	|	Қызылтаң ауылы, Қайынды ауылы	|	516	|	Білім, 11 көшесіндегі Зеренді ауданының мәдениет және тілдерді дамыту бөлімінің жанындағы "Мәдениет үйі" мемлекеттік коммуналдық қазыналық кәсіпорнының Қызылтаң ауылдық клубының ғимараты жанындағы ақпараттық стенд.Теміржолшылар, 7 көшесіндегі ғимараты жанындағы ақпараттық стенд.
12.	|	Алексеевка кенті	|	517	|	Школьная, 14 көшесіндегі "Ақмола облысы білім басқармасының Зеренді ауданы бойынша білім бөлімі Алексеевка кентінің № 1 жалпы орта білім беретін мектебі" коммуналдық мемлекеттік мекемесінің ғимараты жанындағы ақпараттық стенд
13.	|	Алексеевка кенті	|	518	|	Алтынсарин, 2 көшесіндегі "Ақмола облысы білім басқармасының Зеренді ауданы бойынша білім бөлімі Алексеевка кентінің № 2 жалпы орта білім беретін мектебі" коммуналдық мемлекеттік мекемесінің ғимараты жанындағы ақпараттық стенд
14.	|	Алексеевка кенті	|	519	|	Горький, 1а көшесіндегі Ақмола облысы денсаулық сақтау басқармасы жанындағы "Облыстық психикалық денсаулық орталығы" шаруашылық жүргізу құқығындағы мемлекеттік коммуналдық кәсіпорнының Алексеевка кентіндегі бөлімшесінің ғимараты жанындағы ақпараттық стенд
15.	|	Чаглинка станциясы, Жаманащи станциясы	|	520	|	Школьная, 1А көшесіндегі "Ақмола облысы білім басқармасының Зеренді ауданы бойынша білім бөлімі Чаглинка станциясының негізгі орта мектебі" коммуналдық мемлекеттік мекемесінің ғимараты жанындағы ақпараттық стенд.Теміржолшылар көшесіндегі Жаманащы табельдік станциясы ғимаратының жанындағы стенд
16.	|	Еленовка ауылы	|	521	|	Абылай хан, 36 көшесіндегі Зеренді ауданының мәдениет және тілдерді дамыту бөлімінің жанындағы "Мәдениет үйі" мемлекеттік коммуналдық қазыналық кәсіпорнының Еленовка ауылдық клубының ғимараты жанындағы ақпараттық стенд
17.	|	Қарлыкөл ауылы	|	522	|	Мектеп, 34 көшесіндегі "Ақмола облысы білім басқармасының Зеренді ауданы бойынша білім бөлімі Қарлыкөл ауылының негізгі орта мектебі" коммуналдық мемлекеттік мекемесінің ғимараты жанындағы ақпараттық стенд
18.	|	Жылымды ауылы	|	523	|	Мектеп, 20 көшесіндегі "Ақмола облысы білім басқармасының Зеренді ауданы бойынша білім бөлімі Жылымды ауылының негізгі орта мектебі" коммуналдық мемлекеттік мекемесінің ғимараты жанындағы ақпараттық стенд
19.	|	Жаңа-ауыл ауылы	|	524	|	Бейбітшілік, 8 көшесіндегі "Ақмола облысы білім басқармасының Зеренді ауданы бойынша білім бөлімі Жаңаауыл ауылының бастауыш мектебі" коммуналдық мемлекеттік мекемесінің ғимараты жанындағы ақпараттық стенд
20.	|	Қарағай ауылы	|	525	|	Станционная, 11 көшесіндегі "Ақмола облысы білім басқармасының Зеренді ауданы бойынша білім бөлімі Қарағай ауылының бастауыш мектебі" коммуналдық мемлекеттік мекемесінің ғимараты жанындағы ақпараттық стенд
21.	|	Ақан ауылы	|	526	|	Орталық, 10 көшесіндегі "Ақмола облысы білім басқармасының Зеренді ауданы бойынша білім бөлімі Ақан ауылының негізгі орта мектебі" коммуналдық мемлекеттік мекемесінің ғимараты жанындағы ақпараттық стенд
22.	|	Баратай ауылы	|	527	|	Жастар, 1 көшесіндегі "Ақмола облысы білім басқармасының Зеренді ауданы бойынша білім бөлімі Баратай ауылының негізгі орта мектебі" коммуналдық мемлекеттік мекемесінің ғимараты жанындағы ақпараттық стенд
23.	|	Уголки ауылы	|	528	|	Бәйтерек, 10 көшесіндегі "Ақмола облысы білім басқармасының Зеренді ауданы бойынша білім бөлімі Уголки ауылының негізгі орта мектебі" коммуналдық мемлекеттік мекемесінің ғимараты жанындағы ақпараттық стенд
24.	|	Қызылсая ауылы, Қызылағаш ауылы, Биіктесін ауылы	|	529	|	Орталық, 16 көшесіндегі Зеренді ауданының мәдениет және тілдерді дамыту бөлімінің жанындағы "Мәдениет үйі" мемлекеттік коммуналдық қазыналық кәсіпорнының Қызылсая ауылдық клубы ғимараты жанындағы ақпараттық стенд.Орталық, 1 көшесіндегі ақпараттық стенд.Бірлік, 3 көшесіндегі ақпараттық стенд.
25.	|	Бірлестік ауылы, Жаңатілек ауылы	|	530	|	Горно-обогатительный комбинат (ГОК) шағын ауданы, 23 көшесіндегі "Ақмола облысы білім басқармасының Зеренді ауданы бойынша білім бөлімі Бірлестік ауылының жалпы орта білім беретін мектебі" коммуналдық мемлекеттік мекемесінің ғимараты жанындағы ақпараттық стенд
26.	|	Сейфуллин ауылы	|	531	|	Орталық, 20 көшесіндегі "Ақмола облысы білім басқармасының Зеренді ауданы бойынша білім бөлімі Сейфуллин ауылының жалпы орта білім беретін мектебі" коммуналдық мемлекеттік мекемесінің ғимараты жанындағы ақпараттық стенд
27.	|	Қараөзек ауылы	|	532	|	Орталық, 9 көшесіндегі "Ақмола облысы білім басқармасының Зеренді ауданы бойынша білім бөлімі Қараөзек ауылының бастауыш мектебі" коммуналдық мемлекеттік мекемесінің ғимараты жанындағы ақпараттық стенд
28.	|	Қонысбай ауылы	|	533	|	Абай Құнанбаев атындағы, 16 көшесіндегі Зеренді ауданының мәдениет және тілдерді дамыту бөлімінің жанындағы "Мәдениет үйі" мемлекеттік коммуналдық қазыналық кәсіпорнының Қонысбай ауылдық клубының ғимараты жанындағы ақпараттық стенд
29.	|	Гранитный кенті	|	534	|	Гранитный шағын ауданы, 27 көшесіндегі "Ақмола облысы білім басқармасының Зеренді ауданы бойынша білім бөлімі Гранитный кентінің негізгі орта мектебі" коммуналдық мемлекеттік мекемесінің ғимараты жанындағы ақпараттық стенд
30.	|	Васильковка ауылы	|	535	|	Мектеп, 15 көшесіндегі "Ақмола облысы білім басқармасының Зеренді ауданы бойынша білім бөлімі Васильковка ауылының негізгі орта мектебі" коммуналдық мемлекеттік мекемесінің ғимараты жанындағы ақпараттық стенд
31.	|	Дөңғылағаш ауылы	|	536	|	Мәдениет, 7А көшесіндегі "Ақмола облысы білім басқармасының Зеренді ауданы бойынша білім бөлімі Дөңгілағаш ауылының негізгі орта мектебі" коммуналдық мемлекеттік мекемесің ғимараты жанындағы ақпараттық стенд
32.	|	Өркен ауылы, Жамбыл ауылы	|	537	|	Школьная, 20 көшесіндегі Зеренді ауданының мәдениет және тілдерді дамыту бөлімінің жанындағы "Мәдениет үйі" мемлекеттік коммуналдық қазыналық кәсіпорнының Күсеп ауылдық клубының ғимараты жанындағы ақпараттық стенд.Абылайхан көшесі, 2 ғимаратының жанындағы стенд
33.	|	Өзен ауылы, Теректі ауылы	|	538	|	Комсомольская, 4 көшесіндегі "Ақмола облысы білім басқармасының Зеренді ауданы бойынша білім бөлімі Өзен ауылының жалпы орта білім беретін мектебі" коммуналдық мемлекеттік мекемесінің ғимараты жанындағы ақпараттық стенд
34.	|	Азат ауылы	|	539	|	Школьная, 12 көшесіндегі "Ақмола облысы білім басқармасының Зеренді ауданы бойынша білім бөлімі Азат ауылының негізгі орта мектебі" коммуналдық мемлекеттік мекемесінің ғимараты жанындағы ақпараттық стенд
35.	|	Приречное ауылы	|	540	|	Орталық, 19 көшесіндегі Зеренді ауданының мәдениет және тілдерді дамыту бөлімінің жанындағы "Мәдениет үйі" мемлекеттік коммуналдық қазыналық кәсіпорнының Приречен ауылдық клубы ғимараты жанындағы ақпараттық стенд
36.	|	Павловка ауылы	|	541	|	Орталық, 23 көшесіндегі "Ақмола облысы білім басқармасының Зеренді ауданы бойынша білім бөлімі Павловка ауылының бастауыш мектебі" коммуналдық мемлекеттік мекемесінің ғимараты жанындағы ақпараттық стенд
37.	|	Садовое ауылы	|	542	|	Мектеп, 1 көшесіндегі "Ақмола облысы білім басқармасының Зеренді ауданы бойынша білім бөлімі Садовое ауылының жалпы орта білім беретін мектебі" коммуналдық мемлекеттік мекемесінің ғимараты жанындағы ақпараттық стенд
