Ескерту. Қаулы 01.01.2018 дейін қолданыста болды – ҚР Үкіметінің 29.04.2013 № 404 қаулысымен. РҚАО-ның ескертпесі! Осы қаулының қолданысқа енгізілу тәртібін 2-тармақтан қараңыз.

"Салық және бюджетке төленетiн басқа да мiндеттi төлемдер туралы" 2008 жылғы 10 желтоқсандағы Қазақстан Республикасы Кодексiнiң (Салық кодексi) 150-бабының 2-тармағына сәйкес Қазақстан Республикасының Үкiметi ҚАУЛЫ ЕТЕДI :

1. Қоса берiлiп отырған "Инновациялық технологиялар паркі" арнайы экономикалық аймағының аумағында қызметін жүзеге асыратын және орналасқан жері бойынша салық органында тіркелген ұйымдар үшін "Инновациялық технологиялар паркі" арнайы экономикалық аймағын құру мақсаттарына сәйкес келетін қызмет түрлерiнен меншікті өндіріс тауарларының (жұмыстардың, көрсетілетін қызметтердiң) тiзбесi бекiтiлсiн.

2. Осы қаулы алғашқы ресми жарияланған күнінен бастап қолданысқа енгізіледі және 2018 жылғы 1 қаңтарға дейін қолданылады.

Ескерту. 2-тармақ жаңа редакцияда - ҚР Үкіметінің 2014.12.09 № 1283 (2015 жылғы 1 қаңтардан бастап қолданысқа енгізіледі) қаулысымен. 


Қазақстан Республикасының	|	
Премьер-Министрi	|	С. Ахметов




	|	Қазақстан РеспубликасыҮкiметiнiң2013 жылғы 29 сәуірдегі№ 404 қаулысыменбекiтiлген

"Инновациялық технологиялар паркі" арнайы экономикалық аймағының аумағында қызметін жүзеге асыратын және орналасқан жері бойынша салық органында тіркелген ұйымдар үшін "Инновациялық технологиялар паркі" арнайы экономикалық аймағын құру мақсаттарына сәйкес келетін қызмет түрлерiнен меншікті өндіріс тауарларының (жұмыстардың, көрсетілетін қызметтердің) тiзбесi

ЭҚЖЖ коды	|	ЭҚТӨЖ коды	|	Атауы
түрі	|	кіші түрі	|	КОМПЬЮТЕРЛЕР, ЭЛЕКТРОНДЫҚ ЖӘНЕ ОПТИКАЛЫҚ ӨНІМДЕР
1	|	2	|	3	|	4
26.20	|		|		|	Компьютерлер мен перифериялық жабдықтар
	|	26.20.1	|		|	Электрондық-есептеу техникасы, оның бөлшектерi мен керек-жарақтары
	|		|	26.20.11	|	Салмағы 10 кг-нан аспайтын портативтi цифрлық есептеуіш машиналар (лэптоптар, ноутбуктер, органайзерлер және т.б.); цифрлық және оған ұқсас машиналар
	|		|	26.20.12	|	Есептеуіш машиналарымен немесе желiмен байланысты сауда терминалдары, сауда автоматтары және оған ұқсас машиналар
	|		|	26.20.13	|	Бiр корпуста, кемiнде, араласқан немесе жекелеген блоктарға орналастырылған орталық процессор және енгiзу мен шығару құрылғысы бар цифрлы есептеуіш машиналар
	|		|	26.20.14	|	Жүйелер түрiнде берiлген деректердi автоматты өңдеуге арналған цифрлық машиналар
	|		|	26.20.15	|	Бiр ғана корпуста мына типтердің бiр немесе екi құрылғысы: есте сақтау құрылғысы, енгiзу немесе шығару құрылғысы болатын немесе болмайтын деректердi автоматты өңдеуге арналған өзге де цифрлық машиналар
	|		|	26.20.16	|	Басқа топтамаға енгiзiлмеген енгiзу-шығару құрылғылары
	|		|	26.20.17	|	Басым түрде деректердi автоматты өңдеу жүйелерiнде пайдаланылатын мониторлар мен проекторлар
	|		|	26.20.18	|	Екi немесе одан көп: басып шығару, қарап шығу, көшiру, факспен жолдау функцияларын орындайтын құрылғылар
	|	26.20.2	|		|	Есте сақтау құрылғылары (жинақтағыштар) және сақтаушы/жазып алатын басқа құрылғылар
	|		|	26.20.21	|	Есте сақтау құрылғылары (жинақтағыштар)
	|		|	26.20.22	|	Сақтаушы/жазып алатын құрылғылар
	|	26.20.3	|		|	Ақпаратты автоматты өңдеуге арналған машиналардың басқа құрылғылары; басқа топтамаларға енгiзiлмеген ақпаратты өңдеуге арналған машиналар
58.29	|		|		|	Өзге де бағдарламалық қамтамасыз етуді шығару бойынша көрсетілетін қызметтер
	|	58.29.1	|		|	Дайын жүйелік бағдарламалық қамтамасыз етуді жеке орамада шығару бойынша көрсетілетін қызметтер
