"КазГеоЭксплорейшен" жауапкершілігі шектеулі серіктестігінің өтінішін қарастырып, Қазақстан Республикасының Жер кодексіне , Қазақстан Республикасының "Қазақстан Республикасындағы жергілікті мемлекеттік басқару және өзін-өзі басқару туралы" Заңына сәйкес, аудан әкімдігі ҚАУЛЫ ЕТЕДІ:

1. Осы қаулының қосымшасына сәйкес, "КазГеоЭксплорейшен" жауапкершілігі шектеулі серіктестігімен қатты пайдалы қазбаларды барлау жөніндегі операцияларды жүргізу үшін 2029 жылдың 23 мамырына дейінгі мерзімге Бұқар жырау ауданының аумағында орналасқан жалпы аумағы 20086.3 гектар жер учаскелеріне қауымдық сервитут белгіленсін.

2. "КазГеоЭксплорейшен" жауапкершілігі шектеулі серіктестігіне:

1) жер учаскелерінің меншік иелері мен жер пайдаланушыларға залалдарды толық көлемде өтеу, залалдардың мөлшері және оларды өтеу тәртібі Қазақстан Республикасының қолданыстағы заңнамасына сәйкес тараптардың келісімімен (келісім бойынша) анықталсын;

2) жер учаскесін пайдалану кезінде Қазақстан Республикасы заңнамасының талаптарын сақтау қажет;

3. "Бұқар жырау ауданының жер қатынастары бөлімі" ММ басшысы (Мадениетов Е.М.) Қазақстан Республикасының заңнамалық актілерінде белгіленген тәртіппен осы қаулыдан туындайтын шараларды қабылдасын.

4. Осы қаулының орындалуын бақылау Бұқар жырау ауданы әкімінің орынбасары Арман Шалиевич Дардаковқа жүктелсін.

5. Осы қаулы алғашқы ресми жарияланған күнінен кейін күнтізбелік он күн өткен соң қолданысқа енгізіледі.


Аудан әкімі	|	А. Султанғали



	|	Бұқар жырау ауданы әкімдігінің2023 жылғы "03" шілде№ 41/01 қаулысынақосымша

2023 жылғы 20 сәуірдегі № 2001- EL лицензиясының шекараларында, оларға қатысты жария сервитут белгіленуге тиіс жер учаскелердің (учаскелердің бөліктерінің) тізбесі

№№	|	Кадастрлы номері	|	Учаскенің мекенжайы	|	Учаскенің жалпы көлемі, га	|	Қауымдық сервитут белгіленуге жататын учаскелер бөліктерінің ауданы (лицензия шекараларында), га
1.	|	09-140-002-005	|	Қарағанды облысы, Бұқар жырау ауданы, Ақбел ауылдық округі	|	285,5	|	285,5
2.	|	09-140-002-006	|	Қарағанды облысы, Бұқар жырау ауданы, Ақбел ауылдық округі	|	104,2	|	104,1
3.	|	09-140-002-181	|	Қарағанды облысы, Бұқар жырау ауданы, Ақбел ауылдық округі	|	1 100,0	|	806,8
4.	|	09-140-002-183	|	Қарағанды облысы, Бұқар жырау ауданы, Ақбел ауылдық округі	|	683,0	|	683,0
5.	|	09-140-002-184	|	Қарағанды облысы, Бұқар жырау ауданы, Ақбел ауылдық округі	|	214,0	|	214,0
6.	|	09-140-002-185	|	Қарағанды облысы, Бұқар жырау ауданы, Ақбел ауылдық округі	|	163,0	|	163,0
7.	|	09-140-002-192	|	Қарағанды облысы, Бұқар жырау ауданы, Ақбел ауылдық округі	|	819,0	|	271,1
8.	|	09-140-002-194	|	Қарағанды облысы, Бұқар жырау ауданы, Ақбел ауылдық округі	|	291,0	|	93,7
9.	|	09-140-002-213	|	Қарағанды облысы, Бұқар жырау ауданы, Ақбел ауылдық округі	|	326,0	|	326,0
10.	|	09-140-004-021	|	Қарағанды облысы, Бұқар жырау ауданы, Үміткер ауылдық округі	|	1 444,0	|	1 126,5
11.	|	09-140-004-044	|	Қарағанды облысы, Бұқар жырау ауданы, Үміткер ауылдық округі	|	8 941,0	|	29,8
12.	|	09-140-004-086	|	Қарағанды облысы, Бұқар жырау ауданы, Үміткер ауылдық округі	|	841,1	|	544,3
13.	|	09-140-004-112	|	Қарағанды облысы, Бұқар жырау ауданы, Үміткер ауылдық округі	|	400,0	|	75,2
14.	|	09-140-004-120	|	Қарағанды облысы, Бұқар жырау ауданы, Үміткер ауылдық округі	|	66,3	|	66,3
15.	|	09-140-004-154	|	Қарағанды облысы, Бұқар жырау ауданы, Үміткер ауылдық округі	|	838,1	|	838,1
16.	|	09-140-004-166	|	Қарағанды облысы, Бұқар жырау ауданы, Үміткер ауылдық округі	|	6 871,4	|	4 831,9
17.	|	09-140-004-209	|	Қарағанды облысы, Бұқар жырау ауданы, Үміткер ауылдық округі	|	681,0	|	0,4
18.	|	09-140-004-217	|	Қарағанды облысы, Бұқар жырау ауданы, Үміткер ауылдық округі	|	398,0	|	6,7
19.	|	09-140-004-235	|	Қарағанды облысы, Бұқар жырау ауданы, Үміткер ауылдық округі	|	318,0	|	19,9
20.	|	09-140-004-245	|	Қарағанды облысы, Бұқар жырау ауданы, Үміткер ауылдық округі	|	863,0	|	751,4
21.	|	09-140-004-248	|	Қарағанды облысы, Бұқар жырау ауданы, Үміткер ауылдық округі	|	148,9	|	107,3
22.	|	09-140-004-250	|	Қарағанды облысы, Бұқар жырау ауданы, Үміткер ауылдық округі	|	762,5	|	762,5
23.	|	09-140-004-259	|	Қарағанды облысы, Бұқар жырау ауданы, Үміткер ауылдық округі	|	644,0	|	630,1
24.	|	09-140-004-268	|	Қарағанды облысы, Бұқар жырау ауданы, Үміткер ауылдық округі	|	697,6	|	74,1
25.	|	Кадастрлық есепке қойылмаған жерлер	|	Қарағанды облысы, Бұқар жырау ауданы	|	7 274,6	|	7 274,6
	|	БАРЛЫҒЫ	|		|		|	20 086,3



