
БҰЙЫРАМЫН: 1. Мектепке дейінгі, бастауыш, негізгі орта, жалпы орта, техникалық және кәсіптік білім беру ұйымдарын жабдықтармен және жиһазбен жарақтандыру нормаларын бекіту туралы» Қазақстан Республикасы Білім және ғылым Министрінің 2012 жылғы 7 наурыздағы № 97 бұйрығына (Нормативтік құқықтық актілерді мемлекеттік тіркеу тізілімінде № 7574 тіркелген, «Егемен Қазақстан» газетінің 2012 жылғы 25 тамыздағы № 551-556 (27629); 2012 жылғы 28 тамыздағы № 557-561 (27634); 2012 жылғы 29 тамыздағы № 562-569 (27642); 2012 жылғы 1 қыркүйектегі № 575-579 (27652); 2012 жылғы 19 қыркүйектегі № 609-614 (27687) сандарында жарияланған) мынадай өзгерістер енгізілсін: тақырып мынадай мазмұнда жазылсын: «Техникалық және кәсіптік білім беру ұйымдарын жабдықтармен және жиһазбен жарақтандыру нормаларын бекіту туралы»; 1-тармақ мынадай мазмұнда жазылсын: «1. Техникалық және кәсіптік білім беру ұйымдарын жабдықтармен және жиһазбен жарақтандыру нормаларын бекіту»; көрсетілген бұйрықпен бекітілген Мектепке дейінгі, бастауыш, негізгі орта, жалпы орта, техникалық және кәсіптік білім беру ұйымдарын жабдықтармен және жиһазбен жарақтандыру нормалары , осы бұйрыққа қосымшаға сәйкес жаңа мазмұнда жазылсын. 2. Кәсіптік-техникалық және орта білімнен кейінгі білім департаменті (Д.Ж. Қаленова) заңнамада белгіленген тәртіппен: 1) осы бұйрықтың белгіленген тәртіппен Қазақстан Республикасы Әділет министрлігінде мемлекеттік тіркелуін; 2) осы бұйрықтың мемлекеттік тіркелгеннен кейін күнтізбелік он күн ішінде оның көшірмесін мерзімді баспа басылымдарында және «Әділет» ақпараттық-құқықтық жүйесінде ресми жариялауға, сондай-ақ Қазақстан Республикасы нормативтік құқықтық актілерінің Эталондық бақылау банкінде орналастыру үшін «Қазақстан Республикасы Әділет министрлігінің Республикалық құқықтық ақпарат орталығы» шаруашылық жүргізу құқығындағы республикалық мемлекеттік кәсіпорнына жолдауды; 3) осы бұйрықты Қазақстан Республикасы Білім және ғылым министрлігінің интернет-ресурсында орналастыруды қамтамасыз етсін. 4) осы бұйрық Қазақстан Республикасы Әділет министрлігінде мемлекеттік тіркеуден өткеннен кейін он жұмыс күні ішінде Қазақстан Республикасы Білім және ғылым министрлігінің Заң департаментіне осы бұйрықтың 2-тармағының 1) және 2) тармақшаларында көзделген іс-шаралардың орындалуы туралы мәліметтерді ұсынуды қамтамасыз етсін. 3. Осы бұйрықтың орындалуын бақылау Қазақстан Республикасының Білім және ғылым вице-министрі Е.Н. Иманғалиевке жүктелсін. 4. Осы бұйрық алғашқы ресми жарияланған күнінен кейін күнтізбелік он күн өткен соң қолданысқа енгізіледі.

Қазақстан Республикасының Білім және ғылым Министрі                  А. Сәрінжіпов

Қазақстан Республикасы Білім және ғылым Министрінің 2016 жылғы 29 қаңтардағы № 98 бұйрығына қосымша

Қазақстан Республикасы Білім және ғылым Министрінің 2012 жылғы 7 наурыздағы № 97 бұйрығына қосымша

Техникалық және кәсіптік білім беру ұйымдарын жабдық және жиһазбен жабдықтау нормалары

1. Техникалық және кәсіптік білім беру ұйымдарының әкімшілік орын-жайларына арналған жиһаз және жабдықтардың шағын тізбесі


№	|	Атауы	|	Өлшем бірлігі	|	Шағын саны
1	|	2	|	3	|	4
	|	Директордың кабинеті	|		|	
1	|	Үстел	|	дана	|	1
2	|	Кресло	|	дана	|	1
3	|	Орындықтар	|	дана	|	6
4	|	Шкаф	|	дана	|	2
5	|	Телефон/факс	|	дана	|	1
6	|	Жүйелік блок	|	дана	|	1
7	|	Монитор	|	дана	|	1
8	|	Акустикалық жүйе	|	дана	|	1
9	|	Желілік фильтр	|	дана	|	2
10	|	Көпфункциялық құрылғы	|	дана	|	1
	|	Қабылдау бөлмесі	|		|	
11	|	Үстел	|	жиынтық	|	1
12	|	Кресло	|	дана	|	1
13	|	Орындықтар	|	дана	|	2
14	|	Шкаф	|	дана	|	2
15	|	Телефон/факс	|	дана	|	1
16	|	Жүйелік блок	|	дана	|	1
17	|	Монитор	|	дана	|	1
18	|	Желілік фильтр	|	дана	|	2
19	|	Көпфункциялық құрылғы	|	дана	|	1
	|	Әдістемелік кабинет	|		|	
20	|	Үстел	|	дана	|	3
21	|	Орындықтар	|	дана	|	6
22	|	Шкаф	|	дана	|	3
23	|	Жүйелік блок	|	дана	|	1
24	|	Монитор	|	дана	|	1
25	|	Желілік фильтр	|	дана	|	3
26	|	Көпфункциялық құрылғы	|	дана	|	1
27	|	Тақта/интерактивті тақта/маркерлік	|	дана	|	1
28	|	Проектор	|	дана	|	1
29	|	Проекторға арналған бекіткіш	|	дана	|	1
	|	Директор орынбасарының кабинеті	|		|	
30	|	Үстел	|	жиынтық	|	1
31	|	Кресло	|	дана	|	1
32	|	Орындықтар	|	дана	|	4
33	|	Шкаф	|	дана	|	2
34	|	Телефон/факс	|	дана	|	1
35	|	Жүйелік блок	|	дана	|	1
36	|	Монитор	|	дана	|	1
37	|	Акустикалық жүйе	|	дана	|	1
38	|	Желілік фильтр	|	дана	|	2
	|	Педагог-психологтың кабинеті	|		|	
39	|	Үстел	|	жиынтық комплект	|	1
40	|	Кресло	|	дана	|	1
41	|	Орындықтар	|	дана	|	4
42	|	Шкаф	|	дана	|	2
43	|	Телефон	|	дана	|	1
44	|	Жүйелік блок	|	дана	|	1
45	|	Монитор	|	дана	|	1
46	|	Акустикалық жүйе	|	дана	|	1
47	|	Желілік фильтр	|	дана	|	2
48	|	Көпфункциялық құрылғы	|	дана	|	1
	|	Бухгалтерия, кадр бөлімінің кабинеттері	|	
49	|	Үстел	|	жиынтық	|	1
50	|	Кресло	|	дана	|	1
51	|	Орындықтар	|	дана	|	4
52	|	Шкаф	|	дана	|	2
53	|	Телефон/факс	|	дана	|	1
54	|	Жанбайтын сейф	|	дана	|	1
55	|	Жүйелік блок	|	дана	|	1
56	|	Монитор	|	дана	|	1
57	|	Үздіксіз қуат көзі	|	дана	|	1
58	|	Желілік фильтр	|	дана	|	2
59	|	Көпфункциялық құрылғы	|	дана	|	1
	|	Басқа қызметкерлердің кабинеттері	|		|	
60	|	Үстел	|	жиынтық	|	1
61	|	Орындықтар	|	дана	|	3
62	|	Шкаф	|	дана	|	2
63	|	Телефон	|	дана	|	1
64	|	Жүйелік блок	|	дана	|	1
65	|	Монитор	|	дана	|	1
66	|	Желілік фильтр	|	дана	|	2
67	|	Көпфункциялық құрылғы	|	дана	|	1


2. Техникалық және кәсіптік білім беру ұйымдарының оқу залы бар кітапханаларының жиһазы мен жабдықтарының шағын тізбесі


