
1. Қоса беріліп отырған «Мемлекеттік мүлік туралы» Қазақстан Республикасының 2011 жылғы 1 наурыздағы Заңын іске асыру жөніндегі іс-шаралар жоспары (бұдан әрі – Жоспар) бекітілсін. 2. Қазақстан Республикасы Экономикалық даму және сауда министрлiгi жыл сайын 15 ақпанға және 15 тамызға қарай Қазақстан Республикасының Үкiметiне Жоспардың iске асырылу барысы туралы ақпаратты ұсынсын. 3. Осы өкімнің орындалуын бақылау Қазақстан Республикасы Экономикалық даму және сауда министрлігіне жүктелсін.

Премьер-Министр                            К. Мәсімов

Қазақстан Республикасының Премьер-Министрінің 2011 жылғы 5 мамырдағы № 64-ө өкімімен бекітілген

«Мемлекеттік мүлік туралы» Қазақстан Республикасының Заңын іске асыру жөніндегі іс-шаралар жоспары


р/с№	|	Іс-шараның атауы	|	Жауапты орындаушылар	|	Аяқтау нысаны	|	Орындалу мерзімі
1	|	2	|	3	|	4	|	5
1	|	«Мемлекеттік мүлік туралы» Қазақстан РеспубликасыныңЗаңынасәйкес мемлекеттік мүлік мәселелері бойынша Қазақстан Республикасы Экономикалық даму және сауда, Қаржы министрліктерінің ережелеріне өзгерістер енгізу	|	ЭДСМ, Қаржымині	|	Қазақстан Республикасы Үкіметінің қаулысы	|	2011 жылғы 1 шілдеге
2	|	Экономика және бюджеттік жоспарлау, қаржы басқармаларының (бөлімдерінің) ережелеріне оларға өкілеттік беруді көздейтін, оның ішінде шешім қабылдауға мемлекеттік жоспарлау бойынша және мемлекеттік мүлік бойынша орталық уәкілетті органдардың құзыреттеріне ұқсас өзгерістер енгізу	|	Облыстардың, республикалық маңызы бар қалалардың, астананың, аудандардың, облыстық маңызы бар қалалардың жергілікті атқарушы органдары	|	1. Әкімдіктердің қаулылары2. ЭДСМ-ге ақпаратты жинақтау үшін  аудандық, облыстық маңызы бар қалалар әкімдіктерінің облыстар әкімдіктеріне ақпараты3. Облыстар, республикалық маңызы бар қалалар, астана әкімдіктерінің ЭДСМ-ге ақпараты	|	2011 жылғы 20 шілдеге
3	|	Мемлекеттік заңды тұлғалардың құқық субъектілерін, оның ішінде тиісті саладағы уәкілетті органдардың құзыреттеріне ұқсас шешімдерді қабылдауға, акционерлік қоғамдар акцияларының мемлекеттік пакетін және жауапкершілігі шектеулі серіктестіктердегі қатысу үлестерін иелену мен пайдалану құқықтарын жүзеге асыруға олардың өкілеттіктерін беруді көздейтін басқармалардың (бөлімдердің) ережелеріне өзгерістер енгізу	|	Облыстардың, республикалық маңызы бар қалалардың, астананың, аудандардың, облыстық маңызы бар қалалардың жергілікті атқарушы органдары	|	1. Әкімдіктердің қаулылары2. ЭДСМ-ге ақпаратты жинақтау үшін аудандық, облыстық маңызы бар қалалар әкімдіктерінің облыстар әкімдіктеріне ақпараты3. Облыстар, республикалық маңызы бар қалалар, астана әкімдіктерінің ЭДСМ-ге ақпараты	|	2011 жылғы 20 шілдеге
4	|	Облыстық коммуналдық меншікті облыстыққа және аудандыққа бөлу жөніндегі жұмыс тобын құру	|	Облыстардың, аудандардың, облыстық маңызы бар қалалардың жергілікті атқарушы органдары	|	1. Облыстық әкімдіктердің қаулылары2. Облыстық әкімдіктердің ЭДСМ-ге ақпараты	|	2011 жылғы 1 маусымға
5	|	Облыстық деңгейден аудандық деңгейге берілуі тиіс коммуналдық мүліктің тізбесін аумақтық тиесілікті есепке ала отырып құру	|	Облыстардың, аудандардың, облыстық маңызы бар қалалардың жергілікті атқарушы органдары	|	1. Облыстық әкімдіктердің қаулылары2. Облыстық әкімдіктердің ЭДСМ-ге ақпараты	|	2011 жылғы 1 қыркүйекке
6	|	Коммуналдық мүлікті, мүліктік құқықтарды және міндеттерді аудандық коммуналдық меншікке беруді осы жоспардың 5-тармағында көрсетілген Тізбеге сәйкес қамтамасыз ету	|	Облыстардың, аудандардың, облыстық маңызы бар қалалардың жергілікті атқарушы органдары	|	1. Облыстық әкімдіктердің қаулылары2. Облыстық әкімдіктердің ЭДСМ-ге ақпараты3. Талап құқықтарын беру шарттары (цессиялар) (коммуналдық меншіктің тиісті міндеттемелерімен ауыртпалық салынғанға)	|	2011 жылғы 1 қазанға
7	|	Облыстық коммуналдық мүлікті аудандық деңгейге беру бойынша беру актілерін бекіту	|	Облыстардың, аудандардың, облыстық маңызы бар қалалардың жергілікті атқарушы органдары	|	1. Облыстардың, аудандардың, облыстық маңызы бар қалалардың жергілікті атқарушы органдарының басшылары бекіткен беру актілері2. Облыстық әкімдіктердің ЭДСМ-ге ақпараты	|	2011 жылғы 1 қарашаға
8	|	Облыстық коммуналдық мүліктен берілген мүліктерді аудандық коммуналдық заңды тұлғалардың теңгеріміне қою	|	Аудандардың, облыстық маңызы бар қалалардың жергілікті атқарушы органдары	|	Жеке меншік құқығын тіркеу	|	2011 жылғы 1 желтоқсанға
9	|	Облыстық коммуналдық мүліктен берілген аудандық мемлекеттік заңды тұлғалардың жарғыларына өзгерістер мен толықтырулар енгізу	|	Аудандардың, облыстық маңызы бар қалалардың жергілікті атқарушы органдары	|	Жарғыны тіркеу	|	2012 жылғы 1 қаңтарға
