
Қазақстан Республикасының Үкіметі ҚАУЛЫ ЕТЕДІ: «Мемлекеттік саяси қызметшілердің жұмысын бағалауды жүргізетін уәкілетті адамдардың тізбесін бекіту туралы» Қазақстан Республикасының Президенті Жарлығының жобасы Қазақстан Республикасы Президентінің қарауына енгізілсін.

Қазақстан Республикасы Премьер-Министрі                      К. Мәсімов

Мемлекеттік саяси қызметшілердің жұмысын бағалауды жүргізетін уәкілетті адамдардың тізбесін бекіту туралы

«Қазақстан Республикасының мемлекеттік қызметі туралы» 2015 жылғы 23 қарашадағы Қазақстан Республикасының Заңы 33-бабының 2-тармағына сәйкес ҚАУЛЫ ЕТЕМІН: 1. Қоса беріліп отырған мемлекеттік саяси қызметшілердің жұмысын бағалауды жүргізетін уәкілетті адамдардың тізбесі бекітілсін. 2. Осы Жарлық ресми жарияланған күнінен бастап қолданысқа енгізіледі.

Қазақстан Республикасының Президенті                            Н.Назарбаев

Қазақстан Республикасы Президентінің 2016 жылғы № Жарлығымен БЕКІТІЛГЕН

Мемлекеттік саяси қызметшілердің жұмысын бағалауды жүргізетін уәкілетті адамдардың тізбесі


Мемлекеттік саяси қызметшілер лауазымдары	|	Бағалауды жүргізетін уәкілетті адам
1	|	2
Қазақстан Республикасы Конституциялық Кеңесінің Төрағасы және мүшелері	|	Жұмысы бағаланбайды
Қазақстан Республикасы Орталық сайлау комиссиясының Төрағасы, Төрағаның орынбасары, хатшысы мен мүшелері	|	Жұмысы бағаланбайды
Қазақстан Республикасының Премьер-Министрі	|	Қазақстан Республикасының Президенті
Қазақстан Республикасының Мемлекеттік хатшысы	|	Қазақстан Республикасының Президенті
Қазақстан Республикасы Президенті Әкімшілігінің Басшысы	|	Қазақстан Республикасының Президенті
Қазақстан Республикасы Ұлттық Банкінің Төрағасы	|	Қазақстан Республикасының Президенті
Қазақстан Республикасы Президентінің көмекшісі - Қауіпсіздік Кеңесінің хатшысы	|	Қазақстан Республикасының Президенті
Қазақстан Республикасы Жоғарғы Соты Кеңесінің Төрағасы	|	Қазақстан Республикасының Президенті
Қазақстан Республикасының Бас Прокуроры	|	Қазақстан Республикасының Президенті
Қазақстан Республикасы Ұлттық қауіпсіздік комитетінің Төрағасы	|	Қазақстан Республикасының Президенті
Қазақстан Республикасының Сыртқы істер министрі	|	Қазақстан Республикасының Президенті
Қазақстан Республикасының Қорғаныс министрі	|	Қазақстан Республикасының Президенті
Қазақстан Республикасының Төтенше және Өкілетті елшілері	|	Қазақстан Республикасының Президенті
Халықаралық ұйымдар жанындағы Қазақстан Республикасының Тұрақты өкілдері	|	Қазақстан Республикасының Президенті
Халықаралық ұйымдар жанындағы Қазақстан Республикасының Өкілетті өкілдері	|	Қазақстан Республикасының Президенті
Қазақстан Республикасы Президентінің көмекшілері	|	Қазақстан Республикасының Президенті
Қазақстан Республикасы Президентінің кеңесшілері	|	Қазақстан Республикасының Президенті
Қазақстан Республикасы Премьер-Министрінің бірінші орынбасары мен орынбасарлары	|	Қазақстан Республикасының Президенті не оның тапсырмасы бойынша Қазақстан Республикасының Премьер-Министрі
Тікелей Қазақстан Республикасының Президенті бағалайтын адамдарды қоспағанда, Қазақстан Республикасының Президенті тағайындайтын орталық және жергілікті атқарушы органдардың мемлекеттік саяси қызметшілері	|	Қазақстан Республикасының Президенті не оның тапсырмасы бойынша Қазақстан Республикасының Премьер-Министрі
Тікелей Қазақстан Республикасының Президенті бағалайтын адамдарды қоспағанда, Қазақстан Республикасының Президенті тағайындайтын Қазақстан Республикасының Президентіне тікелей бағынатын және есеп беретін мемлекеттік органдардың мемлекеттік саяси қызметшілері	|	Қазақстан Республикасының Президенті не оның тапсырмасы бойынша Қазақстан Республикасы Президенті Әкімшілігінің Басшысы
Адам құқықтары жөніндегі уәкіл	|	Қазақстан Республикасының Президенті не оның тапсырмасы бойынша Қазақстан Республикасы Президенті Әкімшілігінің Басшысы
Қазақстан Республикасы Президентінің арнаулы өкілдері	|	Қазақстан Республикасының Президенті не оның тапсырмасы бойынша Қазақстан Республикасы Президенті Әкімшілігінің Басшысы
Қазақстан Республикасы Президенті Архивінің директоры Қазақстан Республикасы Тұңғыш Президенті Музейінің директоры Қазақстан Республикасының Тұңғыш Президенті — Елбасы кітапханасының директоры «Қоғамдық келісім» республикалық мемлекеттік мекемесінің директоры	|	Қазақстан Республикасының Президенті не оның тапсырмасы бойынша Қазақстан Республикасы Президенті Әкімшілігінің Басшысы
Қазақстан Республикасының Үкіметі және Қазақстан Республикасының Премьер-Министрі тағайындайтын мемлекеттік саяси қызметшілер	|	Қазақстан Республикасының Премьер-Министрі
Қазақстан Республикасының Президенті тағайындайтын министрдің бірінші орынбасарлары мен орынбасарларын қоспағанда, Қазақстан Республикасы министрлерінің бірінші орынбасарлары мен орынбасарлары (вице-министрлер)	|	Қазақстан Республикасының Премьер-Министрі тиісті Қазақстан Республикасы министрінің ұсынысы бойынша
Қазақстан Республикасы Парламентінің палаталары тағайындайтын Республикалық бюджеттің атқарылуын бақылау жөніндегі есеп комитетінің мүшелері	|	Қазақстан Республикасы Президенті Әкімшілігінің Басшысы
Қазақстан Республикасы Президентінің Іс басқармасы Медицина орталығының басшысы және оның орынбасарлары	|	Қазақстан Республикасы Президенті Әкімшілігінің Басшысы
Қазақстан Республикасы Президентінің Архиві директорының орынбасарлары Қазақстан Республикасы Тұңғыш Президентінің Музейі директорының орынбасарлары Қазақстан Республикасының Тұңғыш Президенті - Елбасы кітапханасының атқарушы директоры, директорының орынбасарлары	|	Қазақстан Республикасы Президенті Әкімшілігінің Басшысы
Қазақстан Республикасы Президенті Әкімшілігінің бөлім меңгерушілерінің және өзге де құрылымдық бөлімшелері басшыларының бірінші орынбасарлары мен орынбасарлары	|	Қазақстан Республикасы Президенті Әкімшілігінің Басшысы
Қазақстан Республикасы Президенті Әкімшілігі құрылымдық бөлімшелерінің мемлекеттік инспекторлары	|	Қазақстан Республикасы Президенті Әкімшілігінің Басшысы
Облыстар, астана және республикалық маңызы бар қала әкімдерінің бірінші орынбасарлары мен орынбасарлары	|	Облыстардың, астананың және республикалық маңызы бар қаланың әкімдері
Облыстардың әкімшілік орталығы болып табылатын қалалардың әкімдері	|	Облыстардың әкімдері
Қазақстан Республикасы Парламентінің Сенаты аппаратының басшысы	|	Қазақстан Республикасы Парламенті Сенатының Төрағасы
Қазақстан Республикасы Парламентінің Мәжілісі аппаратының басшысы	|	Қазақстан Республикасы Парламенті Мәжілісінің Төрағасы
Қазақстан Республикасы Парламентінің Сенаты аппараты басшысының орынбасарлары	|	Қазақстан Республикасы Парламенті Сенатының Төрағасы Қазақстан Республикасы Парламентінің Сенаты аппараты басшысының ұсынысы бойынша
Қазақстан Республикасы Парламентінің Мәжілісі аппараты басшысының орынбасарлары	|	Қазақстан Республикасы Парламенті Мәжілісінің Төрағасы Қазақстан Республикасы Парламентінің Мәжілісі аппараты басшысының ұсынысы бойынша


