
1. Қоса беріліп отырған «Мерейлі отбасы» ұлттық конкурсын өткізу жөнінде 2012 жылға арналған іс-шаралар жоспары (бұдан әрі – Іс-шаралар жоспары) бекітілсін. 2. Орталық, жергілікті атқарушы органдар және өзге ұйымдар (келісім бойынша): 1) Іс-шаралар жоспарының тиісінше және уақтылы орындалуын қамтамасыз етсін; 2) Қазақстан Республикасы Мәдениет және ақпарат министрлігіне тоқсан сайын, есепті тоқсаннан кейінгі айдың 5-күніне Іс-шаралар жоспарының орындалу барысы туралы есептік ақпарат берсін. 3. Қазақстан Республикасы Мәдениет және ақпарат министрлігі Қазақстан Республикасының Үкіметіне тоқсан сайын, есепті тоқсаннан кейінгі айдың 10-күніне Іс-шаралар жоспарының орындалу барысы туралы жиынтық ақпарат берсін. 4. Осы өкімнің орындалуын бақылау Қазақстан Республикасы Мәдениет және ақпарат министрлігіне жүктелсін.

Премьер-Министр                                 К. Мәсімов

Қазақстан Республикасы Премьер-Министрінің 2012 жылғы 3 тамыздағы № 142-ө өкімімен бекітілген

«Мерейлі отбасы» ұлттық конкурсын өткізу жөнінде 2012 жылға арналған іс-шаралар жоспары


№	|	Іс-шаралар	|	Орындау мерзімі	|	Орындауға жауаптылар	|	Қаржыландыру көлемі (мың теңге)	|	Қаржыландыру көзі
1	|	2	|	3	|	4	|	5	|	6
1	|	«Мерейлі отбасы» ұлттық конкурсын өткізу ережесін, «Мерейлі отбасы» ұлттық конкурсының лауреаты атағын тағайындау комиссиясы туралы ереже мен оның құрамын әзірлеу	|	тамыз	|	МАМ	|	Талап етілмейді	|	-
2	|	Құлақтандыру видеороликтерін шығаруды және трансляциялауды, республикалық және өңірлік бұқаралық ақпарат құралдарында, ақпараттық агенттіктерде «Мерейлі отбасы» ұлттық конкурсын өткізуді бастау туралы хабарламаны орналастыруды қамтамасыз ету	|	тамыз	|	МАМ, «Хабар» агенттігі» АҚ (келісім бойынша), «Қазақпарат» (келісім бойынша), «Қазконтент» АҚ (Bnews) (келісім бойынша), облыстардың, Астана және Алматы қалаларының әкімдері	|	Мемлекеттік ақпараттық тапсырма шеңберінде	|	Республикалық және жергілікті бюджеттер
3	|	«Мерейлі отбасы» ұлттық конкурсына қатысу үшін тиісті құжаттар пакетін жинау бойынша жұмысты ұйымдастыру	|	тамыз	|	ӘІОДСҰК (келісім бойынша), облыстардың, Астана және Алматы қалаларының әкімдері	|	Талап етілмейді	|	-
4	|	«Мерейлі отбасы» атағын алуға үміткерлердің тізімін қалыптастыру:1) аудандық деңгейде;2) облыстық деңгейде	|	5 тамызға дейін 10 тамызға дейін	|	облыстардың, Астана және Алматы қалаларының әкімдері	|	Талап етілмейді	|	-
5	|	«Мерейлі отбасы» атағын республикалық деңгейде алуға үміткерлердің тізімін қалыптастыру және «Ел арна» телеарнасына телекүнделіктер шығару үшін ұсыну	|	15 тамызға дейін	|	ӘІОДСҰК (келісім бойынша)	|	Талап етілмейді	|	-
6	|	Телекүнделіктерді уақтылы шығаруды қамтамасыз ету	|	тамыз-қыркүйек	|	МАМ, «Хабар» агенттігі» АҚ (келісім бойынша)	|	Мемлекеттік ақпараттық тапсырма шеңберінде	|	Республикалық бюджет
7	|	www.ncgp.kz сайтында кейіннен интерактивті дауыс беру үшін аталған сайтты үміткер-отбасылар туралы материалдармен толықтыруды қамтамасыз ету	|	тамыз-желтоқсан	|	МАМ, ӘІОДСҰК (келісім бойынша)	|	Талап етілмейді	|	-
8	|	Жетекші республикалық телеарналар эфирінде еліміздің әрбір өңірінен бір отбасы туралы телекүнделіктер шығаруды, шығарылымын және ротациясын қамтамасыз ету	|	қыркүйек-қараша	|	МАМ, «Хабар» агенттігі» АҚ (келісім бойынша)	|	Мемлекеттік ақпараттық тапсырма шеңберінде	|	Республикалық бюджет
9	|	«Мерейлі отбасы» ұлттық конкурсын www.ncgp.kz, www.elarna.kz, www.khabar.kz сайтында трансляциялау кезінде интерактивті дауыс беруді қамтамасыз ету	|	қыркүйек- желтоқсан	|	ӘІОДСҰК (келісім бойынша), МАМ	|	Талап етілмейді	|	-
10	|	«Мерейлі отбасы» ұлттық конкурсын трансляциялау кезінде көп арналы телефон бөле отырып, телефонмен интерактивті дауыс беруді қамтамасыз ету	|	қыркүйек- желтоқсан	|	ККМ, «Қазақтелеком» АҚ (келісім бойынша)	|	Бюджеттен тыс қаржылар	|	-
11	|	«Мерейлі отбасы» ұлттық конкурсын даярлау және өткізу барысы туралы ақпараттық-жаңалықтар жарияланымдар аясында сюжеттерді шығаруды қамтамасыз ету	|	қыркүйек- желтоқсан	|	МАМ	|	Мемлекеттік ақпараттық тапсырма шеңберінде	|	Республикалық бюджет
