
1. Қоса берiлiп отырған "Мәдениет туралы" Қазақстан Республикасының 2006 жылғы 15 желтоқсандағы Заңын iске асыру мақсатында қабылдануы қажет нормативтiк құқықтық актiлердiң тiзбесi (бұдан әрi - тiзбе) бекiтiлсiн. 2. Қазақстан Республикасының Мәдениет және ақпарат министрлiгi: 1) тiзбеге сәйкес нормативтiк құқықтық актiлердiң жобаларын әзiрлесiн және белгiленген тәртiппен Қазақстан Республикасының Президентiне, Қазақстан Республикасының Үкiметіне бекiтуге енгiзсiн; 2) тиiстi ведомстволық нормативтік құқықтық актiлердi қабылдасын және қабылданған шаралар туралы Қазақстан Республикасының Yкiметiн хабардар етсiн.

Премьер-Министр

Қазақстан Республикасы Премьер-Министрiнiң 2007 жылғы 28 ақпандағы N 37-ө өкiмiмен бекiтiлген

Ескерту. Тізбеге өзгерту енгізілді - ҚР Премьер-Министрінің 2007.08.07. N 213-ө өкімімен.

РҚАО-ның ескертпесі! Тізбеге өзгерту енгізу көзделген - ҚР Премьер-Министрінің 2010.07.21 № 104-ө Өкімімен (жариялануға жатпайды).

"Мәдениет туралы" Қазақстан Республикасының 2006 жылғы 15 желтоқсандағы Заңын iске асыру мақсатында қабылдануы қажет нормативтiк құқықтық актiлердiң тiзбесi


Р/с N	|	Нормативтiк құқықтықактiнiң атауы	|	Актiнiң нысаны	|	Орындауғажауаптымемлекеттiкорган	|	Орындау мерзiмi
1	|	2	|	3	|	4	|	5
1.	|	Мемлекеттiк мәдениетұйымдарына, жекелегенкөркем, шығармашылықұжымдарға "Ұлттық"мәртебесiн беруережесiн бекiту туралы	|	ҚазақстанРеспубликасыПрезидентi-нiң Жарлығы	|	Мәдениетминi	|	2007 жылғыжелтоқсан
2.	|	Мемлекеттiк мәдениетұйымдарына, жекелегенкәсiби көркем жәнешығармашылық ұжымдарға"Академиялық" мәртебесiн беруережесiн бекiту туралы	|	ҚазақстанРеспубликасыҮкiметiнiңқаулысы	|	Мәдениетминi	|	2007 жылғыжелтоқсан
3.	|	Мәдениет саласындағымемлекеттiк мекемелердiң ақылықызметтер көрсетуережесiн бекiту туралы	|	ҚазақстанРеспубликасыҮкiметiнiңқаулысы	|	Мәдениетминi(жинақтау),ЭБЖМ	|	2007 жылғыақпан
4.	|	Ұлттық-мәдени игiлiкобъектiлерiнiңмемлекеттiк тiзiлiмiнжүргiзу ережесiнбекiту туралы	|	ҚазақстанРеспубликасыҮкiметiнiңқаулысы	|	Мәдениетминi	|	2007 жылғыақпан
5.	|	Мәдени құндылықтардыәкетуге және әкелугерұқсаттар беру ережесiнбекiту туралы	|	ҚазақстанРеспубликасыҮкiметiнiңқаулысы	|	Мәдениетминi	|	2007 жылғыақпан
6.	|	Тарихи-мәдени жәнетабиғи қорықтардың,қорық-мұражайлардыңмәртебесiн айқындауережесiн бекiту туралы	|	ҚазақстанРеспубликасыҮкiметiнiңқаулысы	|	Мәдениетминi	|	2007 жылғыжелтоқсан
7.	|	Театр, концерттiк жәнемәдени-демалысiс-шараларының халықүшiн қол жетiмдiлiгiнқамтамасыз ету жөнiн-дегi қызметтердi ұсынуға, классикалық,халықтық, музыкалықжәне хореографиялықөнердi насихаттауғабайланысты шығындардыжабуға бюджеттiксубсидиялар бөлуережесiн бекiту туралы	|	ҚазақстанРеспубликасыҮкiметiнiңқаулысы	|	Мәдениетминi(жинақтау),ЭБЖМ	|	2007 жылғыжелтоқсан
8.	|	Тарихи-мәдениқұндылықтардыңсақталуын, есепкеалынуын, жинақталуынжәне реставрациялануынқамтамасыз етугебайланысты шығындардыжабуға бюджеттiксубсидиялар бөлуережесiн бекiту туралы	|	ҚазақстанРеспубликасыҮкiметiнiңқаулысы	|	Мәдениетминi(жинақтау),ЭБЖМ	|	2007 жылғыжелтоқсан
9.	|	Мемлекеттiк кiтапхана-лардың, мұражайлар менмұражай-қорықтардыңнегiзгi қызметiнеқатысы жоқ тауарларды(жұмыстарды, қызмет-тердi) сатудан қаражат-тың түсуi мен оныпайдалану ережесiнбекiту туралы	|	ҚазақстанРеспубликасыҮкiметiнiңқаулысы	|	Мәдениетминi(жинақтау),ЭБЖМ	|	2007 жылғыақпан
10.	|	Қазақстан Республикасы-нан әкетiлетiн жәнеоған әкелiнетiн мәдениқұндылықтарға сараптамажүргiзу ережесiнбекiту туралы	|	ҚазақстанРеспубликасыҮкiметiнiңқаулысы	|	Мәдениетминi	|	2007 жылғыақпан
11.	|	Мәдениет саласындамемлекеттiк стипендия-лар беру ережесiнбекiту туралы	|	ҚазақстанРеспубликасыҮкiметiнiңқаулысы	|	Мәдениетминi	|	2007 жылғыақпан
12.	|	Көтермелеудiң салалықжүйесiн бекiту туралы	|	Бұйрық	|	Мәдениетминi	|	2007 жылғыақпан
13.	|	Мемлекеттiк мәдениетұйымдары қызметкерлерi-нiң санаттарына үлгiбiлiктiлiк талаптарынбекiту туралы	|	Бұйрық	|	Мәдениетминi	|	2007 жылғыақпан
14.	|	Мемлекеттiк мәдениетұйымдары қызметкерлерiнаттестаттау ережесiнбекiту туралы	|	Бұйрық	|	Мәдениетминi	|	2007 жылғыақпан
15.	|	Шығармашы қызметкердiңмәртебесiн растайтынсертификат беруережесiн бекiту туралы	|	Бұйрық	|	Мәдениетминi	|	2007 жылғыақпан
16.	|	Мүгедектерге немесеегде жастағы адамдарғаарналған сырттай жәнестационардан тыс қызметету нысандары арқылыкiтапхана қорларынақол жеткiзу ережесiнбекiту туралы	|	Бұйрық	|	Мәдениетминi	|	2007 жылғыақпан
17.	|	Қазақстан Республикасы-ның мұражай қорынқалыптастыру және ұстауережесiн бекiту туралы	|	Бұйрық	|	Мәдениетминi	|	2007 жылғыақпан
18.	|	Мұражайдың сақтауқоймасындағы мұражайжәдiгерлерi мен мұражайколлекцияларына қолжеткiзу ережесiнбекiту туралы	|	Бұйрық	|	Мәдениетминi	|	2007 жылғыақпан
19.	|	Көркем-сараптамалықкеңестер туралыереженi бекiту туралы	|	Бұйрық	|	Мәдениетминi	|	2007 жылғыақпан
