
РҚАО-ның ескертпесі. Құжаттың мәтінінде түпнұсқаның пунктуациясы мен орфографиясы сақталған.

«Автомобиль жолдары туралы» Қазақстан Республикасының 2001 жылғы 17 шілдедегі Заңына сәйкес, облыс әкімдігі ҚАУЛЫ ЕТЕДІ: 1. «Облыстық маңызы бар жалпы қолданыстағы автомобиль жолдарының тізбесін бекіту туралы» Ақмола облысы әкімдігінің 2010 жылғы 22 желтоқсандағы № А-12/499 қаулысына (Нормативтік құқықтық актілерді мемлекеттік тіркеу тізбесінде № 3382 болып тіркелген, «Арқа ажары» және «Акмолинская правда» газеттерінде 2011 жылғы 29 қаңтарда басылып шығарылған) келесі өзгеріс енгізілсін: көрсетілген қаулымен бекітілген облыстық маңызы бар жалпы қолданыстағы автомобиль жолдарының тізбесі осы қаулының қосымшасына сәйкес жаңа редакцияда өзгертілсін. 2. Осы қаулының орындауын бақылау облыс әкімінің орынбасары Д.Н.Нұрмолдинға жүктелсін. 3. Осы қаулы Ақмола облысының Әділет департаментінде мемлекеттік тіркелген күнінен бастап күшіне енеді және ресми басылып шыққан сәттен бастап қолданылады.

Облыс әкімі                                С.Кулагин

«КЕЛІСІЛДІ»

Қазақстан Республикасы Инвестициялар және даму министрлігі Автомобиль жолдары комитетінің төрағасы               М.Пшембаев 2015 жылғы 13 07

Ақмола облысы әкімдігінің 2015 жылғы 13 шілдедегі № А-7/333 қаулысына қосымша

Ақмола облысы әкімдігінің 2010 жылғы 22 желтоқсандағы № А-12/499 қаулымен бекітілген

Облыстық маңызы бар жалпы қолданыстағы автомобиль жолдарының тізбесі


№	|	Жолдың индексі	|	Автожолдың атауы	|	Жалпы ұзындығы, километр
1	|	2	|	3	|	4
1	|	KC-1	|	Жалтыр-Макинск	|	122,6
2	|	KC-2	|	Ерейментау - Павловка-Аршалы	|	120,5
3	|	KC-3	|	«Екатеринбург-Алматы» - Вячеславский гидротүйні Михайловка ауылы	|	14
4	|	KC-4	|	Жолымбет – Шортанды - Пригородное	|	116,4
5	|	KC-5	|	Қабанбай – Жаңғызқұдық - Оразақ	|	78,6
6	|	KC-6	|	Новочеркасское-Жантеке	|	119,2
7	|	KC-7	|	Атбасар - Сочинское	|	97,1
8	|	KC-8	|	Новый Колутон – Журавлевка – Ақкөл - Минский	|	200,3
9	|	KC-9	|	Азат - Степногорск	|	41
10	|	KC-10	|	Петровка - Острогорка- Мариновка	|	108
11	|	KC-11	|	Балкашино-Шаңтөбе	|	56
12	|	KC-12	|	Атбасар - Қима- «Жақсы-Державинск»	|	80
13	|	KC-13	|	Петровка-Қара-Адыр	|	25
14	|	KC-14	|	«Көкшетау – Атбасар» - Веселое ауылы	|	24
15	|	KC-15	|	Бабатай - Волгодоновка- Береке- Нововладимировка	|	40
16	|	KC-16	|	Қорғалжын-Сабынды-Арықты	|	78
17	|	KC-17	|	Егіндікөл - Жолан	|	61,3
18	|	KC-18	|	Державинск - Құмсуат	|	58,2
19	|	KC-19	|	Жақсы-Державинск	|	140
20	|	KC-20	|	Еленовка - Чистополье - Есіл 0-17, 211-249	|	55
21	|	KC-21	|	Бұзылық - Алматинский	|	57
22	|	KC-22	|	Қима - Терісаққан	|	49,2
23	|	KC-23	|	Атбасар қаласына № 2 кіреберіс жолы	|	4
24	|	KC-24	|	Аршалы ауылына кіреберіс жолы	|	1
25	|	KC-25	|	Зеленый Мыс - Қызыл Кордон	|	10
26	|	KC-26	|	«Щучинск - Боровое» - Наурызбай Батыр - облыс шекарасы	|	33
27	|	KC-27	|	«Щучинск-Зеренда» - Веденовка	|	32
28	|	KC-28	|	Шабақты көлін солтүстік айналып жүретін жолы	|	22
29	|	KC-29	|	Көкшетау - Қызыл Жар - Симферопольский - Жолдыбай	|	29,1
30	|	KC-30	|	Степняк-Макинск	|	14,8
31	|	KC-31	|	«Астана қаласы шығыстан айналып жүретін жолы»- Сарыоба станциясы	|	41
32	|	KC-32	|	Атбасар - Шуйское-Макеевка	|	36
33	|	KC-33	|	«Новочеркаское - Егіндікөл» - Қайнар	|	52
34	|	KC-34	|	Ақкөл қаласына кіреберіс жолы	|	1,2
35	|	KC-35	|	Кіші Барап - Кордон	|	14
36	|	KC-36	|	«Ақкөл-Азат» - Қайнар	|	11
37	|	KC-37	|	Ақсу-Бестөбе-Изобильное	|	86,1
38	|	KC-38	|	Уәлиханов-Қойтас	|	54
39	|	KC-39	|	Зеренді-Қызыл Кордон - облыс шекарасы (5,1-41,3)	|	36,2
40	|	KC-40	|	«Көкшетау-Рузаевка» - Васильковка- «Көкшетау-Петропавловск»	|	29
41	|	KC-41	|	Қонысбай – Сейфуллин - Қызылсая	|	29,9
42	|	KC-42	|	Васильковка - Бірлестік	|	15
43	|	KC-43	|	Ақылбай ауылы - Қызылағаш	|	18,0
44	|	KC-44	|	Щучинск - Степняк - Уәлиханов	|	124,5
45	|	КС-45	|	Қорғалжын ауылына кіреберіс жолы	|	7
46	|	КС-46	|	Павловка - Қаратал	|	53,6
47	|	КС-47	|	«Ақкөл-Азат» - Новорыбинка	|	25,1
48	|	КС-48	|	Ерейментау қаласына кіреберіс жолы	|	3
49	|	КС-49	|	Ақмол-Воздвиженка-Талапкер	|	23
50	|	КС-50	|	Есіл-Свободное-Раздольное	|	34
51	|	КС-51	|	Красивое - Ярославка - Раздольное	|	26,6
52	|	КС-52	|	«Жезқазған-Петропавловск» - Донское-Костычево	|	32
53	|	КС-53	|	«Көкшетау-Петропавловск»- Алексеевка-облыс шекарасы	|	21,5
54	|	КС-54	|	Көкшетау қаласына кіреберіс жолы (289-293)	|	4
БАРЛЫҒЫ:	|	2665


