"Құқықтық актілер туралы" Қазақстан Республикасының 2016 жылғы 6 сәуірдегі Заңының 26-бабына сәйкес Қызылорда қаласының әкiмдiгi ҚАУЛЫ ЕТЕДI:

1. "Сайлау алдындағы барлық кандидаттар үшін үгіттік баспа материалдарын орналастыру үшін орындар белгілеу туралы" Қызылорда қаласы әкімдігінің 2015 жылғы 23 ақпандағы № 2909 қаулысына (нормативтік құқықтық актілерді мемлекеттік тіркеу Тізілімінде №4895 тіркелген, "Ақмешіт апталығы" газетінде 2015 жылғы 4 наурызда №17, 2015 жылғы 7 наурызда №18, "Кызылорда таймс" газетінде 2015 жылғы 11 наурызда №9, "Әділет" ақпараттық-құқықтық жүйесінде 2015 жылғы 11 наурызда жарияланған) келесі өзгеріс енгізілсін:

аталған қаулының қосымшасы осы қаулының қосымшасына сәйкес жаңа редакцияда жазылсын.

2. Осы қаулының орындалуын бақылау жетекшiлiк ететiн Қызылорда қаласы әкiмiнiң орынбасарына жүктелсiн.

3. Осы қаулы алғашқы ресми жарияланған күнінен бастап қолданысқа енгізіледі.


Қызылорда қаласының әкімі	|	Н. Нәлібаев

"КЕЛIСIЛДI"Қалалық сайлаукомиссиясының төрағасы



	|	Қызылорда қаласы әкiмдiгiнiң 2019 жылғы "2" мамырдағы №13154 қаулысына қосымша
	|	Қызылорда қаласы әкiмдiгiнiң 2015 жылғы 23 ақпандағы №2909 қаулысына қосымша

Сайлау алдындағы барлық кандидаттар үшiн үгiттiк баспа материалдарын орналастыру үшiн орындар

№	|	Елдi мекеннiң атауы	|	Орналасқан жерi
1	|	Қызылорда қаласы	|	Қорқыт Ата және Ыбырай Жақаев көшелерiнiң қиылысы, солтүстiк-батыс жағындағы стенд
2	|	Қызылорда қаласы	|	Асқар Тоқмағамбетов және Мұхтар Әуезов көшелерiнiң қиылысы, солтүстiк-шығыс жағындағы стенд
3	|	Қызылорда қаласы	|	Еркiн Әуелбеков көшесiнiң бойындағы "ҚТЖ-Жүк тасымалы" акционерлiк қоғамының "ГП Қызылорда бөлiмшесi" филиалының ғимаратына қарсы бетiндегi стенд
4	|	Қызылорда қаласы	|	Әлихан Бөкейхан және Жеңiс көшелерiнiң қиылысы, оңтүстiк-шығыс жағындағы стенд
5	|	Қызылорда қаласы	|	Нұрсұлтан Назарбаев даңғылы және Астана көшесiнiң қиылысы, солтүстiк-батыс жағындағы стенд
6	|	Қызылорда қаласы	|	Төле би және Мұстафа Шоқай көшелерiнiң қиылысы, солтүстiк-батыс жағындағы стенд
7	|	Қызылорда қаласы	|	Қорқыт ата және Қожа Ахмет Яссауи көшелерiнiң қиылысы, солтүстiк-батыс жағындағы стенд
8	|	Қызылорда қаласы	|	Иван Журба көшесiндегі "Сырдария" сауда орталығының қарсы бетiндегi стенд
9	|	Қызылорда қаласы	|	Иса Тоқтыбаев және Әйтеке би көшелерiнiң қиылысы, оңтүстiк-батыс жағындағы стенд
10	|	Қызылорда қаласы	|	"Қызылорда қалалық білім бөлімінің Әбу Құдабаев атындағы №197 қазақ орта мектебi" коммуналдық мемлекеттік мекемесінің солтүстiк-шығыс жағындағы стенд, Достық көшесi №38
11	|	Қызылорда қаласы	|	Жетікөл көшесі, №29 тұрғын үйдің солтүстiк-батыс жағындағы стенд
12	|	Қызылорда қаласы	|	Айтмұрат Шәменов көшесінің оңтүстік-батыс жағындағы стенд ("Нұр Ару" шағын маркетінің жаны)
13	|	Қызылорда қаласы	|	Текей батыр көшесі, "Нұр Орда" тұрғын ауданының солтүстік-шығыс жағындағы стенд
14	|	Қызылорда қаласы	|	Жаппасбай батыр көшесінің солтүстік-батыс жағындағы стенд, көппәтерлі тұрғын үйлердің жаны
15	|	Қызылорда қаласы	|	Сырдария өзенінің сол жақ бөлігі жағалауындағы "Рухани жаңғыру" орталығының жаны, оңтүстік-батыс жағындағы стенд
16	|	Қызылорда қаласы	|	"Бәйтерек" тұрғын ауданындағы №43 көшесінің оңтүстік-батыс жағындағы стенді
17	|	Тасбөгет кентi	|	Шахмардан Есенов көшесiнің оңтүстiк-шығыс жағындағы стенд, Тасбөгет кенті әкімі аппаратының "Сәбира Майқанова атындағы мәдениет Үйi" мемлекеттік коммуналдық қазыналық кәсіпорнына қарсы аялдаманың жаны
18	|	Тасбөгет кентi	|	Орталық алаңның оңтүстiк-шығыс жағындағы стенд
19	|	Белкөл кентi	|	Орталық алаңның оңтүстiк-батыс жағындағы стенд
20	|	Қызылжарма ауылдық округiнiң Қызылжарма ауылы	|	Орталық алаңның оңтүстiк-шығыс жағындағы стенд
21	|	Қызылөзек ауылдық округiнiң Айнакөл ауылы	|	Орталық алаңның оңтүстiк-батыс жағындағы стенд
22	|	Ақсуат ауылдық округiнiң Жақыпбек Махамбетов ауылы	|	Орталық алаңның оңтүстiк-шығыс жағындағы стенд
23	|	Ақжарма ауылдық округiнiң Талдыарал ауылы	|	Орталық алаңның оңтүстiк-шығыс жағындағы стенд
24	|	Қарауылтөбе ауылдық округiнiң Қарауылтөбе ауылы	|	Орталық алаңның солтүстiк-батыс жағындағы стенд
25	|	Талсуат ауылдық округiнiң Талсуат ауылы	|	Орталық алаңның оңтүстiк-батыс жағындағы стенд
26	|	Қосшыңырау ауылдық округiнiң Абай ауылы	|	Орталық алаңның оңтүстiк-шығыс жағындағы стенд



