ШЕШТІМ:

1. "Сайлау учаскелерін құру туралы" Жаңақорған ауданы әкімінің 2019 жылғы 19 қарашадағы № 1 шешіміне (Нормативтік құқықтық актілерді мемлекеттік тіркеу тізілімінде № 6973 болып тіркелген) келесі өзгеріс енгізілсін:

көрсетілген шешімнің қосымшасы осы шешімнің қосымшасына сәйкес жаңа редакцияда жазылсын.

2. Осы шешімнің орындалуын бақылау "Жаңақорған ауданы әкімінің аппараты" коммуналдық мемлекеттік мекемесінің басшысына жүктелсін.

3. Осы шешім оның алғашқы ресми жарияланған күнінен бастап қолданысқа енгізіледі.


Жаңақорған ауданының әкімі	|	М. Тлеумбетов
"КЕЛІСІЛДІ"Жаңақорған аудандықсайлау комиссиясымен



	|	Жаңақорған ауданының әкімдігі2022 жылғы 9 қыркүйектегі№ 17 шешіміне қосымша
	|	Жаңақорған ауданы әкімінің2019 жылғы 19 қарашадағы№ 1 шешіміне қосымша

Жаңақорған ауданы бойынша сайлау учаскелері

№	|	Сайлау учаскелері	|	Орналасқан жері	|	Сайлау учаскелерінің шекаралары
1	|	№ 304	|	"Қызылорда облысының білім басқармасының Жаңақорған ауданы бойынша білім бөлімінің "№ 166 орта мектебі" коммуналдық мемлекеттік мекемесі, Екпінді ауылы, Бәкір Алмасбаев көшесі 15	|	Екпінді ауылдық округінің Екпінді ауылы
2	|	№ 305	|	"Сунақата ауылдық округі әкімі аппаратының "Сунақата ауылдық клубы" коммуналдық мемлекеттік қазыналық кәсіпорны, Сунақата ауылы, Сығанақ көшесі 6	|	Сунақата ауылдық округінің Сунақата ауылы
3	|	№ 306	|	"Қызылорда облысының білім басқармасының Жаңақорған ауданы бойынша білім бөлімінің "№ 162 орта мектебі" коммуналдық мемлекеттік мекемесі, Қожамберді ауылы, Мәжит Биділлаұлы Шадиков көшесі 1А	|	Қожамберді ауылдық округінің Қожамберді ауылы
4	|	№ 307	|	"Төменарық ауылдық округі әкімі аппаратының "Төменарық ауылдық клубы" коммуналдық мемлекеттік қазыналық кәсіпорны, Төменарық ауылы, Бегайдар Аралбаев көшесі 95	|	Төменарық ауылы: Әлия Молдағұлова, Марат Нәжімов, Абыдын Мұсабаев, Рысбай Құдайбергенов, Дүйсенбек Пашаев, Бегайдар Аралбаев, Дина Нұрпейісова, Биімбет Байымбетов, Мұқағали Мақатаев, Бимен Еденбаев, Әбутәліп Алтыбаев, Елтай, Құрманғазы Сағырбаев көшелері
5	|	№ 308	|	"Қызылорда облысының білім басқармасының Жаңақорған ауданы бойынша білім бөлімінің "А.Д. Романов атындағы № 53 орта мектебі" коммуналдық мемлекеттік мекемесі, Төменарық ауылы, Шәуленбек Дүйсебеков көшесі 1	|	Төменарық ауылы: Абай Құнанбаев, Зәйдін Жүсіпов, Әзиз Камалов, Тұрар Рысқұлов, Разия Құлымбетова, Құдабай Наурызбаев, Шауленбек Дүйсебеков, Әли Исаев, Мәншүк Мәметова, Іскендір Құдияров көшелері
6	|	№ 309	|	"Сүттіқұдық ауылдық округі әкімі аппаратының "Сүттіқұдық ауылдық клубы" коммуналдық мемлекеттік қазыналық кәсіпорны, Сүттіқұдық ауылы, Садықбек Сапарбеков көшесі 8	|	Сүттіқұдық ауылдық округінің Сүттіқұдық ауылы
7	|	№ 310	|	"Қызылорда облысының білім басқармасының Жаңақорған ауданы бойынша білім бөлімінің "№ 195 мектеп-гимназиясы" коммуналдық мемлекеттік мекемесі, Жайылма ауылы, Сансызбай Бөкеев көшесі 21	|	Жайылма ауылдық округінің Жайылма ауылы
8	|	№ 311	|	"Шалқия кенті әкімі аппаратының "Шалқия кенттік мәдениет үйі" коммуналдық мемлекеттік қазыналық кәсіпорны, Құттықожа ауылы, Мұстафа Шоқай көшесі 6А	|	Шалқия кентінің Құттықожа ауылы
9	|	№ 312	|	"Ақүйік ауылдық округі әкімі аппаратының "Бірлік ауылдық клубы" коммуналдық мемлекеттік қазыналық кәсіпорны, Бірлік ауылы, Нұрғали Түршеков көшесі 42	|	Ақүйік ауылдық округінің Бірлік ауылы
10	|	№ 313	|	"Қыраш ауылдық округі әкімі аппаратының "Қыраш ауылдық клубы" коммуналдық мемлекеттік қазыналық кәсіпорны, Қыраш ауылы, Тәуелсіздік көшесі 4	|	Қыраш ауылдық округінің Қыраш ауылы
