ШЕШТІМ:

1. "Сайлау учаскелерін құру туралы" Сырдария ауданы әкімінің 2018 жылғы 8 қарашадағы № 8 шешіміне (нормативтік құқықтық актілерді мемлекеттік тіркеу Тізілімінде № 6505 болып тіркелген) мынадай өзгеріс енгізілсін:

көрсетілген шешімнің қосымшасы осы шешімнің қосымшасына сәйкес жаңа редакцияда жазылсын:

2. Осы шешім оның алғашқы ресми жарияланған күнінен кейін күнтізбелік он күн өткен соң қолданысқа енгізіледі.


Сырдария ауданының әкімі	|	М. Ергешбаев
"Келісілді"
Сырдария аудандық
сайлау комиссиясымен



	|	Сырдария ауданы әкімінің
	|	2021 жылғы 23 желтоқсандағы
	|	№ 5 шешіміне қосымша
	|	Сырдария ауданы әкімінің
	|	2018 жылғы 8 қараша
	|	№ 8 шешіміне қосымша

Сырдария ауданы бойынша сайлау учаскелері

р/с	|	Сайлау учаскелері	|	Орналасқан жері	|	Сайлау учаскелерінің шекаралары
1	|	№154	|	"Қызылорда облысының білім басқармасының Сырдария ауданы бойынша білім бөлімінің "№135 А.Тоқмағанбетов атындағы орта мектебі" коммуналдық мемлекеттік мекемесі	|	А.Тоқмағанбетов ауылдық округі
2	|	№155	|	Сырдария аудандық мәдениет және тілдерді дамыту бөлімінің "Сырдария аудандық мәдениет үйі" мемлекеттік коммуналдық қазыналық кәсіпорны	|	Тереңөзек кенті: Бауыржан Момышұлы, Ыбырай Жахаев, Асқар Тоқмағанбетов, Қазақ, Жаппасбай Нұрсейтов, Жастар, Бұхарбай батыр, Достық, Наурыз, Желтоқсан, Әлішер Тоқмағанбетов, Жамбыл Жабаев көшелері, Жамбыл тұйық көшесі, Д.А.Қонаев көшесінің №1-ден 13-ті қоса алғандағы аралықтағы үйлер, Азатбақыт Әлиакбаров көшесінің №7-ден 81-ді қоса алғандағы аралықтағы үйлер, Абай Құнанбаев көшесінің №31-ден 53А-ны қоса алғандағы аралықтағы үйлер
3	|	№156	|	"Қызылорда облысының білім басқармасының Сырдария ауданы бойынша білім бөлімінің "№35 Иса Тоқтыбаев атындағы мектеп-лицейі" коммуналдық мемлекеттік мекемесі	|	Тереңөзек кенті: Аманкелді Иманов, Нағи Ілиясов, Жылқыбай Құттыбаев, Рахым Алшынбаев, Серікбай Жәкеев, Жеңістің 50 жылдығы, 1 май, Ә.Тәжібаев, Нұрғали Сыздықов, Нәлқожа Ергешбаев, Төлеп Жарекеев, Нұрқасым Бердіқұлов, Ағайынды Бозжановтар, Зинадин Лекеров, Бақтияр Жақыпов көшелері, Қозытай Әбуов, Найзабаев Әбду, Дінмұхамед Қонаев тұйық көшелері, Д.А.Қонаев көшесінің №14-тен 60-ты қоса алғандығы аралықтағы үйлер, Абай Құнанбаев көшесінің №1-ден 30-ды қоса алғандағы үйлер аралығы, Азатбақыт Әлиакбаров көшесінің №1-ден 6-ны қоса алғандағы аралықтағы үйлер, Узтоп бөлімшесі, Алдаберген Бисенов, Зал Мырзахметов, Ыбырай Сейпулов, Садық Райымов, Қасымхан Ысмайлов, Әбдіхалық Байменов, Сәрсенбай Баяханов, Қаржаубай Жартенов, Уәлибек Әбдуов, Әсербай Айкөпешов, Шәкі Оспанов, Алмағанбет Дауылбаев, Зұлхар Үдербаев, Елтай Тыныштықбаев, Қожанбай Бекжанов көшелері
4	|	№157	|	"Қызылорда облысының білім басқармасының "Сырдария аграрлы-техникалық колледжі" коммуналдық мемлекеттік қазыналық кәсіпорны	|	Тереңөзек кенті: Ғани Мұратбаев, Сырдария, Мұхтар Әуезов, Иса Тоқтыбаев, Әлия Молдагулова, Мәншүк Маметова, Күләш Байсейітова, Дүйсенбай Керейтбаев, Қожабек Кенжебекұлы Дәдікбаев, Сейткерей Усабаев, Оспан Әбілпаттаев, Тоғанас батыр, Алма Оразбаева, Қ.Қазантаев, Шамахан Құндызбаев, Қажыман Асанов көшелері, Иса Тоқтыбаев, Әбдулпаттаев Оспан тұйық көшелері.
5	|	№158	|	"Қызылорда облысының білім басқармасының Сырдария ауданы бойынша білім бөлімінің "№131 Талғат Қозыбаев атындағы орта мектебі" коммуналдық мемлекеттік мекемесі	|	Тереңөзек кенті: Бәкір Өтепов, Айтбай арық, Ақтам, Қасым Бөдеев, Қызылдихан, Оспан Мәлібаев, Арғынбай Сырғабаев көшелері, Қызылдихан, Талғат Қозыбаев тұйық көшелері
6	|	№159	|	"Қызылорда облысының білім басқармасының Сырдария ауданы бойынша білім бөлімінің "№137 орта мектебі" коммуналдық мемлекеттік мекемесі	|	С.Сейфуллин ауылдық округі
7	|	№160	|	"Қалжан Ахун ауылдық округі әкімі аппаратының Қалжан Ахун ауылдық клубы" коммуналдық мемлекеттік қазыналық кәсіпорны	|	Қалжан Ахун ауылдық округі
8	|	№161	|	"Қызылорда облысының білім басқармасының Сырдария ауданы бойынша білім бөлімінің "№191 орта мектебі" коммуналдық мемлекеттік мекемесі	|	Іңкәрдария ауылдық округі
9	|	№162	|	"Ақжарма ауылдық округі әкімі аппаратының Ақжарма ауылдық мәдениет үйі" коммуналдық мемлекеттік қазыналық кәсіпорны	|	Ақжарма ауылдық округі
10	|	№163	|	"Шаған ауылдық округі әкімі аппаратының Шаған ауылдық мәдениет үйі" коммуналдық мемлекеттік қазыналық кәсіпорыны	|	Шаған ауылы: Абай Құнанбаев, Ардагерлер, Аманкелді Иманов, Әділ Атақаев, Бейбітшілік, Ғани Мұратбаев, Достық, Есет би, Жұбатқан Бекпанов, Әбілқасым Тұйғынов, Қатира Мыханова, Наурыз, Рамазан Оразғалиев, Тәліп Әлжанов, көшелері және Аманкелді Иманов, Тұрсын Мұхамеджанов, Жұбатқан Бекпанов тұйықтары
