"Қазақстан Республикасындағы сайлау туралы" Қазақстан Республикасының 1995 жылғы 28 қыркүйектегі Конституциялық Заңының 23-бабына және "Қазақстан Республикасындағы жергілікті мемлекеттік басқару және өзін-өзі басқару туралы" Қазақстан Республикасының 2001 жылғы 23 қаңтардағы Заңының 33-бабына сәйкес Қармақшы ауданының әкімі ШЕШІМ ҚАБЫЛДАДЫ:

1."Сайлау учаскелерін құру туралы" Қармақшы ауданы әкімінің 2015 жылғы 12 қарашадағы № 25 шешіміне (Нормативтік құқықтық актілерді мемлекеттік тіркеу Тізілімінде №5225 болып тіркелген, 2015 жылғы 12 желтоқсанындағы №96 "Қармақшы таңы" газетінде, 2015 жылғы 28 желтоқсанында "Әділет" ақпараттық-құқықтық жүйесінде жарияланған) келесі өзгерiс енгiзiлсiн:

аталған шешімнің қосымшасы осы шешімнің қосымшасына сәйкес жаңа редакцияда жазылсын.

2. Шешімнің орындалуын бақылау Қармақшы ауданы әкімінің орынбасары Е.Меңлібаевқа жүктелсін.

3. Осы шешім алғашқы ресми жарияланған күнінен бастап қолданысқа енгізіледі.


Қармақшы ауданының әкімі	|	С. Мақашов

"КЕЛІСІЛДІ"Қармақшы аудандық аумақтықсайлау комиссиясының төрағасы_______________Ә.Құлдүйсенов"14" қыркүйек 2018 жыл



	|	Қармақшы ауданы әкімінің 2018 жылғы "08" қазандағы №98 шешіміне қосымша
	|	Қармақшы ауданы әкімінің 2015 жылғы "12" қарашадағы №25 шешімімен бекітілген

Қармақшы ауданы бойынша сайлау учаскелері

№	|	Сайлауучаскесi	|	Орналасқан жерi	|	Сайлау учаскелерiнiң шекаралары
1	|	№94	|	Жосалы кентi, "Қармақшы аудандық бiлiм бөлiмiнiң Ш.Уәлиханов атындағы №26 орта мектебi" коммуналдық мемлекеттiк мекемесi, Ә.Өмiров көшесi, № 27В.	|	Темір жол вокзалынан бастап Тұрмағамбет Ізтілеуов көшесінің батыс бетімен Н.Сералиев көшесіне дейін, Н.Сералиев көшесінің батыс бетімен Абай Құнанбаев көшесіне дейін, Абай Құнанбаев көшесінің солтүстік бетімен бұрынғы Самара-Шымкент трассасына дейін, бұрынғы Самара-Шымкент трассасы бойымен темір жол көпіріне дейін, темір жол көпірінің бойымен темір жол вокзалына дейін және Жосалы-Төретам темір жол бойындағы стансалар мен бекеттердегі тұрғын үйлер
2	|	№95	|	Жосалы кентi, "Қармақшы аудандық бiлiм бөлiмiнiң С.Есқараев атындағы №27 орта мектебi" коммуналдық мемлекеттiк мекемесi, Амангелдi көшесi, №2А.	|	Темір жол вокзалынан бастап Тұрмағамбет Ізтілеуов көшесінің шығыс бетімен Н.Сералиев көшесіне дейін, Н.Сералиев көшесінің шығыс бетімен Абай Құнанбаев көшесіне дейін, Абай Құнанбаев көшесінің оңтүстік бетімен Тәйімбет Көмекбаев көшесіне дейін, Тәйімбет Көмекбаев көшесінің шығыс бетімен Меней батыр көшесіне дейін, Меней батыр көшесінің солтүстік бетімен Тәйімбет Көмекбаев көшесіне дейін, Тәйімбет Көмекбаев көшесінің шығыс бетімен Султан Сүлейменов көшесіне дейін, Султан Сүлейменов көшесінің солтүстік бетімен Жақсан Шүленов көшесіне дейін, Жақсан Шүленов көшесінің батыс бетімен темір жол өткеліне дейін, темір жол вокзалының оңтүстік бетіндегі тұрғын үйлерден темір жол өткеліне дейін
3	|	№96	|	Жосалы кентi, "Қармақшы агротехникалық колледжi" коммуналдық мемлекеттiк мекемесi, Ғ.Мұратбаев көшесi, №2.	|	"Достық" автобекетінен бастап Сырдария өзенінің оңтүстік бөлігіндегі "Қызылорда облысының денсаулық сақтау басқармасының "Қармақшы аудандық туберкулезге қарсы диспансері" коммуналдық мемлекеттік қазыналық кәсіпорнының ғимаратын және Сырдария өзенінің солтүстік бетіндегі мал сою алаңындағы барлық тұрғын үйлерді қамти отырып, бұрынғы Самара-Шымкент трассасының шығыс бойымен Абай Құнанбаев көшесіне дейін, Абай Құнанбаев көшесінің оңтүстік бетімен Тәйімбет Көмекбаев көшесіне дейін, Тәйімбет Көмекбаев көшесінің батыс бетімен Меней батыр көшесіне дейін, Меней батыр көшесінің оңтүстік бетімен Тәйімбет Көмекбаев көшесіне дейін, Тәйімбет Көмекбаев көшесінің батыс бетімен Ыбырай Алтынсарин көшесіне дейін, Ыбырай Алтынсарин көшесінің солтүстік-батыс бетімен Әбен Ниетбай көшесіне дейін, Әбен Ниетбай көшесінің батыс бетімен "Достық" автобекетіне дейін.
4	|	№97	|	Жосалы кентi, "Қармақшы аудандық бiлiм бөлiмiнiң №121 орта мектебi" коммуналдық мемлекеттiк мекемесi, Қорқыт ата көшесi, №62.	|	"Достық" автобекетінен бастап Сырдария өзенінің солтүстік бетімен темір жол көпіріне дейін, темір жол көпірінен темір жол өткеліне дейін, темір жол өткелінен Жақсан Шүленов көшесінің шығыс бетімен Султан Сүлейменов көшесіне дейін, Султан Сүлейменов көшесінің оңтүстік бетімен Тәйімбет Көмекбаев көшесіне дейін, Тәйімбет Көмекбаев көшесінің шығыс бетімен Ыбырай Алтынсарин көшесіне дейін, Ыбырай Алтынсарин көшесінің оңтүстік бетімен Әбен Ниетбай көшесіне дейін, Әбен Ниетбай көшесінің шығыс бетімен "Достық" автобекетіне дейін.
5	|	№98	|	Жосалы кентi, "Қармақшы аудандық бiлiм бөлiмiнiң А.Жанпейiсов атындағы №105 орта мектебi" коммуналдық мемлекеттiк мекемесi, Ә.Жомартов көшесi, №5.	|	№250 мектептiң солтүстiк бетiнен бастап Абыт көлiнiң солтүстiк-батыс бетiмен I.Мүсiрбаев көшесiне дейiн, одан әрi осы жолдың оңтүстiк бетiмен "Жосалы-Жалағаш" автожолына дейiн, осы жолдың бойымен аэропорт ғимаратына дейiн кенттiң солтүстiк батыс бетiн айналып темiр жол өткелiне дейiнгi аралықтағы үйлер.
6	|	№99	|	Жосалы кентi, "Қармақшы аудандық бiлiм бөлiмiнiң Тәйімбет Көмекбаев атындағы №250 мектеп-лицей" коммуналдық мемлекеттiк мекемесi, Балқы-базар көшесi, №19А.	|	№250 мектеп-лицейiнiң алдынан бастап, Абыт көлiнiң шығыс бетiмен I. Мүсiрбаев көшесiне дейiн, Ү.Томанов көшесiнiң шығыс бетiмен Шығыс каналға дейiн, оның оңтүстiк бетiмен кенттiң шығыс бетiн айналып Балқы- базар көшесiмен "Жастар" демалыс бағына дейiнгi аралықтағы үйлер.
7	|	№100	|	Жосалы кентi, "Қармақшы аудандық бiлiм бөлiмiнiң О.Шораяқұлы атындағы №30 орта мектебi" коммуналдық мемлекеттiк мекемесi, М.Мәметова көшесi, №25.	|	"Аэропорт" кафесінен бастап "Жосалы-Жалағаш" автомобиль жолымен Ізтілеу Мүсірбаев көшесінің солтүстік-шығыс бетімен Ү.Томанов көшесіне дейін, Ү.Томанов көшесінің батыс бетінен Шығыс каналға дейін, оның солтүстік шығыс бетін айналып, Жосалы кентіндегі солтүстік шығыс бетіндегі барлық тұрғын үйлерді қамти отырып, "Аэропорт" кафесіне дейін.
8	|	№101	|	Қармақшы ауылдық округi, Қармақшы ауылы, "Қармақшы аудандық бiлiм бөлiмi №113 Қаракөл орта мектебi" коммуналдық мемлекеттiк мекемесi, Е.Жаналиева көшесi, №1.	|	Қармақшы ауылы.
9	|	№102	|	Қармақшы ауылдық округi, Қызылтам станциясы, "Қармақшы аудандық бiлiм бөлiмiнiң №79 негiзгi мектебi" коммуналдық мемлекеттiк мекемесi, Сарыжылуан көшесi, №1.	|	Қызылтам станциясы.
10	|	№103	|	Төребай би ауылдық округi, Төребай би ауылы, "Жосалы ауылдық округi әкiмiнiң аппараты" мемлекеттiк мекемесiнiң "Төребай би ауылдық клуб үйi" мемлекеттiк коммуналдық қазыналық кәсiпорны, О.Қазиев көшесi, №10.	|	Төребай би ауылы.
11	|	№104	|	Иiркөл ауылдық округi, Иiркөл ауылы, "Қармақшы аудандық бiлiм бөлiмiнiң №106 орта мектебi" коммуналдық мемлекеттiк мекемесi, Қорқыт ата көшесi, №6.	|	Иiркөл ауылы.
12	|	№105	|	Жаңажол ауылдық округi, Дүр Оңғар ауылы, "Жаңажол ауылдық округi әкiмiнiң аппараты" мемлекеттiк мекемесiнiң "Дүр Оңғар ауылының мәдениет үйi" мемлекеттiк коммуналдық қазыналық кәсiпорны, Қ.Бексабаұлы көшесi, №43.	|	Дүр Оңғар ауылы.
13	|	№106	|	III-Интернационал ауылдық округi, III-Интернационал ауылы, "III Интернационал ауылдық округi әкiмiнiң аппараты" мемлекеттiк мекемесiнiң "III Интернацонал ауылының мәдениет үйi" мемлекеттiк коммуналдық қазыналық кәсiпорны, Астана көшесi, нөмiрсiз.	|	III-Интернационал ауылы.
14	|	№107	|	Ақтөбе ауылдық округi, Ақтөбе ауылы, "Ақтөбе ауылдық округi әкiмiнiң аппараты" мемлекеттiк мекемесiнiң "Ақтөбе ауылының мәдениет үйi" мемлекеттiк коммуналдық қазыналық кәсiпорны, Кеңсе көшесi, №15.	|	Ақтөбе ауылы.
15	|	№108	|	Ақжар ауылдық округi, Ақжар ауылы, "Ақжар ауылдық округi әкiмiнiң аппараты" мемлекеттiк мекемесiнiң "Ақжар ауылының мәдениет үйi" мемлекеттiк коммуналдық қазыналық кәсiпорны, Т.Iзтiлеуов көшесi, №27.	|	Ақжар ауылы.
16	|	№109	|	Дауылкөл ауылдық округi, Тұрмағамбет ауылы, "Дауылкөл ауылдық округi әкiмiнiң аппараты" мемлекеттiк мекемесiнiң "Тұрмағамбет ауылының клуб үйi" мемлекеттiк коммуналдық қазыналық кәсiпорны, Т.Iзтiлеуов көшесi, №26.	|	Тұрмағамбет ауылы.
17	|	№110	|	Алдашбай ахун ауылдық округi, Алдашбай ахун ауылы, "Қармақшы аудандық бiлiм бөлiмiнiң №111 орта мектебi" коммуналдық мемлекеттiк мекемесi, Майлыөзек көшесi, №7.	|	Алдашбай ахун ауылы.
18	|	№111	|	Қуаңдария ауылдық округi, Қуандария ауылы, "Қармақшы аудандық бiлiм бөлiмiнiң №186 орта мектебi" коммуналдық мемлекеттiк мекемесi, Мектеп көшесi, №5.	|	Қуандария ауылы.
19	|	№112	|	Тәйімбет Көмекбаев ауылдық округi, Тәйімбет Көмекбаев ауылы, "Қармақшы аудандық бiлiм бөлiмiнiң №185 орта мектебi" коммуналдық мемлекеттiк мекемесi, Абай көшесi, №6А.	|	Тәйімбет Көмекбаев ауылы мен ауылдық округтiң аумағындағы елдi мекендердегi тұрғын үйлер, Шобанқазған, Кекiрелi елдi мекендерi.Қыстаулар: Карамадин, Қосжеген, Қантай, Сулықасқа, Жабықбай, Мырзалы 1, Мырзалы 2, Мұнаралы, Ыстық бұлақ.
20	|	№113	|	Төретам кентi, "Қармақшы аудандық бiлiм бөлiмiнiң №80 мектеп-гимназиясы" коммуналдық мемлекеттiк мекемесi, Ы.Жахаев көшесi, №25А.	|	Жанақұрылыс көшесі №68 үйден бастап оңтүстік бөлігімен Самара-Шымкент-Төретам трассаға дейін, Самара-Шымкент-Төретам трассаның шығыс бөлігімен Күләш Бәйсейітова көшесіне дейін, Күләш Бәйсейітова көшесінің шығыс бөлігінен бастап темір жол өткеліне дейін, темір жол өткелінен темір жол бойының солтүстік бөлігімен Құдайберген Құлтасов №2 үйге дейін, Құдайберген Құлтасов №2 үйден Жанақұрылыс №70 үй аралықтың батыс бөлігіндегі үйлер.
21	|	№114	|	Төретам кентi, "Қармақшы аудандық бiлiм бөлiмiнiң №85 орта мектебi" коммуналдық мемлекеттiк мекемесi, Ғ.Мұратбаев көшесi, №1.	|	1 мамыр және С.Үйреков көшесінің қиылысынан бастап С.Үйреков көшесінің батыс бөлігімен Жанқожа батыр көшесіне дейін, Жанқожа батыр көшесінің оңтүстік бөлігінен Жанқожа батыр көшесі №33 үйге дейін, Жанқожа батыр көшесі №33 үйден темір жолға дейін және темір жол бойының оңтүстік бетімен Ғ.Мұратбаев тұйығына дейін, Ғ.Мұратбаев тұйығының шығыс бөлігінен Ғ.Мұратбаев көшесіне дейін, Ғ.Мұратбаев көшесінің солтүстік бетімен автовокзал тұрағын қоса алғанда Амангелді Иманов тұйығына дейін, Амангелді Иманов тұйығының солтүстік бөлігінен 1 Мамыр көшесіне дейін, 1 Мамыр көшесінің солтүстік батыс бөлігінен С.Үйреков көшесіне дейін.
22	|	№115	|	Төретам кенті, "Қармақшы аудандық денешынықтыру және спорт бөлімі" мемлекеттік мекемесінің "№16 Қармақшы ауданының балалар-жасөспірімдер спорт мектебі" коммуналдық мемлекеттік мекемесі, Жанқожа батыр көшесі, №37а	|	С.Үйреков және 1 Мамыр көшесінің қиылысынан бастап С.Үйреков көшесінің шығыс бөлігінен Жанқожа батыр көшесіне дейін, Жанқожа батыр көшесінің солтүстік бөлігімен темір жолға дейін, темір жол бойының оңтүстік-шығыс бетімен Құдайберген Құлтасов көшесінің №2а үйіне дейін, Құдайберген Құлтасов көшесінің №2а үйден бастап шығыс бөлігіндегі үйлерді қоса алғанда Жанақұрылыс көшесіне дейін, Жанақұрылыс көшесі №70 үйден бастап Жанақұрылыс көшесінің оңтүстік бөлігімен темір жол бойына дейін, темір жол бойының батыс бөлігімен Бірлік көшесіне дейін, Бірлік көшесінің солтүстік шығыс бетімен 1 Мамыр көшесіне дейін, 1 Мамыр көшесінің солтүстік шығыс бетімен С.Үйреков көшесіне дейін.
23	|	№116	|	Ақай ауылдық округi, Ақай ауылы, "Қармақшы аудандық бiлiм бөлiмiнiң №99 орта мектебi" коммуналдық мемлекеттiк мекемесi, Абай көшесi, №25.	|	"Крайний" әуежайына баратын жолдың Д.Қонаев көшесімен қиылысынан бастап Д.Қонаев көшенің аяғына дейін, Д.Қонаев көшесінің аяғынан шығысқа қарай Абай көшесіне дейін және Абай көшесінен оңтүстікке қарай Абай көшесінің соңына дейін, Абай көшесінің соңынан шығысқа қарай Тұрмағамбет Ізтілеуов көшесімен А.Балғынбаев тұйығына дейін, А.Балғынбаев тұйығынан шығыс бетімен солтүстікке қарай Байқоңыр қаласының №5 өткізу пүнктіне дейін. №5 өткізу пунктінен "Крайний" әуежайына баратын жол бойымен Д.Қонаев көшесімен қиылысынан аяқталады.
24	|	№117	|	Қызылорда облысы, Байқоңыр қаласы, "Қармақшы аудандық бiлiм бөлiмi №272 орта мектебi" коммуналдық мемлекеттiк мекемесi, Г.Шубников көшесi, №11.	|	8 Март көшесi №5, 7, 9, 10 үйлер, Абай даңғылы №6, 8, 10, 19, 21, 23, 25 үйлер, С.Королев даңғылы №14, 14"А", 18, 20, 24, 26, 28, 30, 32 үйлер, А.Максимов көшесi №15, 17, 19, 20, 21, 22, 23 үйлер, А.Ниточкин көшесi №1, 1"А", 2, 3, 4, 5 үйлер, Л.Шубников көшесiндегi №9 үй.
25	|	№118	|	Қызылорда облысы, Байқоңыр қаласы, "Қармақшы аудандық бiлiм бөлiмi №274 орта мектебi" коммуналдық мемлекеттiк мекемесi, Мир көшесi, №6.	|	Мир көшесi №5 "А", 7, 8, 9, 10, 11 үйлер, М.Янгель көшесi №12, 14, 15, 15 "А", 18, 18 "А", 18 "Б", 19, 21, 21 "А", 21 "Б", 22 "Б" үйлер.
26	|	№119	|	Қызылорда облысы, Байқоныр қаласы, "Қармақшы аудандық бiлiм бөлiмi №275 орта мектебi" коммуналдық мемлекеттiк мекемесi, 5 ықшам ауданы, №11А.	|	№5 "А" ықшам ауданы, №5 ықшам ауданы № 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 24, 25, 26, 27, 28, 29 үйлер.
27	|	№120	|	Қызылорда облысы, Байқоңыр қаласы,№5 үй, 7 ықшам ауданы 22А.	|	№ 7 ықшам ауданы № 1, 2, 3, 4, 5, 6, 7, 12, 13, 14, 15, 16, 19, 20, 21, 21б, 22, 23, 24, 25, 26, 27, 102, 103, 104 үйлер.
28	|	№121	|	Қызылорда облысы, Байқоныр қаласы, "Қармақшы аудандық бiлiм бөлiмi №273 орта мектебi" коммуналдық мемлекеттiк мекемесi, М.Горкий көшесi, №23.	|	В.Глушко көшесi №5, 5 "А", 6, 7 үйлер, М.Горький көшесi №36, 40, 42 үйлер, С.Королев даңғылы №23, 25, 27 үйлер, Мир көшесi №1, 3, 5 үйлер, М.Неделин көшесi №5 "А", 5 "Б", 5 "В", 7, 9, 9 "А" үйлер, М.Янгель көшесi №6, 7, 8, 9 үйлер.
29	|	№122	|	Қызылорда облысы, Байқоңыр қаласы, "Қармақшы ауданы бiлiм бөлiмi №277 орта мектебi" коммуналдық мемлекеттiк мекемесi, 6А ықшам ауданы, №19.	|	№6 А ықшам ауданы, №6 ықшам ауданы №21, 22, 24, 25, 27, 28, 29, 30, 37, 37 "А", 76 үйлер.
30	|	№123	|	Қызылорда облысы, Байқоңыр қаласы, "15 бастауыш мектебi" коммуналдық мемлекеттiк мекемесi, 6 ықшам ауданы.	|	№ 5 ықшам ауданы №22, 23, 30 үйлер, №6 ықшам ауданы №5, 6, 7, 8, 9, 10, 11, 12, 15, 16, 17, 18, 19, 31, 32, 33, 34, 35, 36 үйлер, №7 ықшам ауданы №9, 10, 11 үйлер.
31	|	№124	|	Қызылорда облысы, Байқоңыр қаласы, (тұрғын үй пайдалану басқармасы №3), М.Янгель көшесi, №23А.	|	С.Сейфуллин көшесi №2, 2"А", 4, 4 "А", 4 "Б", 8, 8 "А", 8 "Б", 10, 10 "А", 10"Б" үйлер, М.Янгель көшесi №21"В", 21"Г", 21"Д", 22, 22"В", 23, 24, 25 үйлер.
32	|	№125	|	Қызылорда облысы, Байқоңыр қаласы, М.И.Неделин атындағы электрорадиотехникалық техникум, Абай даңғылы, №11.	|	8 Март көшесi №1, 3 үйлер, Абай даңғылы №2, 3, 4, 5, 7, 13, 13А, 15 үйлер, В.Глушко көшесi №4, 4"А", 4"Б" үйлер, М.Горький көшесi №16 "А", 22, 24, 26, 26"А", 26"Б", 26"В", 28, 30 үйлер, С.Королев даңғылы №11, 13, 15, 17, 19, 21 үйлер, М.Неделин көшесi №1, 2, 3, 4, 5 үйлер, М.Янгель көшесi №2, 3, 4 үйлер.
