
«Мемлекеттік мүлік туралы» 2011 жылғы 1 наурыздағы Қазақстан Республикасының Заңы 114-бабының 1-тармағына , «Ұлттық әл-ауқат қоры туралы» 2012 жылғы 1 ақпандағы Қазақстан Республикасының Заңы 4-бабының 2-тармағының 1) тармақшасына және 23-бабының 1-тармағына сәйкес Қазақстан Республикасының Үкіметі ҚАУЛЫ ЕТЕДІ : 1. Осы қаулыға қосымшаға сәйкес республикалық мүлік заңнамада белгіленген тәртіппен «Самұрық-Қазына» ұлттық әл-ауқат қоры» акционерлік қоғамының (бұдан әрі – Қор) орналастырылатын акцияларын төлеуге берілсін. 2. Қазақстан Республикасы Қаржы министрлігінің Мемлекеттік мүлік және жекешелендіру комитеті Қормен (келісім бойынша) бірлесіп, осы қаулыдан туындайтын шараларды қабылдасын. 3. Осы қаулы қол қойылған күнінен бастап қолданысқа енгізіледі.


Қазақстан РеспубликасыныңПремьер-Министрі	|	К Мәсімов



	|	Қазақстан РеспубликасыҮкіметінің2014 жылғы 26 желтоқсандағы№ 1383 қаулысынақосымша


«Самұрық-Қазына» ұлттық әл-ауқат қоры» акционерлік қоғамының орналастырылатын акцияларын төлеуге берілетін республикалық мүліктің тізбесі


Р/с№	|	Мүліктің атауы	|	Орналасқан жері	|	Өлшем бірлігі	|	Нөмір
метр	|	дана	|	түгендеу	|	тіркеу
1	|	2	|	3	|	4	|	5	|	6	|	7
Ақтөбе облысы
1	|	Қысымы төмен жерүсті газ құбыры	|	Ақтөбе облысы, Қарғалы ауданы, Бадамша ауылы, Әйтеке би көшесі, 13 б	|	99	|		|	АБ0010074	|	
2	|	Қысымы төмен жерүсті газ құбыры	|	Ақтөбе облысы, Қарғалы ауданы, Бадамша ауылы, Еңбекшілер көшесі, 92	|	3	|		|	АБ0010075	|	
3	|	Қысымы төмен жерасты газ құбыры	|	Ақтөбе облысы, Қарғалы ауданы, Бадамша ауылы,Пацаев 12 және Байтұрсынов 64 көшелерінің қиылысы	|	77,5	|		|	АБ0010076	|	
4	|	Қысымы төмен жерүсті газ құбыры	|	Ақтөбе облысы, Қарғалы ауданы, Бадамша ауылы,Пацаев 12 және Байтұрсынов 64 көшелерінің қиылысы	|	122	|		|	АБ0010077	|	
5	|	Қысымы төмен жерүсті газ құбыры	|	Ақтөбе облысы, Қарғалы ауданы, Бадамша ауылы,Астана көшесі, 66	|	4	|		|	АБ0010078	|	
6	|	Қысымы төмен жерүсті газ құбыры	|	Ақтөбе облысы, Қарғалы ауданы, Бадамша ауылы,Жамбыл көшесі, 4	|	97	|		|	АБ0010079	|	
7	|	Қысымы төмен жерүсті газ құбыры	|	Ақтөбе облысы, Қарғалы ауданы, Бадамша ауылы,Жамбыл көшесі, 4	|	12	|		|	АБ0010080	|	
8	|	Қысымы орта жерүсті газ құбыры	|	Ақтөбе облысы, Темір ауданы, Шұбарқұдық ауылы, Қызылжар-1 ықшам ауданы	|	10	|		|	АБ0010081	|	
9	|	Қысымы орта жерасты газ құбыры	|	Ақтөбе облысы, Темір ауданы, Шұбарқұдық ауылы, Қызылжар-1 ықшам ауданы	|	55,3	|		|	АБ0010082	|	
10	|	ШП	|	Ақтөбе облысы, Темір ауданы, Шұбарқұдық ауылы, Қызылжар-1 ықшам ауданы	|		|	1	|	АБ0010083	|	
11	|	Қысымы төмен жерүсті газ құбыры	|	Ақтөбе облысы, Темір ауданы, Шұбарқұдық ауылы, Қызылжар-1 ықшам ауданы	|	4	|		|	АБ0010084	|	
12	|	Қысымы төмен жерүсті газ құбыры	|	Ақтөбе облысы, Темір ауданы, Шұбарқұдық ауылы, Қызылжар-1 ықшам ауданы	|	102	|		|	АБ0010085	|	
13	|	Қысымы төмен жерасты газ құбыры	|	Ақтөбе облысы, Темір ауданы, Шұбарқұдық ауылы, Қызылжар-1 ықшам ауданы	|	1218,5	|		|	АБ0010086	|	
14	|	Қысымы төмен жерасты газ құбыры	|	Ақтөбе облысы, Темір ауданы, Шұбарқұдық ауылы, Қызылжар-1 ықшам ауданы	|	231	|		|	АБ0010087	|	
15	|	Қысымы төмен жерасты газ құбыры	|	Ақтөбе облысы, Темір ауданы, Шұбарқұдық ауылы, Қызылжар-1 ықшам ауданы	|	153	|		|	АБ0010088	|	
16	|	Қысымы төмен жерүсті газ құбыры	|	Ақтөбе облысы, Темір ауданы, Шұбарқұдық ауылы, Қызылжар-2 ықшам ауданы	|	30	|		|	АБ0010089	|	
17	|	Қысымы төмен жерасты газ құбыры	|	Ақтөбе облысы, Темір ауданы, Шұбарқұдық ауылы, Қызылжар-2 ықшам ауданы	|	670	|		|	АБ0010090	|	
18	|	Қысымы төмен жерасты газ құбыры	|	Ақтөбе облысы, Темір ауданы, Шұбарқұдық ауылы, Қызылжар-2 ықшам ауданы	|	40	|		|	АБ0010091	|	
19	|	Қысымы орта жерүсті газ құбыры	|	Ақтөбе облысы, Темір ауданы, Шұбарқұдық ауылы, Қызылжар-2 ықшам ауданы және И.Балмұханбетов және Жамбыл көшелерінің қиылысы	|	370	|		|	АБ0010092	|	
20	|	Қысымы орта жерасты газ құбыры	|	Ақтөбе облысы, Темір ауданы, Шұбарқұдық ауылы, Қызылжар-2 ықшам ауданы және И.Балмұханбетов және Жамбыл көшелерінің қиылысы	|	513	|		|	АБ0010093	|	
21	|	Қысымы төмен жерүсті газ құбыры	|	Ақтөбе облысы, Темір ауданы, Шұбарқұдық ауылы, Қызылжар-2 ықшам ауданы және И.Балмұханбетов және Жамбыл көшелерінің қиылысы	|	38	|		|	АБ0010094	|	
22	|	Қысымы төмен жерасты газ құбыры	|	Ақтөбе облысы, Темір ауданы, Шұбарқұдық ауылы, Қызылжар-2 ықшам ауданы және И.Балмұханбетов және Жамбыл көшелерінің қиылысы	|	281	|		|	АБ0010095	|	
23	|	Қысымы төмен жерасты газ құбыры	|	Ақтөбе облысы, Темір ауданы, Шұбарқұдық ауылы, Қызылжар-2 ықшам ауданы және И.Балмұханбетов және Жамбыл көшелерінің қиылысы	|	597	|		|	АБ0010096	|	
24	|	Қысымы төмен жерасты газ құбыры	|	Ақтөбе облысы, Темір ауданы, Шұбарқұдық ауылы, Қызылжар-2 ықшам ауданы және И.Балмұханбетов және Жамбыл көшелерінің қиылысы	|	113	|		|	АБ0010097	|	
25	|	ШП	|	Ақтөбе облысы, Темір ауданы, Шұбарқұдық ауылы, Қызылжар-2 ықшам ауданы және И.Балмұханбетов және Жамбыл көшелерінің қиылысы	|		|	2	|	АБ0010098АБ0010099	|	
Алматы облысы
26	|	Қысымы орта жерасты газ құбырлары	|	Алматы облысы, Қарасай ауданы, Үшқоңыр ауылы	|	3900	|		|	050006106	|	
