"Мемлекеттік мүлік туралы" 2011 жылғы 1 наурыздағы Қазақстан Республикасының Заңы 114-бабының 1-тармағына , "Ұлттық әл-ауқат қоры туралы" 2012 жылғы 1 ақпандағы Қазақстан Республикасының Заңы 23-бабының 1-тармағына сәйкес Қазақстан Республикасының Үкіметі ҚАУЛЫ ЕТЕДІ :

1. Осы қаулыға қосымшаға сәйкес газбен жабдықтау объектілері Қазақстан Республикасының заңнамасында белгіленген тәртіппен "Самұрық-Қазына" ұлттық әл-ауқат қоры" акционерлік қоғамының (бұдан әрі – қор) орналастырылатын акцияларын төлеуге берілсін.

2. Қазақстан Республикасы Қаржы министрлігінің Мемлекеттік мүлік және жекешелендіру комитеті қормен (келісу бойынша) бірлесіп, осы қаулыдан туындайтын шараларды қабылдасын.

3. Осы қаулы қол қойылған күнінен бастап қолданысқа енгізіледі.


Қазақстан РеспубликасыныңПремьер-Министрі	|	А. Мамин





	|	Қазақстан РеспубликасыҮкіметінің2021 жылғы 18 қаңтардағы№ 13 қаулысынақосымша

"Самұрық-Қазына" ұлттық әл-ауқат қоры" акционерлік қоғамының орналастырылатын акцияларын төлеуге берілетін газбен жабдықтау объектілерінің тізбесі

Р/с№	|	Мүліктің атауы  (жоғары, орта және төмен қысымды газ құбырлары мен олардағы құрылыс нысандары)*	|	Орналасқан жері (көше, ауыл, аудан, қала)	|	Түгендеу/кадастрлық нөмірі

1	|	2	|	3	|	4
Ақтөбе облысы
1	|	"Ақтөбе қаласы Өлке кентіне газ жеткізу құбыры"	|	Благодарный ауылдық округі, Ақтөбе қаласы, Өлке кенті	|	12739
2	|	"Ақтөбе қаласы Өлке кентінің кентішілік газ құбыры"	|	Благодарный ауылдық округі, Ақтөбе қаласы, Өлке кенті	|	12739
3	|	"Ақтөбе облысы Әйтеке би ауданы, Қарабұтақ ауылдық округі, Қарабұтақ ауылының кентішілік газ құбырлары"	|	Әйтеке би ауданы, Қарабұтақ ауылдық округі, Қарабұтақ ауылы	|	6457
4	|	"Алға ауданы Бесқоспа кентінің кентішілік газ құбыры"	|	Алға ауданы, Бестамақ ауылдық округі, Бесқоспа кенті	|	14882
5	|	"Алға ауданы Бесқоспа кентіне газ жеткізу құбыры"	|	Алға ауданы, Бестамақ ауылдық округі, Бесқоспа кенті	|	14927
6	|	"Алға ауданы Қайыңдысай кентіне газ жеткізу құбыры"	|	Алға ауданы, Маржанбұлақ ауылдық округі, Қайыңдысай (Березовка) кенті	|	14926
7	|	"Алға ауданы Қайыңдысай кентінің кентішілік газ құбыры"	|	Алға ауданы, Маржанбұлақ ауылдық округі, Қайыңдысай (Березовка) кенті	|	14925
8	|	"Алға ауданы Маржанбұлақ кентінің кентішілік газ құбыры"	|	Алға ауданы, Маржанбұлақ ауылдық округі, Маржанбұлақ кенті	|	14923
9	|	"Алға ауданы Маржанбұлақ кентіне газ жеткізу құбыры"	|	Алға ауданы, Маржанбұлақ ауылдық округі, Маржанбұлақ кенті	|	14924
10	|	"Қобда ауданы Қобда кентіне газ жеткізу құбыры"	|	Қобда ауданы, Қобда ауылдық округі, Қобда кенті (Новоалексеевка ауылы)	|	444115232614960
11	|	"Қобда ауданы Қобда кентінің кентішілік газ құбыры"	|	Қобда ауданы, Қобда ауылдық округі, Қобда кенті	|	4418
12	|	"Қобда ауданы Әлия кентіне газ жеткізу құбыры"	|	Қобда ауданы, Бұлақ ауылдық округі, Әлия кенті	|	3927
13	|	"Қобда ауданы Әлия кентінің кентішілік газ құбыры"	|	Қобда ауданы, Бұлақ ауылдық округі, Әлия кенті	|	3940
14	|	"Қобда ауданы Талдысай кентіне газ жеткізу құбыры"	|	Қобда ауданы, Бұлақ ауылдық округі, Талдысай кенті	|	4362
15	|	"Қобда ауданы Талдысай кентінің кентішілік газ құбыры"	|	Қобда ауданы, Бұлақ ауылдық округі, Талдысай кенті	|	4419
16	|	"Қобда ауданы Бестау кентіне газ жеткізу құбыры"	|	Қобда ауданы, Бестау ауылдық округі, Бестау кенті	|	4415
17	|	"Қобда ауданы Бестау кентінің кентішілік газ құбыры"	|	Қобда ауданы, Бестау ауылдық округі, Бестау кенті	|	3921
18	|	"Қарғалы ауданы Степной кентіне газ жеткізу құбыры"	|	Қарғалы ауданы, Степной ауылдық округі, Степной кенті	|	181608199820083618362835883638360837183708369836783681815718156181581815518159
19	|	"Қарғалы ауданы Степной кентінің орамішілік газ тарату құбыры"	|	Қарғалы ауданы, Степной ауылдық округі, Степной кенті	|	2676
20	|	"Шалқар ауданы №3 Жазықтық кентінің газ тарату желілері"	|	Шалқар ауданы, Жазықтық кенті	|	6844
