Сырдария ауданының әкімдігі ҚАУЛЫ ЕТЕДІ:

1. "Сырдария ауданының аумағында стационарлық емес сауда объектілерін орналастыру орындарын бекіту туралы" Сырдария ауданы әкімдігінің 2020 жылғы 26 тамыздағы № 183 қаулысына (Нормативтік құқықтық актілерді мемлекеттік тіркеу тізілімінде № 7608 болып тіркелген) келесі өзгерістер енгізілсін:

көрсетілген қаулының тақырыбы келесі редакцияда жазылсын:

"Сырдария ауданының аумағында стационарлық емес сауда объектілерін орналастыру орындарын айқындау және бекіту туралы";

көрсетілген қаулының 1-тармағы келесі редакцияда жазылсын:

"1. Осы қаулының қосымшасына сәйкес, Сырдария ауданының аумағында стационарлық емес сауда объектілерін орналастыру орындары айқындалсын және бекітілсін.";

көрсетілген қаулының қосымшасы осы қаулының қосымшасына сәйкес жаңа редакцияда жазылсын.

2. Осы қаулының орындалуын бақылау Сырдария ауданы әкімінің жетекшілік ететін орынбасарына жүктелсін.

3. Осы қаулы оның алғашқы ресми жарияланған күнінен кейін күнтізбелік он күн өткен соң қолданысқа енгізіледі.


Сырдария ауданының әкімі	|	Б. Сарменбаев



	|	Сырдария ауданы әкімдігінің2023 жылғы 24 мамырдағы№ 166 қаулысына қосымша
	|	Сырдария ауданы әкімдігінің2020 жылғы 26 тамыздағы№ 183 қаулысына қосымша

Сырдария ауданының аумағында стационарлық емес сауда объектілерін орналастыру орындары

№	|	Орналасу орны	|	Алатын алаңы(шаршы метр)	|	Сауда қызметін жүзеге асыру кезеңі (жыл)	|	Қызмет саласы	|	Жақын орналасқан инфрақұрылым (ұқсас тауарлар ассортименті сатылатын сауда объектілері, сондай-ақ қоғамдық тамақтану объектілері)
1	|	Тереңөзек кенті, Дүйсенбай Керейтбаев көшесі, "Нұрай" дүкенінің оң жағында	|	50	|	5	|	азық түлік/ азық-түлік емес тауарлар	|	"Нұрай"дүкені
2	|	Тереңөзек кенті, Амангелді Иманов көшесі, "Серікбол" сауда үйінің оң жағында	|	50	|	5	|	азық түлік/ азық-түлік емес тауарлар	|	"Серікбол" сауда үйі
3	|	Тереңөзек кенті, Амангелді Иманов көшесі, "Береке" дүкеніне қарама-қарсы	|	50	|	5	|	азық түлік/ азық-түлік емес тауарлар	|	"Береке"дүкені
4	|	Асқар Тоқмағанбетов ауылдық округі, Асқар Тоқмағанбетов ауылы, Абай Құнанбаев көшесі, "А.Тоқмағамбетов LTD" жауапкершілігі шектеулі серіктестігі ғимаратының оң жағында	|	50	|	5	|	азық түлік/ азық-түлік емес тауарлар	|	жоқ
5	|	Сәкен Сейфуллин ауылдық округі, Сәкен Сейфуллин ауылы, Сәрке батыр көшесі, "Мұрат" дүкенінің оң жағында	|	50	|	5	|	азық түлік/ азық-түлік емес тауарлар	|	"Мұрат"дүкені
6	|	Жетікөл ауылдық округі, Жетікөл ауылы, Абай Құнанбаев көшесі, "Айсұлу" дүкенінің оң жағында	|	50	|	5	|	азық түлік/ азық-түлік емес тауарлар	|	"Айсұлу" дүкені
7	|	Айдарлы ауылдық округі, Айдарлы ауылы, Досбол Датқа көшесі, № 5 үйдің оң жағында	|	50	|	5	|	азық түлік/ азық-түлік емес тауарлар	|	жоқ
8	|	Ақжарма ауылдық округі, Ақжарма ауылы, Ағатай Есентұров көшесі, "Толғанай" дүкенінің оң жағында	|	50	|	5	|	азық түлік/ азық-түлік емес тауарлар	|	"Толғанай"дүкені
9	|	Аманкелді ауылдық округі, Аманкелді ауылы, Абдулла Ағайдаров көшесі, "Рамазан" дүкенінің сол жағында	|	50	|	5	|	азық түлік/ азық-түлік емес тауарлар	|	"Рамазан"дүкені
10	|	Бесарық ауылдық округі, Бесарық ауылы, Мұхтар Әуезов көшесі, № 23 үйдің сол жағында	|	50	|	5	|	азық түлік/ азық-түлік емес тауарлар	|	"Раушан"дүкені
11	|	Іңкәрдария ауылдық округі, Іңкәрдария ауылы, Қасым Сейдахметов көшесі, № 12 үйдің сол жағында	|	50	|	5	|	азық түлік/ азық-түлік емес тауарлар	|	жоқ
12	|	Қоғалыкөл ауылдық округі, Қоғалыкөл ауылы, Сәбира Майханова көшесі, № 17 үйдің оң жағында	|	50	|	5	|	азық түлік/ азық-түлік емес тауарлар	|	"Мирас" дүкені
13	|	Қалжан Ахун ауылдық округі, Қалжан Ахун ауылы, Мұхтар Әуезов көшесі, № 1-1 үйдің оң жағында	|	50	|	5	|	азық түлік/ азық-түлік емес тауарлар	|	"Айгерім"дүкені
14	|	Нағи Ілиясов ауылдық округі, Нағи Ілиясов ауылы, Нағи Ілиясов көшесі, № 22/а үйдің оң жағында	|	100	|	5	|	азық түлік/ азық-түлік емес тауарлар	|	жоқ
15	|	Шаған ауылдық округі, Шаған ауылы, Абай Құнанбаев көшесі, "Шаған маркет" дүкенінің сол жағында	|	50	|	5	|	азық түлік/ азық-түлік емес тауарлар	|	"Фариза"дүкені
16	|	Шіркейлі ауылдық округі, Шіркейлі ауылы, Жаппасбай Нұрсейітов көшесі, "Бибінұр" дүкенінің оң жағында	|	50	|	5	|	азық түлік/ азық-түлік емес тауарлар	|	"Бибінұр"дүкені



