
Қазақстан Республикасының Үкіметі ҚАУЛЫ ЕТЕДІ: 1. Қоса беріліп отырған тізбеге сәйкес Астана қаласындағы Сәкен Сейфуллин атындағы Қазақ мемлекеттік агротехникалық университетінің жатақханасын салу жөніндегі жобалық-сметалық құжаттама «Сәкен Сейфуллин атындағы Қазақ агротехникалық университеті» акционерлік қоғамының орналастырылатын акцияларын төлеуге берілсін. 2. Қазақстан Республикасы Қаржы министрлігінің Мемлекеттік мүлік және жекешелендіру комитеті Қазақстан Республикасы Білім және ғылым министрлігімен бірлесіп, заңнамада белгіленген тәртіппен осы қаулыны іске асыру үшін қажетті шараларды қабылдасын. 3. Осы қаулы қол қойылған күнінен бастап қолданысқа енгізіледі.

Қазақстан Республикасының Премьер-Министрі                                     К. Мәсімов

Қазақстан Республикасы Үкіметінің 2012 жылғы 20 наурыздағы № 348 қаулысына қосымша

«Сәкен Сейфуллин атындағы Қазақ агротехникалық университеті» акционерлік қоғамының орналастырылатын акцияларын төлеуге берілетін мүлік тізбесі


№	|	Атауы	|	Дайындалған жылы	|	Бет саны	|	Бірлік саны	|	Дайындаушы
1	|	2	|	3	|	4	|	5	|	6
1.	|	«С. Сейфуллин атындағы Қазақ агротехникалық университеті» АҚ студенттер жатақханасы» жұмыс жобасы, Сметалық есептеу, түпнұсқа	|	2009	|	226	|	4	|	«Нур и Д» ЖШС
2	|	«Астана қаласындағы С. Сейфуллин атындағы Қазақ мемлекеттік агротехникалық университетінің жатақханасын салу» жұмыс жобасы бойынша «Мемсараптама» РМК Астаналық филиалының 2009 жылғы 18 наурыздағы № 03-050/09 қорытындысы, түпнұсқа	|	2009	|	18	|	2	|	«Мемсараптама» РМК Астаналық филиалы
3	|	Қазақстан Республикасы Индустрия және сауда министрлігінің Құрылыс және тұрғын үй-коммуналдық шаруашылық істері комитеті төрағасының 2009 жылғы 20 шілдедегі № 366-ПИР бұйрығы, түпнұсқа	|	2009	|	1	|	1	|	Қазақстан Республикасы Индустрия және сауда министрлігінің Құрылыс және тұрғын үй-коммуналдық шаруашылық істері комитеті
4	|	Эскиздік жоба, түпнұсқа	|	2007	|	16	|	2	|	«Нур и Д» ЖШС
5	|	Жұмыс жобасы, Жалпы түсіндірме жазба, қосымшалары бар түпнұсқа	|	2009	|	53	|	1	|	«Нур и Д» ЖШС
6	|	Жұмыс жобасы, Жалпы түсіндірме жазба, қосымшалары жоқ түпнұсқа	|	2009	|	13	|	3	|	«Нур и Д» ЖШС
7	|	Астана қаласындағы С.Сейфуллин атындағы Қазақ мемлекеттік агротехникалық университетінің 592 орындық студенттер жатақханасы құрылысының жобасына түсіндірме жазба, көшірме	|	2006	|	34	|	1	|	«Заңғар Орда» ЖШС
8	|	«С.Сейфуллин атындағы ҚазМАТУ» РМК жатақханасының техникалық-экономикалық негіздемесі, көшірме	|	2006	|	85	|	1	|	«Заңғар Орда» ЖШС
9	|	«Астана қ. С.Сейфуллин атындағы ҚазМАТУ жатақханасы» объектісінде инженерлік-геологиялық ізденістер туралы техникалық есеп, түпнұсқа	|	2006	|	40	|	1	|	Астана қаласы бойынша Жер ресурстары және жерге орналастыру мемлекеттік кәсіпорыны
10	|	Жұмыс жобасы, 1-альбом, Бас жоспар, түпнұсқа	|	2007	|	8	|	4	|	«Нур и Д» ЖШС
11	|	Жұмыс жобасы, 2-альбом, Сәулет-құрылыс бөлімі, түпнұсқа	|	2007	|	37	|	4	|	«Нур и Д» ЖШС
12	|	Жұмыс жобасы, 3-альбом, Темірбетон конструкциялары, түпнұсқа	|	2007	|	61	|	4	|	«Нур и Д» ЖШС
13	|	Жұмыс жобасы, 4-альбом, Электрмен жабдықтау, түпнұсқа	|	2007	|	16	|	3	|	«Нур и Д» ЖШС
14	|	Жұмыс жобасы, 4-альбом, Электрлік бөлік, түпнұсқа	|	2007	|	16	|	1	|	«Нур и Д» ЖШС
15	|	Жұмыс жобасы, 5-альбом, Су құбыры және кәріз, түпнұсқа	|	2007	|	17	|	4	|	«Нур и Д» ЖШС
16	|	Жұмыс жобасы, 6-альбом, Жылыту мен желдету, түпнұсқа	|	2007	|	16	|	4	|	«Нур и Д» ЖШС
17	|	Жұмыс жобасы, 7-альбом, Әлсіз тоқты құрылғылар, түпнұсқа	|	2007	|	10	|	4	|	«Нур и Д» ЖШС
18	|	Жұмыс жобасы, 8-альбом, Сыртқы электрмен жабдықтау желілері, түпнұсқа	|	2007	|	5	|	3	|	«Нур и Д» ЖШС
19	|	Жұмыс жобасы, 8-альбом, Электр желілері, түпнұсқа	|	2007	|	5	|	1	|	«Нур и Д» ЖШС
20	|	Жұмыс жобасы, 9-альбом, Сыртқы сумен жабдықтау және кәріз, түпнұсқа	|	2007	|	9	|	3	|	«Нур и Д» ЖШС
21	|	Жұмыс жобасы, 9-альбом, Су құбыры және кәріз, түпнұсқа	|	2007	|	9	|	1	|	«Нур и Д» ЖШС
22	|	Жұмыс жобасы, 10-альбом, Жылу желілері, түпнұсқа	|	2007	|	4	|	4	|	«Нур и Д» ЖШС
23	|	Жұмыс жобасы, 11-альбом, Сыртқы байланыс желілері, түпнұсқа	|	2007	|	4	|	3	|	«Нур и Д» ЖШС
24	|	Жұмыс жобасы, 11-альбом, Байланыс желілері, түпнұсқа	|	2007	|	4	|	1	|	«Нур и Д» ЖШС


