
Қазақстан Республикасының 2001 жылғы 23 қаңтардағы "Қазақстан Республикасындағы жергілікті мемлекеттік басқару және өзін - өзі басқару туралы" Заңыңың 31 бабы
2 тармағына , Қазақстан Республикасының 2007 жылғы 27 шілдедегі "Білім туралы" Заңының 6 бабы 4 тармағының
8-1) тармақшасына сәйкес Шарбақты ауданының әкімдігі
ҚАУЛЫ ЕТЕДІ:


1. Шарбақты ауданында 2015 жылға мектепке дейінгі тәрбие мен оқытуға арналған мемлекеттік білім беру тапсырысы, жан басына шаққандағы қаржыландыру және ата-ананың ақы төлеу мөлшерін осы қаулының
қосымшасына сәйкес бекітілсін.


2. Осы қаулының орындалуын бақылау аудан әкімінің әлеуметтік сұрақтары бойынша орынбасарына жүктелсін.


3. Осы қаулы алғашқы ресми жарияланған күнінен кейін күнтізбелік он күн өткен соң қолданысқа енгізіледі.


Аудан әкімі	|	Е. Асқаров




	|	Шарбақты ауданы әкімдігінің2015 жылғы 21 мамырдағы№ 151/5 қаулысынаҚосымша

Шарбақты ауданында 2015 жылға арналған мектепке дейінгі тәрбие және оқытуға мемлекеттік білім беру тапсырысы, жан басына шаққандағы қаржыландыру және ата-ананың ақы төлеу мөлшері
Ескерту. Қосымша жана редакцияда – Павлодар облысы Шарбақты аудандық әкімдігінің 02.10.2015№ 301/10(алғаш рет ресми жарияланған күнінен бастап қолданысқа енгізіледі) қаулысымен. 


№	|	Мектепке дейінгі тәрбие және оқыту ұйымдарының атауы	|	Мектепке дейінгі тәрбие және оқыту ұйымдарындағы тәрбиеленушілердің саны	|	Бір тәрбиеленушіге айына орташа шығын бағасы кемінде (теңге)	|	Мектепке дейінгі ұйымдарда айына жан басына қаржыландыру мөлшері, теңге	|	Мектепке дейінгі ұйымдарда ата-ананың айына ақы төлеу мөлшері, теңге
1	|	2	|	3	|	4	|	5	|	6
1	|	"Шарбақты ауданы әкімдігінің, Шарбақты ауданы Шарбақты ауылы әкімі аппаратының "Айгөлек" бөбектер бақшасы" коммуналдық мемлекеттік қазыналық кәсіпорны	|	140(жергілікті бюджет)	|	22616	|	14616	|	3 жасқа дейін- 80003-тен 7 жасқа дейін -8000
2	|	"Шарбақты ауданы әкімдігінің Шарбақты ауданы Алексеевка ауылдық округі әкімі аппаратының "Балбөбек" бөбектер бақшасы" коммуналдық мемлекеттік қазыналық кәсіпорны	|	50(жергілікті бюджет)	|	57187	|	50687	|	3 жасқа дейін - 60003-тен 7 жасқа дейін - 7000
3	|	"Шарбақты ауданы әкімдігінің Шарбақты ауданы Орловка ауылдық округі әкімі аппаратының "Ақбота" бөбектер бақшасы" коммуналдық мемлекеттік казыналық кәсіпорны	|	50(жергілікті бюджет)	|	50078	|	43778	|	3 жасқа дейін - 63003-тен 7 жасқа дейін - 6300
4	|	"Шарбақты ауданы әкімдігінің Шарбақты ауданы Александровка ауылдық округі әкімі аппаратының "Балапан" бөбектер бақшасы" коммуналдық мемлекеттік қазыналық кәсіпорны	|	50(жергілікті бюджет)	|	47020	|	41320	|	3 жасқа дейін - 57003-тен 7 жасқа дейін - 5700
5	|	"Шарбақты ауданы әкімдігінің Шарбақты ауданы Шалдай ауылдық округі әкімі аппаратының "Бүлдіршін" бөбектер бақшасы" коммуналдық мемлекеттік қазыналық кәсіпорны	|	50(республикалық бюджет)	|	45120	|	38620	|	3 жасқа дейін - 65003-тен 7 жасқа дейін - 6500
6	|	"Арбиген жалпы білім беру орта мектебі" мемлекеттік мекемесі (шағын-орталық)	|	20(республикалық бюджет)	|	18480	|	14480	|	2-ден 6 жасқа дейін4000
7	|	Шарбақты ауданының "Богодаровка негізгі жалпы білім беру мектебі" мемлекеттік мекемесі(шағын-орталық)	|	10(республикалық бюджет)	|	18500	|	16400	|	2-ден 6 жасқа дейін2500
8	|	"Галкин жалпы білім беру орта мектебі" мемлекеттік мекемесі(шағын-орталық)	|	30(республикалық бюджет)	|	14567	|	7567	|	2-ден 6 жасқа дейін7000
9	|	"Шарбақты ауданының Есілбай жалпы орта білім беру мектебі" мемлекеттік мекемесі(шағын-орталық)	|	35(республикалық бюджет)	|	18952	|	13952	|	2-ден 6 жасқа дейін5000
10	|	"Шарбақты ауданының Жаңа-ауыл жалпы орта білім беру мектебі" мемлекеттік мекемесі(шағын-орталық)	|	30(республикалық бюджет)	|	11164	|	7164	|	2-ден 6 жасқа дейін4000
11	|	Шарбақты ауданының "Жылыбұлақ негізгі жалпы білім беру мектебі" мемлекеттік мекемесі(шағын-орталық)	|	21(республикалық бюджет)	|	16512	|	11512	|	2-ден 6 жасқа дейін5000
12	|	"Заборовка негізгі мектебі" мемлекеттік мекемесі(шағын-орталық)	|	13(республикалық бюджет)	|	24532	|	18532	|	2-ден 6 жасқа дейін6000
13	|	"Қарабидай негізгі жалпы білім беру мектебі" мемлекеттік мекемесі(шағын-орталық)	|	16(республикалық бюджет)	|	21276	|	15776	|	2-ден 6 жасқа дейін5500
14	|	Шарбақты ауданының "Красиловка жалпы орта білім беру мектебі" мемлекеттік мекемесі(шағын-орталық)	|	20(республикалық бюджет)	|	16396	|	11396	|	2-ден 6 жасқа дейін5000
15	|	"Малиновка жалпы білім беру орта мектебі" мемлекеттік мекемесі(шағын-орталық)	|	15(республикалық бюджет)	|	20917	|	16917	|	2-ден 6 жасқа дейін4000
16	|	"Шарбақты ауданының Маралды бастауыш білім беру мектебі" коммуналдық мемлекеттік мекемесі(шағын-орталық)	|	24(республикалық бюджет)	|	17104	|	11104	|	2-ден 6 жасқа дейін6000
17	|	"Назаровка негізгі жалпы білім беру мектебі" мемлекеттік мекемесі(шағын-орталық)	|	10(республикалық бюджет)	|	27142	|	23142	|	2-ден 6 жасқа дейін4000
18	|	"Северный негізгі жалпы білім беру мектебі" мемлекеттік мекемесі(шағын-орталық)	|	20(республикалық бюджет)	|	19008	|	14008	|	2-ден 6 жасқа дейін5000
19	|	"Шарбақты ауданының Сосновка жалпы орта білім беру мектебі" мемлекеттік мекемесі(шағын-орталық)	|	13(республикалық бюджет)	|	23519	|	18519	|	2-ден 6 жасқа дейін5000
20	|	"Хмельницкий жалпы білім беру орта мектебі" мемлекеттік мекемесі(шағын-орталық)	|	50(республикалық бюджет)	|	77425	|	72425	|	2-ден 6 жасқа дейін5000
21	|	"Шегірен орта мектебі" мемлекеттік мекемесі(шағын-орталық)	|	47(республикалық бюджет)	|	19640	|	12640	|	2-ден 6 жасқа дейін7000
22	|	"Шарбақты ауданының гимназиялық сыныптары бар жалпы орта білім беру мектебі" мемлекеттік мекемесі(шағын-орталық)	|	50(республикалық бюджет)	|	20485	|	12985	|	2-ден 6 жасқа дейін7500
23	|	"Шарбақты ауданының №3 жалпы орта білім беру мектебі" мемлекеттік мекемесі(шағын-орталық)	|	25(республикалық бюджет)	|	21877	|	14877	|	2-ден 6 жасқа дейін7000
24	|	"Шарбақты ауданының №2 жалпы негізгі білім беру мектебі" мемлекеттік мекемесі(шағын-орталық)	|	27(республикалық бюджет)	|	17167	|	9667	|	2-ден 6 жасқа дейін7500




