"Қазақстан Республикасындағы сайлау туралы" Қазақстан Республикасының 1995 жылғы 28 қыркүйектегі Конституциялық Заңының 28-бабының 4-тармағына сәйкес Қармақшы ауданының әкімдігі ҚАУЛЫ ЕТЕДІ:

1. "Шарттық негізде үй – жайлар беру туралы" Қармақшы ауданы әкімдігінің 2016 жылғы 09 ақпандағы № 161 қаулысына (нормативтік құқықтық актілерді мемлекеттік тіркеу Тізілімінде 5352 нөмірімен тіркелген, Қазақстан Республикасы нормативтік құқықтық актілерінің "Әділет" ақпараттық - құқықтық жүйесінде 2016 жылы 27 сәуірде жарияланған) мынадай өзгеріс енгізілсін:

аталған қаулының қосымшасы осы қаулының қосымшасына сәйкес жаңа редакцияда жазылсын.

2. Осы қаулының орындалуын бақылау аудан әкімінің орынбасары Ж.Омаровқа жүктелсін.

3. Осы қаулы алғашқы ресми жарияланған күнінен бастап қолданысқа енгізіледі.


Қармақшы ауданының әкімі	|	М. Калдарбеков
"КЕЛІСІЛДІ"
Қармақшы аудандық
сайлау комиссиясымен
"25" қараша 2020 жыл



	|	Қармақшы ауданы әкімдігінің
	|	2020 жылғы 20 желтоқсандағы № 200
	|	қаулысына қосымша
	|	Қармақшы ауданы әкімдігінің
	|	2016 жылғы "09" ақпандағы № 161
	|	қаулысына қосымша

Кандидаттарға сайлаушылармен кездесуі үшін шарттық негізде берілетін үй - жайлар

№	|	Елді мекеннің атауы	|	Кездесу үшін үй - жайлар
1.	|	Қармақшы ауданының Жосалы кенті	|	Жосалы кенті, Тұрмағамбет Ізтілеуов көшесі 3А, "Қармақшы аудандық мәдениет және тілдерді дамыту бөлімі" мемлекеттік мекемесінің "Шәмшат Төлепова атындағы аудандық мәдениет үйі" коммуналдық мемлекеттік қазыналық кәсіпорнының ғимараты
2.	|	Қармақшы ауданының Төретам кенті	|	Төретам кенті, Ғани Мұратбаев көшесі 16, "Төретам кенті әкімінің аппараты" коммуналдық мемлекеттік мекемесінің "Төретам кенттік клуб үйі" коммуналдық мемлекеттік қазыналық кәсіпорнының ғимараты
3.	|	Ақай ауылдық округінің Ақай ауылы	|	Ақай ауылы, Ғарышкерлер көшесі 3, "Ақай ауылдық округі әкімінің аппараты" коммуналдық мемлекеттік мекемесінің "Ақай ауылдық клуб үйі" коммуналдық мемлекеттік қазыналық кәсіпорнының ғимараты
4.	|	Қармақшы ауылдық округініңАбыла ауылы	|	Абыла ауылы, Омар Қошманов көшесі 1, "Қармақшы ауылдық округі әкімінің аппараты" коммуналдық мемлекеттік мекемесінің "Қармақшы ауылдық клубы" коммуналдық мемлекеттік қазыналық кәсіпорнының ғимараты
5.	|	Қармақшы ауылдық округініңҚызылтам станциясы	|	Қызылтам станциясы, Сарыжылуан көшесі 1, "Қармақшы ауылдық округі әкімінің аппараты" коммуналдық мемлекеттік мекемесінің "Қызылтам ауылдық клубы" коммуналдық мемлекеттік қазыналық кәсіпорнының ғимараты
6.	|	Жосалы ауылдық округінің Төребай би ауылы	|	Төребай би ауылы, Орныққан Қазиев көшесі 10, "Жосалы ауылдық округі әкімінің аппараты" коммуналдық мемлекеттік мекемесінің "Төребай би ауылдық клубы" коммуналдық мемлекеттік қазыналық кәсіпорнының ғимараты
7.	|	Иіркөл ауылдық округінің Иіркөл ауылы	|	Иіркөл ауылы, Қорқыт-ата көшесі 15, "Иіркөл ауылдық округі әкімінің аппараты" коммуналдық мемлекеттік мекемесінің "Иіркөл ауылдық округінің клубы" коммуналдық мемлекеттік қазыналық кәсіпорнының ғимараты
8.	|	Жаңажол ауылдық округінің Дүр Оңғар ауылы	|	Дүр Оңғар ауылы, Мәжібаев Әбсаттар көшесі 9, "Жаңажол ауылдық округі әкімінің аппараты" коммуналдық мемлекеттік мекемесінің "Жаңажол ауылдық округінің клубы" коммуналдық мемлекеттік қазыналық кәсіпорнының ғимараты
9.	|	ІІІ-Интернационал ауылдық округінің ІІІ-Интернационал ауылы	|	ІІІ-Интернационал ауылы, Астана көшесі н/ж, "ІІІ-Интернационал ауылдық округі әкімінің аппараты" мемлекеттік мекемесінің "ІІІ-Интернационал ауылдық мәдениет үйі" мемлекеттік коммуналдық қазыналық кәсіпорнының ғимараты
10.	|	Ақтөбе ауылдық округінің Ақтөбе ауылы	|	Ақтөбе ауылы, Кеңсе көшесі 15, "Ақтөбе ауылдық округі әкімінің аппараты" коммуналдық мемлекеттік мекемесінің "Ақтөбе ауылдық округінің клубы" коммуналдық мемлекеттік қазыналық кәсіпорнының ғимараты
11.	|	Ақжар ауылдық округінің Ақжар ауылы	|	Ақжар ауылы, Қ.Ізтілеуов көшесі 45, "Ақжар ауылдық округі әкімінің аппараты" коммуналдық мемлекеттік мекемесінің "Сәрсенбай Бөртебайұлы атындағы клуб үйі" коммуналдық мемлекеттік қазыналық кәсіпорнының ғимараты
12.	|	Дауылкөл ауылдық округінің Тұрмағамбет ауылы	|	Тұрмағамбет ауылы, Тұрмағамбет Ізтілеуов көшесі 26, "Дауылкөл ауылдық округі әкімі аппараты" мемлекеттік мекемесінің "Қуандық Бүрлібаев атындағы ауылдық клубы" коммуналдық мемлекеттік қазыналық кәсіпорнының ғимараты
13.	|	Алдашбай ахун ауылдық округінің Алдашбай ахун ауылы	|	Алдашбай ахун ауылы, Шәймерден Шегебаев көшесі 11, "Алдашбай ахун ауылдық округі әкімінің аппараты" коммуналдық мемлекеттік мекемесінің "Алдашбай ахун ауылдық округінің клубы" коммуналдық мемлекеттік қазыналық кәсіпорнының ғимараты
14.	|	Қуаңдария ауылдық округінің Қуаңдария ауылы	|	Қуаңдария ауылы, Жастар көшесі 2, "Қуаңдария ауылдық округі әкімінің аппараты" коммуналдық мемлекеттік мекемесінің "Қуаңдария ауылдық округінің клубы" коммуналдық мемлекеттік қазыналық кәсіпорнының ғимараты
15.	|	Т.Көмекбаев ауылдық округініңТ.Көмекбаев ауылы	|	Т.Көмекбаев ауылы, Абай Құнанбаев көшесі 27, "Т.Көмекбаев ауылдық округі әкімінің аппараты" коммуналдық мемлекеттік мекемесінің "Т.Көмекбаев ауылдық округінің клубы" коммуналдық мемлекеттік қазыналық кәсіпорнының ғимараты



