Шымкент қаласының мәслихаты ШЕШТІ:

1. Шымкент қаласы мәслихатының "Шымкент қаласы бойынша әлеуметтік мәні бар қатынастардың тізбесін айқындау туралы" 2019 жылғы 11 желтоқсандағы № 58/506–6с шешіміне (Нормативтік құқықтық актілерді мемлекеттік тіркеу тізілімінде № 76 тіркелген) мынадай өзгеріс енгізілсін:

көрсетілген шешімнің қосымшасы осы шешімге қосымшаға сәйкес жаңа редакцияда жазылсын.

2. "Шымкент қаласы мәслихатының аппараты" мемлекеттік мекемесі Қазақстан Республикасының заңнамасымен белгіленген тәртіпте:

1) осы шешімді Қазақстан Республикасының Әділет министрлігінде мемлекеттік тіркеуді;

2) ресми жарияланғаннан кейін Шымкент қаласы мәслихатының интернет–ресурсында орналастыруды қамтамасыз етсін.

3. Осы шешім оның алғашқы ресми жарияланған күнінен кейін күнтізбелік он күн өткен соң қолданысқа енгізіледі.


Шымкент қаласы мәслихаты
сессиясының төрайымы	|	А. Елчиева
Шымкент қаласы
мәслихатының хатшысы	|	Б. Нарымбетов



	|	Шымкент қаласы мәслихатының2021 жылғы 3 маусымдағы№ 5/38-VII шешіміне қосымша

Шымкент қаласының әлеуметтік мәні бар қатынастар тізбесі

№	|	Маршруттың нөмірі	|	Әлеуметтік мәні бар қатынастар
1	|	2	|	"Қайнар бұлақ (саяжай)" шағын ауданы – "Алаш" базары
2	|	10	|	"Нұртас" шағын ауданы – "Сәуле" шағын ауданы
3	|	11	|	"Маятас" шағын ауданы – "Ақбар" базары
4	|	12	|	"Жиделі" шағын ауданы – "Теміржол вокзалы" аялдамасы
5	|	15	|	"Таскен" шағын ауданы – "Айна" базары
6	|	16	|	№195 орам – "Әскери комиссариат" аялдамасы
7	|	17	|	"Тұран" шағын ауданы – "Автонұр" базары
8	|	18	|	"Самал" шағын ауданы – "Азала" тоқыма үйі
9	|	20	|	"Самал" шағын ауданы – № 2 медициналық бірлестігі
10	|	21	|	"Кұрсай" шағын ауданы – "Айқап" шағын ауданы
11	|	23	|	Құртаев көшесі – № 1 автожол
12	|	25	|	"Жаңаталап" шағын ауданы – "Рахат" аялдамасы
13	|	27	|	"Колос" аялдамасы – "Нұрсәт" шағын ауданы
14	|	30	|	"Сайрам" шағын ауданы – "Ақбар" базары
15	|	32	|	"Сауле" шағын ауданы – "Әскери комиссариат" аялдамасы
16	|	34	|	"Қазығұрт" шағын ауданы – Клара Цеткин көшесі
17	|	35	|	"Қазығұрт" шағын ауданы – "11 шағын ауданы" аялдамасы
18	|	42	|	"Қайтпас" шағын ауданы – "Теміржол вокзалы" аялдамасы
19	|	44	|	"Таскен" шағын ауданы – "Айна" базары
20	|	45	|	"Достық" шағын ауданы – "Солтүстік саяжай" – "Ескі қала"
21	|	52	|	"Асар–2" шағын ауданы – "Колос" аялдамасы
22	|	55	|	"Ыңтымақ" шағын ауданы – "Орталық стадион" аялдамасы
23	|	56	|	"Нұртас" шағын ауданы – Айбергенов көшесі
24	|	61	|	"Азат" шағын ауданы – № 4 перзентхана
25	|	64	|	"Алаш" базары – "Теміржол вокзалы" аялдамасы
26	|	65	|	"Мәртөбе" шағын ауданы – "Гиперхаус" сауда үйі
27	|	70	|	"Қайнар бұлақ" шағын ауданы (саяжай) – "Гиперхаус" сауда үйі
28	|	74	|	"Қорғасын зауыты" аялдамасы – "Теріскей" аялдамасы
29	|	84	|	"Теріскей" шағын ауданы – "Ақбар" аялдамасы
30	|	92	|	"Нұрсәт" шағын ауданы – "Жастар ресурстық орталығы" аялдамасы
31	|	96	|	"Қазығұрт" шағын ауданы (Талдыкөл) – "Агроферма" шағын ауданы – "Жабық базар" аялдамасы
32	|	103	|	"Самал" базары – "Теріскей" аялдамасы
33	|	108	|	"Шымкент Сити" шағын ауданы – "Күншығыс" шағын ауданы
34	|	113	|	"Оңтүстік" шағын ауданы – "Нұрсәт" шағын ауданы
35	|	114	|	"Нұртас" шағын ауданы – Перзентхана
36	|	122	|	№7 емхана – "Пахтакор" шағын ауданы
37	|	133	|	"Алаш" базары – "Әскери комиссариат" аялдамасы
38	|	135	|	"Самал" шағын ауданы – Елшібек батыр көшесі
39	|	138	|	"Тұрлан" шағын ауданы (саяжай) – "Аэровокзал" аялдамасы (Мемлекеттік кірістер департаменті)
40	|	139	|	"Сайрам" шағын ауданы – "Ақбар" базары
41	|	140	|	"Қайтпас" шағын ауданы – Промышленная көшесі
42	|	141	|	"Қазығұрт" шағын ауданы (қыш зауыты) – "Мирас" шағын ауданы
43	|	142	|	"Текесу" шағын ауданы – "Ордабасы" аланы
44	|	143	|	"Бадам–2" шағын ауданы – "Радуга" аялдамасы
45	|	144	|	"Теміржол вокзалы" аялдамасы – "Жоғарғы базар" аялдамасы – "Айнатас" шағын ауданы – "Елтай" шағын ауданы – "Жыланбұзған" шағын ауданы
46	|	146	|	"Жаңаталап" шағын ауданы – "Көкбұлақ" шағын ауданы – "Алтын төбе" шағын ауданы – "Ақжайық" шағын ауданы
47	|	147	|	"Нұртас" шағын ауданы – "Ақжар" шағын ауданы – "Ақтас" шағын ауданы
48	|	148	|	"Шапырашты" шағын ауданы – "Ақбар" базары
49	|	149	|	"Қайнарбұлақ" шағын ауданы – "Асар–2" шағын ауданы – "Достық–2" шағын ауданы – "Жеңіс" саябағы" аялдамасы
50	|	150	|	"Достық" шағын ауданы – "Фосфор" ауруханасы" аялдамасы
51	|	158	|	"Самал" шағын ауданы – "18 шағын ауданы" аялдамасы – "Орталық емхана" аялдамасы (айналма)
52	|	169	|	"Оңтүстік" шағын ауданы – "Самал" базары
53	|	171	|	"Бозарық" шағын ауданы (саяжай) – "Әскери комиссариат" аялдамасы
54	|	171а	|	"Бозарық" шағын ауданы – "Әскери комиссариат" аялдамасы
55	|	180	|	"Көкбұлақ" шағын ауданы – "Гүлжан" аялдамасы
56	|	182	|	"Азат" шағын ауданы – "Қорғасын" шағын ауданы
57	|	191	|	"Қарабастау" шағын ауданы – "Теміржол вокзалы" аялдамасы



