"Автомобиль көлігі туралы" 2003 жылғы 4 шілдедегі Қазақстан Республикасы Заңының 14-бабы 1-тармағының 5) тармақшасына сәйкес, Шымкент қаласының мәслихаты ШЕШІМ ҚАБЫЛДАДЫ:

1. "Шымкент қаласы бойынша әлеуметтік мәні бар қатынастардың тізбесін айқындау туралы" Шымкент қаласы мәслихатының 2019 жылғы 11 желтоқсандағы № 58/506-6с (Нормативтік құқықтық актілерді мемлекеттік тіркеу тізілімінде № 76 тіркелген, нормативтік құқықтық актілерінің эталондық бақылау банкінде 2019 жылғы 19 желтоқсанда жарияланған) шешіміне мынадай өзгеріс енгізілсін:

көрсетілген шешімнің қосымшасы осы шешімнің қосымшасына сәйкес жаңа редакцияда жазылсын.

2. "Шымкент қаласының мәслихаты" мемлекеттік мекемесі Қазақстан Республикасының заңнамалық актілерінде белгіленген тәртіпте:

1) осы шешімді Шымкент қаласының Әділет департаментінде мемлекеттік тіркелуін;

2) осы шешімі мемлекеттік тіркелген күннен бастап күнтізбелік он күн ішінде оның көшірмесін ресми жариялау үшін Шымкент қаласында таратылатын мерзімді баспасөз басылымдарына жіберуді;

3) ресми жарияланғаннан кейін Шымкент қаласы мәслихатының интернет-ресурсында орналастыруды қамтамасыз етсін.

3. Осы шешім алғашқы ресми жарияланған күнінен кейін күнтезбелік он күн өткен соң қолданысқа енгізіледі.


Шымкент қаласы
мәслихаты сессиясының төрағасы	|	Н. Жанабаев
Шымкент қаласы
мәслихатының хатшысы	|	Г. Ташкараев



	|	Шымкент қаласы мәслихатының2020 жылғы 31 қаңтардағы№ 60/522-6с шешіміне қосымша
	|	Шымкент қаласы мәслихатының2019 жылғы 11 желтоқсандағы№ 58/506-6с шешіміне қосымша

Шымкент қаласының әлеуметтік мәні бар қатынастар тізбесі

№	|	Маршруттың нөмірі	|	Қатынастар
1	|	10	|	"Нұртас" шағынауданы – "Новинка" дүкені
2	|	16	|	"Шаңырақ" шағынауданы – "Тұрсынбаев" көшесі
3	|	21	|	"Құрсай" шағынауданы – "Айқап" шағынауданы
4	|	23	|	"Құртаев" көшесі – "Орман шаруашылығы" шағынауданы
5	|	45	|	"Достық" шағынауданы – "Теміржол вокзалы" аялдамасы
6	|	55	|	"Ыңтымақ" шағынауданы – "Ордабасы" алаңы – "Жоғарғы базар" аялдамасы
7	|	96	|	"Қазығұрт" шағынауданы (Талдыкөл) – "Азат" шағынауданы
8	|	108	|	"Ордабасы" алаңы – "Шымкент Сити" шағынауданы
9	|	113	|	"Мамандырылған база" аялдамасы – "Нұрсат 3" шағынауданы
10	|	133	|	"Алаш" базар – "Оңтүстік" шағынауданы
11	|	138	|	"Шикізат базасы" аялдамасы – "Тұрлан" шағынауданы (саяжай)
12	|	139	|	"Ордабасы" алаңы – "Сайрам" шағынауданы
13	|	141	|	"Қазығұрт" шағынауданы (кірпіш зауыты) – "Мирас" шағынауданы
14	|	142	|	"Текесу" шағынауданы – "Ордабасы" алаңы
15	|	143	|	"Бадам-2" шағынауданы – "Радуга" дүкені
16	|	144	|	"Теміржол вокзалы" аялдамасы – "Айнатас" шағынауданы, "Елтай" шағынауданы, "Жыланбұзған" шағынауданы
17	|	146	|	"Жаңаталап" шағынауданы, "Көкбұлақ" шағынауданы, "Алтынтөбе" шағынауданы – "Ақжайық" шағынауданы
18	|	147	|	"Нұртас" шағынауданы – "Ақжар" шағынауданы, "Ақтас" шағынауданы
19	|	148	|	"Шапырашты" шағынауданы, "Өтеміс" шағынауданы – "Ақбар" базары
20	|	149	|	"Қайнар бұлақ" шағынауданы- "Асар 2" шағынауданы – "Достық 2" шағынауданы – "Жеңіс" саябағы
21	|	150	|	"Достық" шағынауданы, "Асар" шағынауданы – "Теміржол вокзалы" аялдамасы
22	|	152	|	"Алаш" базары – "Фосфор" ауруханасы
23	|	153	|	"Оңтүстік" шағынауданы – "Қорғасын" шағынауданы
24	|	158	|	"Самал" шағынауданы– "18 шағынауданы" аялдамасы – "Орталық емхана" аялдамасы (айналым бойынша)
25	|	171	|	"Бозарық" шағынауданы– "Тұран" шағынауданы – "Алаш" базары – "Теміржол вокзалы" аялдамасы
26	|	180	|	"Көкбұлақ" шағынауданы, "Жаңаталап" шағынауданы – "Кірпіш зауыты" аялдамасы
27	|	182	|	"Мешіт" аялдамасы – "Азат" шағынауданы
28	|	191	|	"Самал 3" шағынауданы (№87 мектеп) – "Оңтүстік" шағынауданы



